Epoch [1/50] | Train Loss: 0.0385 | Val Loss: 0.0178 | R2: -0.0459 | Pearson: 0.2862
Epoch [2/50] | Train Loss: 0.0167 | Val Loss: 0.0686 | R2: -3.0460 | Pearson: 0.4779
Epoch [3/50] | Train Loss: 0.0157 | Val Loss: 0.0284 | R2: -0.6724 | Pearson: 0.3535
Epoch [4/50] | Train Loss: 0.0148 | Val Loss: 0.0446 | R2: -1.6311 | Pearson: 0.3300
Epoch [5/50] | Train Loss: 0.0147 | Val Loss: 0.3503 | R2: -19.7485 | Pearson: 0.1636
Epoch [6/50] | Train Loss: 0.0139 | Val Loss: 0.0207 | R2: -0.2213 | Pearson: 0.4033
Epoch [7/50] | Train Loss: 0.0140 | Val Loss: 0.2387 | R2: -13.0860 | Pearson: 0.3423
Epoch [8/50] | Train Loss: 0.0135 | Val Loss: 0.0167 | R2: 0.0173 | Pearson: 0.4742
Epoch [9/50] | Train Loss: 0.0128 | Val Loss: 0.0159 | R2: 0.0598 | Pearson: 0.5594
Epoch [10/50] | Train Loss: 0.0124 | Val Loss: 0.1762 | R2: -9.3947 | Pearson: 0.3524
Epoch [11/50] | Train Loss: 0.0125 | Val Loss: 0.1324 | R2: -6.8068 | Pearson: 0.4152
Epoch [12/50] | Train Loss: 0.0117 | Val Loss: 0.0775 | R2: -3.5714 | Pearson: 0.1007
Epoch [13/50] | Train Loss: 0.0115 | Val Loss: 0.3059 | R2: -17.0655 | Pearson: 0.3093
Epoch [14/50] | Train Loss: 0.0115 | Val Loss: 0.1778 | R2: -9.4910 | Pearson: 0.4292
Epoch [15/50] | Train Loss: 0.0113 | Val Loss: 0.2507 | R2: -13.7871 | Pearson: 0.4686
Epoch [16/50] | Train Loss: 0.0108 | Val Loss: 0.0119 | R2: 0.3009 | Pearson: 0.5608
Epoch [17/50] | Train Loss: 0.0102 | Val Loss: 0.3335 | R2: -18.6983 | Pearson: 0.4525
Epoch [18/50] | Train Loss: 0.0099 | Val Loss: 0.7037 | R2: -42.7598 | Pearson: 0.2310
Epoch [19/50] | Train Loss: 0.0101 | Val Loss: 0.2900 | R2: -16.1174 | Pearson: 0.4082
Epoch [20/50] | Train Loss: 0.0094 | Val Loss: 0.1006 | R2: -4.9372 | Pearson: 0.5916
Epoch [21/50] | Train Loss: 0.0091 | Val Loss: 0.0730 | R2: -3.3026 | Pearson: 0.5343
Epoch [22/50] | Train Loss: 0.0085 | Val Loss: 0.2359 | R2: -12.9113 | Pearson: 0.4455
Epoch [23/50] | Train Loss: 0.0085 | Val Loss: 0.0731 | R2: -3.3130 | Pearson: 0.4907
Epoch [24/50] | Train Loss: 0.0075 | Val Loss: 0.0115 | R2: 0.3201 | Pearson: 0.5822
Epoch [25/50] | Train Loss: 0.0078 | Val Loss: 0.2371 | R2: -12.9966 | Pearson: 0.3234
Epoch [26/50] | Train Loss: 0.0073 | Val Loss: 0.0961 | R2: -4.6696 | Pearson: 0.2930
Epoch [27/50] | Train Loss: 0.0068 | Val Loss: 0.0290 | R2: -0.7067 | Pearson: 0.5910
Epoch [28/50] | Train Loss: 0.0068 | Val Loss: 0.2533 | R2: -13.9418 | Pearson: 0.4071
Epoch [29/50] | Train Loss: 0.0062 | Val Loss: 0.2765 | R2: -15.3238 | Pearson: 0.2928
Epoch [30/50] | Train Loss: 0.0057 | Val Loss: 0.0319 | R2: -0.8790 | Pearson: 0.5162
Epoch [31/50] | Train Loss: 0.0057 | Val Loss: 0.0523 | R2: -2.0844 | Pearson: 0.5000
Epoch [32/50] | Train Loss: 0.0055 | Val Loss: 0.0873 | R2: -4.1426 | Pearson: 0.4135
Epoch [33/50] | Train Loss: 0.0047 | Val Loss: 0.1835 | R2: -9.8212 | Pearson: 0.4013
Epoch [34/50] | Train Loss: 0.0049 | Val Loss: 0.0577 | R2: -2.4043 | Pearson: 0.4862
Epoch [35/50] | Train Loss: 0.0046 | Val Loss: 0.0246 | R2: -0.4520 | Pearson: 0.5865
Epoch [36/50] | Train Loss: 0.0046 | Val Loss: 0.1239 | R2: -6.3060 | Pearson: 0.5508
Epoch [37/50] | Train Loss: 0.0041 | Val Loss: 0.1448 | R2: -7.5451 | Pearson: 0.4880
Epoch [38/50] | Train Loss: 0.0040 | Val Loss: 0.0631 | R2: -2.7246 | Pearson: 0.5806
Epoch [39/50] | Train Loss: 0.0040 | Val Loss: 0.0225 | R2: -0.3280 | Pearson: 0.5514
Epoch [40/50] | Train Loss: 0.0037 | Val Loss: 0.0539 | R2: -2.1826 | Pearson: 0.4987
Epoch [41/50] | Train Loss: 0.0033 | Val Loss: 0.0126 | R2: 0.2560 | Pearson: 0.5891
Epoch [42/50] | Train Loss: 0.0032 | Val Loss: 0.0126 | R2: 0.2589 | Pearson: 0.5842
Epoch [43/50] | Train Loss: 0.0032 | Val Loss: 0.0342 | R2: -1.0182 | Pearson: 0.5551
Epoch [44/50] | Train Loss: 0.0033 | Val Loss: 0.0261 | R2: -0.5377 | Pearson: 0.5858
Epoch [45/50] | Train Loss: 0.0034 | Val Loss: 0.0129 | R2: 0.2386 | Pearson: 0.5750
Epoch [46/50] | Train Loss: 0.0034 | Val Loss: 0.0124 | R2: 0.2683 | Pearson: 0.5818
Epoch [47/50] | Train Loss: 0.0034 | Val Loss: 0.0124 | R2: 0.2703 | Pearson: 0.5867
Epoch [48/50] | Train Loss: 0.0031 | Val Loss: 0.0133 | R2: 0.2180 | Pearson: 0.5869
Epoch [49/50] | Train Loss: 0.0028 | Val Loss: 0.0130 | R2: 0.2361 | Pearson: 0.5883
Epoch [50/50] | Train Loss: 0.0031 | Val Loss: 0.0125 | R2: 0.2605 | Pearson: 0.5870
