2025-03-11 19:29:15,371 INFO    MainThread:24248 [wandb_setup.py:_flush():68] Current SDK version is 0.19.2
2025-03-11 19:29:15,372 INFO    MainThread:24248 [wandb_setup.py:_flush():68] Configure stats pid to 24248
2025-03-11 19:29:15,372 INFO    MainThread:24248 [wandb_setup.py:_flush():68] Loading settings from C:\Users\hyunoh\.config\wandb\settings
2025-03-11 19:29:15,372 INFO    MainThread:24248 [wandb_setup.py:_flush():68] Loading settings from C:\Users\hyunoh\Documents\Codes\BMD_code\wandb\settings
2025-03-11 19:29:15,372 INFO    MainThread:24248 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-03-11 19:29:15,372 INFO    MainThread:24248 [wandb_init.py:_log_setup():523] Logging user logs to C:\Users\hyunoh\Documents\Codes\BMD_code\wandb\run-20250311_192915-nkzu7d2t\logs\debug.log
2025-03-11 19:29:15,372 INFO    MainThread:24248 [wandb_init.py:_log_setup():524] Logging internal logs to C:\Users\hyunoh\Documents\Codes\BMD_code\wandb\run-20250311_192915-nkzu7d2t\logs\debug-internal.log
2025-03-11 19:29:15,372 INFO    MainThread:24248 [wandb_init.py:init():641] calling init triggers
2025-03-11 19:29:15,372 INFO    MainThread:24248 [wandb_init.py:init():647] wandb.init called with sweep_config: {}
config: {'learning_rate': 1e-05, 'epochs': 50, 'batch_size': 16, 'optimizer': 'AdamW', 'scheduler': 'CosineAnnealingLR'}
2025-03-11 19:29:15,372 INFO    MainThread:24248 [wandb_init.py:init():674] starting backend
2025-03-11 19:29:15,596 INFO    MainThread:24248 [wandb_init.py:init():678] sending inform_init request
2025-03-11 19:29:15,610 INFO    MainThread:24248 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-03-11 19:29:15,610 INFO    MainThread:24248 [wandb_init.py:init():693] backend started and connected
2025-03-11 19:29:15,612 INFO    MainThread:24248 [wandb_init.py:init():786] updated telemetry
2025-03-11 19:29:15,638 INFO    MainThread:24248 [wandb_init.py:init():818] communicating run to backend with 90.0 second timeout
2025-03-11 19:29:16,054 INFO    MainThread:24248 [wandb_init.py:init():868] starting run threads in backend
2025-03-11 19:29:16,173 INFO    MainThread:24248 [wandb_run.py:_console_start():2415] atexit reg
2025-03-11 19:29:16,173 INFO    MainThread:24248 [wandb_run.py:_redirect():2265] redirect: wrap_raw
2025-03-11 19:29:16,174 INFO    MainThread:24248 [wandb_run.py:_redirect():2330] Wrapping output streams.
2025-03-11 19:29:16,174 INFO    MainThread:24248 [wandb_run.py:_redirect():2355] Redirects installed.
2025-03-11 19:29:16,176 INFO    MainThread:24248 [wandb_init.py:init():910] run started, returning control to user process
2025-03-11 19:34:12,855 INFO    MainThread:24248 [wandb_run.py:_finish():2140] finishing run maadds/bmd_5_fold/nkzu7d2t
2025-03-11 19:34:12,856 INFO    MainThread:24248 [wandb_run.py:_atexit_cleanup():2380] got exitcode: 0
2025-03-11 19:34:12,856 INFO    MainThread:24248 [wandb_run.py:_restore():2362] restore
2025-03-11 19:34:12,856 INFO    MainThread:24248 [wandb_run.py:_restore():2368] restore done
2025-03-11 19:34:15,074 INFO    MainThread:24248 [wandb_run.py:_footer_history_summary_info():3984] rendering history
2025-03-11 19:34:15,074 INFO    MainThread:24248 [wandb_run.py:_footer_history_summary_info():4016] rendering summary
2025-03-11 19:34:15,081 INFO    MainThread:24248 [wandb_run.py:_footer_sync_info():3945] logging synced files
