Epoch [1/300] | Train Loss: 0.0226 | Val Loss: 0.0271 | R2: -0.5941 | Pearson: 0.3268
Epoch [2/300] | Train Loss: 0.0159 | Val Loss: 0.0143 | R2: 0.1609 | Pearson: 0.4035
Epoch [3/300] | Train Loss: 0.0148 | Val Loss: 0.0462 | R2: -1.7186 | Pearson: 0.3373
Epoch [4/300] | Train Loss: 0.0139 | Val Loss: 0.0540 | R2: -2.1209 | Pearson: 0.4360
Epoch [5/300] | Train Loss: 0.0141 | Val Loss: 0.0153 | R2: 0.1009 | Pearson: 0.3872
Epoch [6/300] | Train Loss: 0.0133 | Val Loss: 0.0139 | R2: 0.1868 | Pearson: 0.4927
Epoch [7/300] | Train Loss: 0.0125 | Val Loss: 0.0215 | R2: -0.2463 | Pearson: 0.4591
Epoch [8/300] | Train Loss: 0.0122 | Val Loss: 0.0358 | R2: -1.0715 | Pearson: 0.2614
Epoch [9/300] | Train Loss: 0.0120 | Val Loss: 0.0286 | R2: -0.6785 | Pearson: 0.2733
Epoch [10/300] | Train Loss: 0.0117 | Val Loss: 0.0880 | R2: -4.1776 | Pearson: 0.4560
Epoch [11/300] | Train Loss: 0.0105 | Val Loss: 0.0173 | R2: -0.0086 | Pearson: 0.4110
Epoch [12/300] | Train Loss: 0.0110 | Val Loss: 0.0180 | R2: -0.0363 | Pearson: 0.4426
Epoch [13/300] | Train Loss: 0.0101 | Val Loss: 0.0168 | R2: 0.0213 | Pearson: 0.4176
Epoch [14/300] | Train Loss: 0.0094 | Val Loss: 0.0143 | R2: 0.1669 | Pearson: 0.4946
Epoch [15/300] | Train Loss: 0.0091 | Val Loss: 0.0431 | R2: -1.5330 | Pearson: 0.4023
Epoch [16/300] | Train Loss: 0.0092 | Val Loss: 0.0356 | R2: -1.0973 | Pearson: 0.4628
Epoch [17/300] | Train Loss: 0.0088 | Val Loss: 0.0356 | R2: -1.0793 | Pearson: 0.4209
Epoch [18/300] | Train Loss: 0.0080 | Val Loss: 0.1692 | R2: -8.8326 | Pearson: 0.4137
Epoch [19/300] | Train Loss: 0.0078 | Val Loss: 0.0198 | R2: -0.1554 | Pearson: 0.4527
Epoch [20/300] | Train Loss: 0.0078 | Val Loss: 0.0190 | R2: -0.1219 | Pearson: 0.3579
Epoch [21/300] | Train Loss: 0.0068 | Val Loss: 0.0545 | R2: -2.1834 | Pearson: 0.5677
Epoch [22/300] | Train Loss: 0.0074 | Val Loss: 0.1530 | R2: -7.9220 | Pearson: 0.3592
Epoch [23/300] | Train Loss: 0.0063 | Val Loss: 0.1374 | R2: -7.0486 | Pearson: 0.4519
Epoch [24/300] | Train Loss: 0.0056 | Val Loss: 0.0186 | R2: -0.0900 | Pearson: 0.5119
Epoch [25/300] | Train Loss: 0.0055 | Val Loss: 0.0444 | R2: -1.5915 | Pearson: 0.3804
Epoch [26/300] | Train Loss: 0.0054 | Val Loss: 0.0486 | R2: -1.8626 | Pearson: 0.5833
Epoch [27/300] | Train Loss: 0.0049 | Val Loss: 0.0682 | R2: -2.9618 | Pearson: 0.1913
Epoch [28/300] | Train Loss: 0.0050 | Val Loss: 0.0702 | R2: -3.0932 | Pearson: 0.4311
Epoch [29/300] | Train Loss: 0.0055 | Val Loss: 0.0467 | R2: -1.7388 | Pearson: 0.4125
Epoch [30/300] | Train Loss: 0.0043 | Val Loss: 0.1060 | R2: -5.1728 | Pearson: 0.4127
Epoch [31/300] | Train Loss: 0.0043 | Val Loss: 0.0911 | R2: -4.3278 | Pearson: 0.5382
Epoch [32/300] | Train Loss: 0.0037 | Val Loss: 0.0153 | R2: 0.1070 | Pearson: 0.4917
