Epoch [1/300] | Train Loss: 0.0192 | Val Loss: 0.0171 | R2: 0.0096 | Pearson: 0.2610
Epoch [2/300] | Train Loss: 0.0155 | Val Loss: 0.0558 | R2: -2.2365 | Pearson: 0.3024
Epoch [3/300] | Train Loss: 0.0146 | Val Loss: 0.0299 | R2: -0.7340 | Pearson: 0.3566
Epoch [4/300] | Train Loss: 0.0142 | Val Loss: 0.0168 | R2: 0.0426 | Pearson: 0.4172
Epoch [5/300] | Train Loss: 0.0138 | Val Loss: 0.0251 | R2: -0.4404 | Pearson: 0.2800
Epoch [6/300] | Train Loss: 0.0132 | Val Loss: 0.0141 | R2: 0.1829 | Pearson: 0.4511
Epoch [7/300] | Train Loss: 0.0130 | Val Loss: 0.1269 | R2: -6.3616 | Pearson: 0.4377
Epoch [8/300] | Train Loss: 0.0122 | Val Loss: 0.0940 | R2: -4.3875 | Pearson: 0.3483
Epoch [9/300] | Train Loss: 0.0114 | Val Loss: 0.2358 | R2: -12.6545 | Pearson: 0.2285
Epoch [10/300] | Train Loss: 0.0114 | Val Loss: 0.0143 | R2: 0.1668 | Pearson: 0.4493
Epoch [11/300] | Train Loss: 0.0112 | Val Loss: 0.0242 | R2: -0.4159 | Pearson: 0.4168
Epoch [12/300] | Train Loss: 0.0108 | Val Loss: 0.2727 | R2: -14.8319 | Pearson: 0.3051
Epoch [13/300] | Train Loss: 0.0107 | Val Loss: 0.4278 | R2: -24.0025 | Pearson: 0.3094
Epoch [14/300] | Train Loss: 0.0095 | Val Loss: 0.2570 | R2: -13.8572 | Pearson: 0.2944
Epoch [15/300] | Train Loss: 0.0094 | Val Loss: 0.1414 | R2: -7.2066 | Pearson: 0.3746
Epoch [16/300] | Train Loss: 0.0099 | Val Loss: 0.1289 | R2: -6.4872 | Pearson: 0.3156
Epoch [17/300] | Train Loss: 0.0089 | Val Loss: 0.1851 | R2: -9.6783 | Pearson: 0.3494
Epoch [18/300] | Train Loss: 0.0087 | Val Loss: 0.1429 | R2: -7.2968 | Pearson: 0.4228
Epoch [19/300] | Train Loss: 0.0081 | Val Loss: 0.5508 | R2: -31.7700 | Pearson: 0.0760
Epoch [20/300] | Train Loss: 0.0078 | Val Loss: 0.0170 | R2: 0.0102 | Pearson: 0.5490
Epoch [21/300] | Train Loss: 0.0107 | Val Loss: 0.2815 | R2: -15.2974 | Pearson: 0.3928
Epoch [22/300] | Train Loss: 0.0103 | Val Loss: 0.3092 | R2: -16.9935 | Pearson: 0.3208
Epoch [23/300] | Train Loss: 0.0077 | Val Loss: 0.1780 | R2: -9.3593 | Pearson: 0.2315
Epoch [24/300] | Train Loss: 0.0070 | Val Loss: 0.3438 | R2: -18.9159 | Pearson: 0.2402
Epoch [25/300] | Train Loss: 0.0071 | Val Loss: 0.7954 | R2: -48.8213 | Pearson: 0.0595
Epoch [26/300] | Train Loss: 0.0059 | Val Loss: 0.0968 | R2: -4.6068 | Pearson: 0.4391
Epoch [27/300] | Train Loss: 0.0058 | Val Loss: 0.2722 | R2: -14.7724 | Pearson: 0.2791
