Fold 1 | Epoch [1/150] | Train Loss: 0.0826 | Val Loss: 0.2295 | R2: -12.4319 | Pearson: -0.0055
Fold 1 | Epoch [2/150] | Train Loss: 0.0165 | Val Loss: 0.2045 | R2: -11.0088 | Pearson: -0.0166
Fold 1 | Epoch [3/150] | Train Loss: 0.0148 | Val Loss: 0.0185 | R2: -0.0862 | Pearson: 0.2436
Fold 1 | Epoch [4/150] | Train Loss: 0.0129 | Val Loss: 0.0176 | R2: -0.0368 | Pearson: 0.2003
Fold 1 | Epoch [5/150] | Train Loss: 0.0114 | Val Loss: 0.0177 | R2: -0.0305 | Pearson: 0.2856
Fold 1 | Epoch [6/150] | Train Loss: 0.0108 | Val Loss: 0.0153 | R2: 0.0962 | Pearson: 0.3937
Fold 1 | Epoch [7/150] | Train Loss: 0.0120 | Val Loss: 0.0174 | R2: -0.0182 | Pearson: 0.2226
Fold 1 | Epoch [8/150] | Train Loss: 0.0097 | Val Loss: 0.0176 | R2: -0.0260 | Pearson: 0.2888
Fold 1 | Epoch [9/150] | Train Loss: 0.0076 | Val Loss: 0.0212 | R2: -0.2468 | Pearson: 0.2482
Fold 1 | Epoch [10/150] | Train Loss: 0.0061 | Val Loss: 0.0302 | R2: -0.7777 | Pearson: 0.2642
Fold 1 | Epoch [11/150] | Train Loss: 0.0061 | Val Loss: 0.0175 | R2: -0.0284 | Pearson: 0.2869
Fold 1 | Epoch [12/150] | Train Loss: 0.0045 | Val Loss: 0.0185 | R2: -0.0778 | Pearson: 0.4220
Fold 1 | Epoch [13/150] | Train Loss: 0.0037 | Val Loss: 0.0220 | R2: -0.2715 | Pearson: 0.3016
Fold 1 | Epoch [14/150] | Train Loss: 0.0062 | Val Loss: 0.0201 | R2: -0.1754 | Pearson: 0.3314
Fold 1 | Epoch [15/150] | Train Loss: 0.0048 | Val Loss: 0.0279 | R2: -0.6363 | Pearson: 0.4591
Fold 1 | Epoch [16/150] | Train Loss: 0.0048 | Val Loss: 0.0192 | R2: -0.1172 | Pearson: 0.2605
Fold 1 | Epoch [17/150] | Train Loss: 0.0030 | Val Loss: 0.0157 | R2: 0.0798 | Pearson: 0.4154
Fold 1 | Epoch [18/150] | Train Loss: 0.0033 | Val Loss: 0.0140 | R2: 0.1823 | Pearson: 0.4886
Fold 1 | Epoch [19/150] | Train Loss: 0.0027 | Val Loss: 0.0217 | R2: -0.2768 | Pearson: 0.3574
Fold 1 | Epoch [20/150] | Train Loss: 0.0029 | Val Loss: 0.0234 | R2: -0.3745 | Pearson: 0.4185
Fold 1 | Epoch [21/150] | Train Loss: 0.0033 | Val Loss: 0.0163 | R2: 0.0443 | Pearson: 0.3825
Fold 1 | Epoch [22/150] | Train Loss: 0.0024 | Val Loss: 0.0136 | R2: 0.2008 | Pearson: 0.5064
Fold 1 | Epoch [23/150] | Train Loss: 0.0027 | Val Loss: 0.0194 | R2: -0.1348 | Pearson: 0.4731
Fold 1 | Epoch [24/150] | Train Loss: 0.0021 | Val Loss: 0.0155 | R2: 0.0974 | Pearson: 0.4327
Fold 1 | Epoch [25/150] | Train Loss: 0.0022 | Val Loss: 0.0126 | R2: 0.2592 | Pearson: 0.5369
Fold 1 | Epoch [26/150] | Train Loss: 0.0017 | Val Loss: 0.0207 | R2: -0.2117 | Pearson: 0.4435
