Fold 2 | Epoch [1/150] | Train Loss: 0.0631 | Val Loss: 0.0580 | R2: -2.3767 | Pearson: -0.0176
Fold 2 | Epoch [2/150] | Train Loss: 0.0169 | Val Loss: 0.0719 | R2: -3.1771 | Pearson: 0.0112
Fold 2 | Epoch [3/150] | Train Loss: 0.0146 | Val Loss: 0.0176 | R2: -0.0145 | Pearson: 0.2167
Fold 2 | Epoch [4/150] | Train Loss: 0.0123 | Val Loss: 0.0374 | R2: -1.1785 | Pearson: 0.0838
Fold 2 | Epoch [5/150] | Train Loss: 0.0109 | Val Loss: 0.0226 | R2: -0.3061 | Pearson: 0.2050
Fold 2 | Epoch [6/150] | Train Loss: 0.0092 | Val Loss: 0.0222 | R2: -0.2862 | Pearson: 0.2405
Fold 2 | Epoch [7/150] | Train Loss: 0.0072 | Val Loss: 0.0169 | R2: 0.0106 | Pearson: 0.3320
Fold 2 | Epoch [8/150] | Train Loss: 0.0069 | Val Loss: 0.0167 | R2: 0.0353 | Pearson: 0.3990
Fold 2 | Epoch [9/150] | Train Loss: 0.0054 | Val Loss: 0.0210 | R2: -0.2261 | Pearson: 0.2144
Fold 2 | Epoch [10/150] | Train Loss: 0.0047 | Val Loss: 0.0318 | R2: -0.8440 | Pearson: 0.0058
Fold 2 | Epoch [11/150] | Train Loss: 0.0045 | Val Loss: 0.0182 | R2: -0.0599 | Pearson: 0.2846
Fold 2 | Epoch [12/150] | Train Loss: 0.0038 | Val Loss: 0.0167 | R2: 0.0225 | Pearson: 0.3241
Fold 2 | Epoch [13/150] | Train Loss: 0.0037 | Val Loss: 0.0227 | R2: -0.3106 | Pearson: 0.0598
Fold 2 | Epoch [14/150] | Train Loss: 0.0042 | Val Loss: 0.0232 | R2: -0.3467 | Pearson: 0.0859
Fold 2 | Epoch [15/150] | Train Loss: 0.0030 | Val Loss: 0.0169 | R2: 0.0240 | Pearson: 0.3360
Fold 2 | Epoch [16/150] | Train Loss: 0.0027 | Val Loss: 0.0273 | R2: -0.5771 | Pearson: 0.2105
Fold 2 | Epoch [17/150] | Train Loss: 0.0025 | Val Loss: 0.0164 | R2: 0.0543 | Pearson: 0.3419
Fold 2 | Epoch [18/150] | Train Loss: 0.0024 | Val Loss: 0.0190 | R2: -0.1084 | Pearson: 0.3528
Fold 2 | Epoch [19/150] | Train Loss: 0.0029 | Val Loss: 0.0244 | R2: -0.4265 | Pearson: 0.0523
Fold 2 | Epoch [20/150] | Train Loss: 0.0035 | Val Loss: 0.0699 | R2: -3.0498 | Pearson: 0.0537
Fold 2 | Epoch [21/150] | Train Loss: 0.0034 | Val Loss: 0.0202 | R2: -0.1723 | Pearson: 0.3538
Fold 2 | Epoch [22/150] | Train Loss: 0.0022 | Val Loss: 0.0691 | R2: -2.9901 | Pearson: 0.0088
Fold 2 | Epoch [23/150] | Train Loss: 0.0021 | Val Loss: 0.0205 | R2: -0.1792 | Pearson: 0.1606
Fold 2 | Epoch [24/150] | Train Loss: 0.0020 | Val Loss: 0.0714 | R2: -3.1537 | Pearson: 0.0500
Fold 2 | Epoch [25/150] | Train Loss: 0.0017 | Val Loss: 0.0150 | R2: 0.1288 | Pearson: 0.4112
Fold 2 | Epoch [26/150] | Train Loss: 0.0018 | Val Loss: 0.0190 | R2: -0.0889 | Pearson: 0.1713
Fold 2 | Epoch [27/150] | Train Loss: 0.0019 | Val Loss: 0.0227 | R2: -0.3264 | Pearson: 0.0937
Fold 2 | Epoch [28/150] | Train Loss: 0.0023 | Val Loss: 0.0708 | R2: -3.1102 | Pearson: 0.0018
Fold 2 | Epoch [29/150] | Train Loss: 0.0026 | Val Loss: 0.0248 | R2: -0.4365 | Pearson: 0.2978
