Fold 3 | Epoch [1/150] | Train Loss: 0.0610 | Val Loss: 0.1267 | R2: -5.2283 | Pearson: -0.0425
Fold 3 | Epoch [2/150] | Train Loss: 0.0164 | Val Loss: 0.0824 | R2: -3.0648 | Pearson: -0.0786
Fold 3 | Epoch [3/150] | Train Loss: 0.0148 | Val Loss: 0.0216 | R2: -0.0616 | Pearson: 0.3187
Fold 3 | Epoch [4/150] | Train Loss: 0.0126 | Val Loss: 0.0191 | R2: 0.0528 | Pearson: 0.3164
Fold 3 | Epoch [5/150] | Train Loss: 0.0114 | Val Loss: 0.0191 | R2: 0.0513 | Pearson: 0.3050
Fold 3 | Epoch [6/150] | Train Loss: 0.0097 | Val Loss: 0.0177 | R2: 0.1235 | Pearson: 0.3672
Fold 3 | Epoch [7/150] | Train Loss: 0.0092 | Val Loss: 0.0184 | R2: 0.1095 | Pearson: 0.3878
Fold 3 | Epoch [8/150] | Train Loss: 0.0080 | Val Loss: 0.0194 | R2: 0.0491 | Pearson: 0.3722
Fold 3 | Epoch [9/150] | Train Loss: 0.0071 | Val Loss: 0.0197 | R2: 0.0218 | Pearson: 0.3730
Fold 3 | Epoch [10/150] | Train Loss: 0.0054 | Val Loss: 0.0179 | R2: 0.1197 | Pearson: 0.3879
Fold 3 | Epoch [11/150] | Train Loss: 0.0047 | Val Loss: 0.0220 | R2: -0.0897 | Pearson: 0.3608
Fold 3 | Epoch [12/150] | Train Loss: 0.0050 | Val Loss: 0.0339 | R2: -0.6787 | Pearson: 0.3138
Fold 3 | Epoch [13/150] | Train Loss: 0.0039 | Val Loss: 0.0169 | R2: 0.1624 | Pearson: 0.4237
Fold 3 | Epoch [14/150] | Train Loss: 0.0042 | Val Loss: 0.0250 | R2: -0.2267 | Pearson: 0.3971
Fold 3 | Epoch [15/150] | Train Loss: 0.0039 | Val Loss: 0.0170 | R2: 0.1547 | Pearson: 0.4294
Fold 3 | Epoch [16/150] | Train Loss: 0.0026 | Val Loss: 0.0203 | R2: -0.0042 | Pearson: 0.4064
Fold 3 | Epoch [17/150] | Train Loss: 0.0029 | Val Loss: 0.0172 | R2: 0.1532 | Pearson: 0.4355
Fold 3 | Epoch [18/150] | Train Loss: 0.0021 | Val Loss: 0.0167 | R2: 0.1711 | Pearson: 0.4462
Fold 3 | Epoch [19/150] | Train Loss: 0.0019 | Val Loss: 0.0193 | R2: 0.0730 | Pearson: 0.4091
Fold 3 | Epoch [20/150] | Train Loss: 0.0021 | Val Loss: 0.0170 | R2: 0.1590 | Pearson: 0.4433
Fold 3 | Epoch [21/150] | Train Loss: 0.0018 | Val Loss: 0.0166 | R2: 0.1832 | Pearson: 0.4489
Fold 3 | Epoch [22/150] | Train Loss: 0.0015 | Val Loss: 0.0199 | R2: 0.0225 | Pearson: 0.4199
Fold 3 | Epoch [23/150] | Train Loss: 0.0018 | Val Loss: 0.0186 | R2: 0.0793 | Pearson: 0.4577
Fold 3 | Epoch [24/150] | Train Loss: 0.0024 | Val Loss: 0.0194 | R2: 0.0460 | Pearson: 0.4473
Fold 3 | Epoch [25/150] | Train Loss: 0.0023 | Val Loss: 0.0163 | R2: 0.1895 | Pearson: 0.4642
Fold 3 | Epoch [26/150] | Train Loss: 0.0020 | Val Loss: 0.0222 | R2: -0.0813 | Pearson: 0.3997
Fold 3 | Epoch [27/150] | Train Loss: 0.0017 | Val Loss: 0.0172 | R2: 0.1622 | Pearson: 0.4326
Fold 3 | Epoch [28/150] | Train Loss: 0.0020 | Val Loss: 0.0164 | R2: 0.1920 | Pearson: 0.4615
Fold 3 | Epoch [29/150] | Train Loss: 0.0015 | Val Loss: 0.0196 | R2: 0.0311 | Pearson: 0.4054
Fold 3 | Epoch [30/150] | Train Loss: 0.0012 | Val Loss: 0.0160 | R2: 0.2157 | Pearson: 0.4772
Fold 3 | Epoch [31/150] | Train Loss: 0.0015 | Val Loss: 0.0192 | R2: 0.0501 | Pearson: 0.3553
Fold 3 | Epoch [32/150] | Train Loss: 0.0017 | Val Loss: 0.0180 | R2: 0.1097 | Pearson: 0.4186
Fold 3 | Epoch [33/150] | Train Loss: 0.0028 | Val Loss: 0.0156 | R2: 0.2262 | Pearson: 0.4902
Fold 3 | Epoch [34/150] | Train Loss: 0.0027 | Val Loss: 0.0170 | R2: 0.1518 | Pearson: 0.4303
Fold 3 | Epoch [35/150] | Train Loss: 0.0019 | Val Loss: 0.0167 | R2: 0.1820 | Pearson: 0.4504
Fold 3 | Epoch [36/150] | Train Loss: 0.0024 | Val Loss: 0.0161 | R2: 0.2045 | Pearson: 0.4639
Fold 3 | Epoch [37/150] | Train Loss: 0.0017 | Val Loss: 0.0158 | R2: 0.2165 | Pearson: 0.4830
Fold 3 | Epoch [38/150] | Train Loss: 0.0011 | Val Loss: 0.0163 | R2: 0.1928 | Pearson: 0.4607
Fold 3 | Epoch [39/150] | Train Loss: 0.0011 | Val Loss: 0.0157 | R2: 0.2398 | Pearson: 0.4976
Fold 3 | Epoch [40/150] | Train Loss: 0.0011 | Val Loss: 0.0162 | R2: 0.1867 | Pearson: 0.4612
Fold 3 | Epoch [41/150] | Train Loss: 0.0010 | Val Loss: 0.0163 | R2: 0.1918 | Pearson: 0.4837
Fold 3 | Epoch [42/150] | Train Loss: 0.0010 | Val Loss: 0.0152 | R2: 0.2480 | Pearson: 0.5037
Fold 3 | Epoch [43/150] | Train Loss: 0.0012 | Val Loss: 0.0154 | R2: 0.2394 | Pearson: 0.5054
Fold 3 | Epoch [44/150] | Train Loss: 0.0016 | Val Loss: 0.0160 | R2: 0.2069 | Pearson: 0.4685
Fold 3 | Epoch [45/150] | Train Loss: 0.0016 | Val Loss: 0.0166 | R2: 0.1736 | Pearson: 0.4727
Fold 3 | Epoch [46/150] | Train Loss: 0.0015 | Val Loss: 0.0154 | R2: 0.2428 | Pearson: 0.5097
Fold 3 | Epoch [47/150] | Train Loss: 0.0017 | Val Loss: 0.0163 | R2: 0.1916 | Pearson: 0.4671
Fold 3 | Epoch [48/150] | Train Loss: 0.0014 | Val Loss: 0.0153 | R2: 0.2504 | Pearson: 0.5050
Fold 3 | Epoch [49/150] | Train Loss: 0.0016 | Val Loss: 0.0157 | R2: 0.2260 | Pearson: 0.4845
Fold 3 | Epoch [50/150] | Train Loss: 0.0011 | Val Loss: 0.0171 | R2: 0.1547 | Pearson: 0.4871
Fold 3 | Epoch [51/150] | Train Loss: 0.0012 | Val Loss: 0.0152 | R2: 0.2481 | Pearson: 0.5130
Fold 3 | Epoch [52/150] | Train Loss: 0.0009 | Val Loss: 0.0155 | R2: 0.2372 | Pearson: 0.5080
Fold 3 | Epoch [53/150] | Train Loss: 0.0007 | Val Loss: 0.0152 | R2: 0.2429 | Pearson: 0.4969
Fold 3 | Epoch [54/150] | Train Loss: 0.0007 | Val Loss: 0.0167 | R2: 0.1715 | Pearson: 0.4815
Fold 3 | Epoch [55/150] | Train Loss: 0.0009 | Val Loss: 0.0160 | R2: 0.2114 | Pearson: 0.4779
Fold 3 | Epoch [56/150] | Train Loss: 0.0008 | Val Loss: 0.0159 | R2: 0.2131 | Pearson: 0.4778
Fold 3 | Epoch [57/150] | Train Loss: 0.0009 | Val Loss: 0.0150 | R2: 0.2567 | Pearson: 0.5112
Fold 3 | Epoch [58/150] | Train Loss: 0.0016 | Val Loss: 0.0156 | R2: 0.2321 | Pearson: 0.4968
Fold 3 | Epoch [59/150] | Train Loss: 0.0014 | Val Loss: 0.0153 | R2: 0.2486 | Pearson: 0.5079
Fold 3 | Epoch [60/150] | Train Loss: 0.0010 | Val Loss: 0.0154 | R2: 0.2400 | Pearson: 0.4923
Fold 3 | Epoch [61/150] | Train Loss: 0.0010 | Val Loss: 0.0149 | R2: 0.2619 | Pearson: 0.5168
Fold 3 | Epoch [62/150] | Train Loss: 0.0010 | Val Loss: 0.0151 | R2: 0.2567 | Pearson: 0.5083
Fold 3 | Epoch [63/150] | Train Loss: 0.0014 | Val Loss: 0.0166 | R2: 0.1808 | Pearson: 0.4569
Fold 3 | Epoch [64/150] | Train Loss: 0.0015 | Val Loss: 0.0158 | R2: 0.2194 | Pearson: 0.4778
Fold 3 | Epoch [65/150] | Train Loss: 0.0010 | Val Loss: 0.0154 | R2: 0.2356 | Pearson: 0.4999
Fold 3 | Epoch [66/150] | Train Loss: 0.0009 | Val Loss: 0.0155 | R2: 0.2385 | Pearson: 0.4983
Fold 3 | Epoch [67/150] | Train Loss: 0.0006 | Val Loss: 0.0151 | R2: 0.2561 | Pearson: 0.5090
Fold 3 | Epoch [68/150] | Train Loss: 0.0006 | Val Loss: 0.0152 | R2: 0.2535 | Pearson: 0.5114
Fold 3 | Epoch [69/150] | Train Loss: 0.0009 | Val Loss: 0.0153 | R2: 0.2439 | Pearson: 0.5018
Fold 3 | Epoch [70/150] | Train Loss: 0.0008 | Val Loss: 0.0161 | R2: 0.2033 | Pearson: 0.4949
Fold 3 | Epoch [71/150] | Train Loss: 0.0008 | Val Loss: 0.0151 | R2: 0.2502 | Pearson: 0.5024
Fold 3 | Epoch [72/150] | Train Loss: 0.0009 | Val Loss: 0.0162 | R2: 0.2020 | Pearson: 0.4935
Fold 3 | Epoch [73/150] | Train Loss: 0.0012 | Val Loss: 0.0151 | R2: 0.2589 | Pearson: 0.5145
Fold 3 | Epoch [74/150] | Train Loss: 0.0007 | Val Loss: 0.0150 | R2: 0.2567 | Pearson: 0.5093
Fold 3 | Epoch [75/150] | Train Loss: 0.0007 | Val Loss: 0.0154 | R2: 0.2411 | Pearson: 0.5016
Fold 3 | Epoch [76/150] | Train Loss: 0.0007 | Val Loss: 0.0156 | R2: 0.2260 | Pearson: 0.5104
Fold 3 | Epoch [77/150] | Train Loss: 0.0008 | Val Loss: 0.0153 | R2: 0.2694 | Pearson: 0.5215
Fold 3 | Epoch [78/150] | Train Loss: 0.0012 | Val Loss: 0.0153 | R2: 0.2424 | Pearson: 0.5171
Fold 3 | Epoch [79/150] | Train Loss: 0.0008 | Val Loss: 0.0150 | R2: 0.2551 | Pearson: 0.5137
Fold 3 | Epoch [80/150] | Train Loss: 0.0006 | Val Loss: 0.0149 | R2: 0.2642 | Pearson: 0.5237
