Fold 4 | Epoch [1/150] | Train Loss: 0.0611 | Val Loss: 0.1865 | R2: -9.8607 | Pearson: -0.0934
Fold 4 | Epoch [2/150] | Train Loss: 0.0159 | Val Loss: 0.1191 | R2: -5.9360 | Pearson: 0.0458
Fold 4 | Epoch [3/150] | Train Loss: 0.0139 | Val Loss: 0.0238 | R2: -0.3782 | Pearson: 0.3025
Fold 4 | Epoch [4/150] | Train Loss: 0.0121 | Val Loss: 0.0510 | R2: -1.9919 | Pearson: 0.1595
Fold 4 | Epoch [5/150] | Train Loss: 0.0113 | Val Loss: 0.0201 | R2: -0.1794 | Pearson: 0.3598
Fold 4 | Epoch [6/150] | Train Loss: 0.0104 | Val Loss: 0.0672 | R2: -2.9296 | Pearson: 0.0858
Fold 4 | Epoch [7/150] | Train Loss: 0.0083 | Val Loss: 0.0506 | R2: -1.9501 | Pearson: 0.2374
Fold 4 | Epoch [8/150] | Train Loss: 0.0065 | Val Loss: 0.0465 | R2: -1.7090 | Pearson: 0.2995
Fold 4 | Epoch [9/150] | Train Loss: 0.0056 | Val Loss: 0.0236 | R2: -0.3467 | Pearson: 0.2611
Fold 4 | Epoch [10/150] | Train Loss: 0.0055 | Val Loss: 0.0181 | R2: -0.0554 | Pearson: 0.2757
Fold 4 | Epoch [11/150] | Train Loss: 0.0047 | Val Loss: 0.0357 | R2: -1.0586 | Pearson: 0.3636
Fold 4 | Epoch [12/150] | Train Loss: 0.0046 | Val Loss: 0.0344 | R2: -1.0056 | Pearson: 0.2610
Fold 4 | Epoch [13/150] | Train Loss: 0.0041 | Val Loss: 0.0440 | R2: -1.5668 | Pearson: 0.3944
Fold 4 | Epoch [14/150] | Train Loss: 0.0037 | Val Loss: 0.0159 | R2: 0.0691 | Pearson: 0.4287
Fold 4 | Epoch [15/150] | Train Loss: 0.0038 | Val Loss: 0.0708 | R2: -3.1405 | Pearson: 0.1905
Fold 4 | Epoch [16/150] | Train Loss: 0.0050 | Val Loss: 0.0303 | R2: -0.7684 | Pearson: 0.2789
Fold 4 | Epoch [17/150] | Train Loss: 0.0027 | Val Loss: 0.0320 | R2: -0.8702 | Pearson: 0.4143
Fold 4 | Epoch [18/150] | Train Loss: 0.0021 | Val Loss: 0.0243 | R2: -0.4143 | Pearson: 0.4171
Fold 4 | Epoch [19/150] | Train Loss: 0.0017 | Val Loss: 0.0135 | R2: 0.2140 | Pearson: 0.4985
Fold 4 | Epoch [20/150] | Train Loss: 0.0019 | Val Loss: 0.0175 | R2: -0.0242 | Pearson: 0.4962
Fold 4 | Epoch [21/150] | Train Loss: 0.0021 | Val Loss: 0.0147 | R2: 0.1512 | Pearson: 0.4812
Fold 4 | Epoch [22/150] | Train Loss: 0.0022 | Val Loss: 0.0357 | R2: -1.0653 | Pearson: 0.4088
Fold 4 | Epoch [23/150] | Train Loss: 0.0021 | Val Loss: 0.0157 | R2: 0.0875 | Pearson: 0.3873
Fold 4 | Epoch [24/150] | Train Loss: 0.0017 | Val Loss: 0.0149 | R2: 0.1466 | Pearson: 0.4837
Fold 4 | Epoch [25/150] | Train Loss: 0.0017 | Val Loss: 0.0168 | R2: 0.0305 | Pearson: 0.5021
Fold 4 | Epoch [26/150] | Train Loss: 0.0013 | Val Loss: 0.0155 | R2: 0.0900 | Pearson: 0.5174
Fold 4 | Epoch [27/150] | Train Loss: 0.0021 | Val Loss: 0.0225 | R2: -0.3026 | Pearson: 0.4671
Fold 4 | Epoch [28/150] | Train Loss: 0.0023 | Val Loss: 0.0302 | R2: -0.7671 | Pearson: 0.2892
Fold 4 | Epoch [29/150] | Train Loss: 0.0015 | Val Loss: 0.0202 | R2: -0.1513 | Pearson: 0.5250
Fold 4 | Epoch [30/150] | Train Loss: 0.0016 | Val Loss: 0.0167 | R2: 0.0306 | Pearson: 0.4645
Fold 4 | Epoch [31/150] | Train Loss: 0.0016 | Val Loss: 0.0154 | R2: 0.1136 | Pearson: 0.5018
Fold 4 | Epoch [32/150] | Train Loss: 0.0019 | Val Loss: 0.0371 | R2: -1.1666 | Pearson: 0.3249
Fold 4 | Epoch [33/150] | Train Loss: 0.0021 | Val Loss: 0.0225 | R2: -0.3064 | Pearson: 0.3892
Fold 4 | Epoch [34/150] | Train Loss: 0.0015 | Val Loss: 0.0152 | R2: 0.1126 | Pearson: 0.4767
Fold 4 | Epoch [35/150] | Train Loss: 0.0013 | Val Loss: 0.0379 | R2: -1.2089 | Pearson: 0.4086
Fold 4 | Epoch [36/150] | Train Loss: 0.0013 | Val Loss: 0.0148 | R2: 0.1382 | Pearson: 0.4109
Fold 4 | Epoch [37/150] | Train Loss: 0.0014 | Val Loss: 0.0138 | R2: 0.2000 | Pearson: 0.5145
Fold 4 | Epoch [38/150] | Train Loss: 0.0011 | Val Loss: 0.0151 | R2: 0.1197 | Pearson: 0.4941
Fold 4 | Epoch [39/150] | Train Loss: 0.0013 | Val Loss: 0.0319 | R2: -0.8582 | Pearson: 0.4343
Fold 4 | Epoch [40/150] | Train Loss: 0.0011 | Val Loss: 0.0144 | R2: 0.1640 | Pearson: 0.4498
Fold 4 | Epoch [41/150] | Train Loss: 0.0013 | Val Loss: 0.0147 | R2: 0.1495 | Pearson: 0.4966
Fold 4 | Epoch [42/150] | Train Loss: 0.0013 | Val Loss: 0.0158 | R2: 0.0776 | Pearson: 0.4992
Fold 4 | Epoch [43/150] | Train Loss: 0.0011 | Val Loss: 0.0210 | R2: -0.2212 | Pearson: 0.4967
Fold 4 | Epoch [44/150] | Train Loss: 0.0015 | Val Loss: 0.0130 | R2: 0.2429 | Pearson: 0.5239
Fold 4 | Epoch [45/150] | Train Loss: 0.0009 | Val Loss: 0.0172 | R2: 0.0006 | Pearson: 0.4954
Fold 4 | Epoch [46/150] | Train Loss: 0.0010 | Val Loss: 0.0195 | R2: -0.1374 | Pearson: 0.4331
Fold 4 | Epoch [47/150] | Train Loss: 0.0016 | Val Loss: 0.0248 | R2: -0.4454 | Pearson: 0.4111
Fold 4 | Epoch [48/150] | Train Loss: 0.0017 | Val Loss: 0.0279 | R2: -0.6205 | Pearson: 0.2594
Fold 4 | Epoch [49/150] | Train Loss: 0.0027 | Val Loss: 0.0134 | R2: 0.2216 | Pearson: 0.4957
Fold 4 | Epoch [50/150] | Train Loss: 0.0018 | Val Loss: 0.0129 | R2: 0.2524 | Pearson: 0.5242
Fold 4 | Epoch [51/150] | Train Loss: 0.0017 | Val Loss: 0.0128 | R2: 0.2475 | Pearson: 0.5256
