Fold 1 | Epoch [1/150] | Train Loss: 0.0364 | Val Loss: 0.0156 | R2: 0.0841 | Pearson: 0.3191
Fold 1 | Epoch [2/150] | Train Loss: 0.0165 | Val Loss: 0.0150 | R2: 0.1220 | Pearson: 0.3790
Fold 1 | Epoch [3/150] | Train Loss: 0.0156 | Val Loss: 0.0166 | R2: 0.0250 | Pearson: 0.3438
Fold 1 | Epoch [4/150] | Train Loss: 0.0145 | Val Loss: 0.0151 | R2: 0.1152 | Pearson: 0.4291
Fold 1 | Epoch [5/150] | Train Loss: 0.0142 | Val Loss: 0.0147 | R2: 0.1386 | Pearson: 0.4581
Fold 1 | Epoch [6/150] | Train Loss: 0.0121 | Val Loss: 0.0148 | R2: 0.1352 | Pearson: 0.4365
Fold 1 | Epoch [7/150] | Train Loss: 0.0111 | Val Loss: 0.0178 | R2: -0.0438 | Pearson: 0.4098
Fold 1 | Epoch [8/150] | Train Loss: 0.0102 | Val Loss: 0.0403 | R2: -1.3588 | Pearson: 0.4865
Fold 1 | Epoch [9/150] | Train Loss: 0.0094 | Val Loss: 0.0303 | R2: -0.7741 | Pearson: 0.3279
Fold 1 | Epoch [10/150] | Train Loss: 0.0088 | Val Loss: 0.0185 | R2: -0.0814 | Pearson: 0.5000
Fold 1 | Epoch [11/150] | Train Loss: 0.0078 | Val Loss: 0.0133 | R2: 0.2227 | Pearson: 0.5118
Fold 1 | Epoch [12/150] | Train Loss: 0.0072 | Val Loss: 0.0148 | R2: 0.1288 | Pearson: 0.4385
Fold 1 | Epoch [13/150] | Train Loss: 0.0065 | Val Loss: 0.0172 | R2: -0.0068 | Pearson: 0.5108
Fold 1 | Epoch [14/150] | Train Loss: 0.0059 | Val Loss: 0.0162 | R2: 0.0512 | Pearson: 0.3484
Fold 1 | Epoch [15/150] | Train Loss: 0.0050 | Val Loss: 0.0395 | R2: -1.3145 | Pearson: 0.4273
Fold 1 | Epoch [16/150] | Train Loss: 0.0046 | Val Loss: 0.0237 | R2: -0.3934 | Pearson: 0.2073
Fold 1 | Epoch [17/150] | Train Loss: 0.0044 | Val Loss: 0.0445 | R2: -1.6083 | Pearson: 0.3323
Fold 1 | Epoch [18/150] | Train Loss: 0.0038 | Val Loss: 0.0219 | R2: -0.2849 | Pearson: 0.1708
Fold 1 | Epoch [19/150] | Train Loss: 0.0039 | Val Loss: 0.0184 | R2: -0.0767 | Pearson: 0.3316
Fold 1 | Epoch [20/150] | Train Loss: 0.0038 | Val Loss: 0.0244 | R2: -0.4256 | Pearson: 0.5022
Fold 1 | Epoch [21/150] | Train Loss: 0.0034 | Val Loss: 0.0165 | R2: 0.0342 | Pearson: 0.5139
Fold 1 | Epoch [22/150] | Train Loss: 0.0032 | Val Loss: 0.0132 | R2: 0.2239 | Pearson: 0.5272
Fold 1 | Epoch [23/150] | Train Loss: 0.0031 | Val Loss: 0.0129 | R2: 0.2445 | Pearson: 0.5337
Fold 1 | Epoch [24/150] | Train Loss: 0.0026 | Val Loss: 0.0422 | R2: -1.4675 | Pearson: 0.3522
Fold 1 | Epoch [25/150] | Train Loss: 0.0025 | Val Loss: 0.0520 | R2: -2.0393 | Pearson: 0.3605
Fold 1 | Epoch [26/150] | Train Loss: 0.0028 | Val Loss: 0.0234 | R2: -0.3701 | Pearson: 0.3093
Fold 1 | Epoch [27/150] | Train Loss: 0.0025 | Val Loss: 0.0151 | R2: 0.1145 | Pearson: 0.5108
Fold 1 | Epoch [28/150] | Train Loss: 0.0025 | Val Loss: 0.0179 | R2: -0.0520 | Pearson: 0.4268
Fold 1 | Epoch [29/150] | Train Loss: 0.0025 | Val Loss: 0.0148 | R2: 0.1322 | Pearson: 0.5455
Fold 1 | Epoch [30/150] | Train Loss: 0.0020 | Val Loss: 0.0154 | R2: 0.1003 | Pearson: 0.4660
Fold 1 | Epoch [31/150] | Train Loss: 0.0020 | Val Loss: 0.0134 | R2: 0.2140 | Pearson: 0.5112
Fold 1 | Epoch [32/150] | Train Loss: 0.0022 | Val Loss: 0.0117 | R2: 0.3112 | Pearson: 0.5605
Fold 1 | Epoch [33/150] | Train Loss: 0.0021 | Val Loss: 0.0214 | R2: -0.2571 | Pearson: 0.3882
Fold 1 | Epoch [34/150] | Train Loss: 0.0020 | Val Loss: 0.0298 | R2: -0.7424 | Pearson: 0.4614
Fold 1 | Epoch [35/150] | Train Loss: 0.0019 | Val Loss: 0.0208 | R2: -0.2227 | Pearson: 0.4343
Fold 1 | Epoch [36/150] | Train Loss: 0.0022 | Val Loss: 0.0524 | R2: -2.0754 | Pearson: 0.2863
Fold 1 | Epoch [37/150] | Train Loss: 0.0022 | Val Loss: 0.0231 | R2: -0.3534 | Pearson: 0.4150
Fold 1 | Epoch [38/150] | Train Loss: 0.0020 | Val Loss: 0.0131 | R2: 0.2297 | Pearson: 0.5361
Fold 1 | Epoch [39/150] | Train Loss: 0.0018 | Val Loss: 0.0238 | R2: -0.3864 | Pearson: 0.3257
Fold 1 | Epoch [40/150] | Train Loss: 0.0017 | Val Loss: 0.0128 | R2: 0.2495 | Pearson: 0.5336
Fold 1 | Epoch [41/150] | Train Loss: 0.0018 | Val Loss: 0.0210 | R2: -0.2308 | Pearson: 0.4940
Fold 1 | Epoch [42/150] | Train Loss: 0.0017 | Val Loss: 0.0184 | R2: -0.0759 | Pearson: 0.4919
Fold 1 | Epoch [43/150] | Train Loss: 0.0018 | Val Loss: 0.0141 | R2: 0.1706 | Pearson: 0.4796
Fold 1 | Epoch [44/150] | Train Loss: 0.0015 | Val Loss: 0.0143 | R2: 0.1643 | Pearson: 0.4240
Fold 1 | Epoch [45/150] | Train Loss: 0.0015 | Val Loss: 0.0137 | R2: 0.2032 | Pearson: 0.5691
Fold 1 | Epoch [46/150] | Train Loss: 0.0015 | Val Loss: 0.0246 | R2: -0.4395 | Pearson: 0.3894
Fold 1 | Epoch [47/150] | Train Loss: 0.0015 | Val Loss: 0.0277 | R2: -0.6214 | Pearson: 0.4087
Fold 1 | Epoch [48/150] | Train Loss: 0.0013 | Val Loss: 0.0127 | R2: 0.2599 | Pearson: 0.5598
Fold 1 | Epoch [49/150] | Train Loss: 0.0013 | Val Loss: 0.0114 | R2: 0.3340 | Pearson: 0.5816
Fold 1 | Epoch [50/150] | Train Loss: 0.0013 | Val Loss: 0.0128 | R2: 0.2505 | Pearson: 0.5043
Fold 1 | Epoch [51/150] | Train Loss: 0.0016 | Val Loss: 0.0169 | R2: 0.0060 | Pearson: 0.2803
Fold 1 | Epoch [52/150] | Train Loss: 0.0018 | Val Loss: 0.0178 | R2: -0.0417 | Pearson: 0.4772
Fold 1 | Epoch [53/150] | Train Loss: 0.0013 | Val Loss: 0.0144 | R2: 0.1607 | Pearson: 0.5362
Fold 1 | Epoch [54/150] | Train Loss: 0.0013 | Val Loss: 0.0114 | R2: 0.3299 | Pearson: 0.5820
Fold 1 | Epoch [55/150] | Train Loss: 0.0012 | Val Loss: 0.0281 | R2: -0.6492 | Pearson: 0.3102
Fold 1 | Epoch [56/150] | Train Loss: 0.0010 | Val Loss: 0.0120 | R2: 0.2979 | Pearson: 0.5583
Fold 1 | Epoch [57/150] | Train Loss: 0.0012 | Val Loss: 0.0375 | R2: -1.1950 | Pearson: 0.3653
Fold 1 | Epoch [58/150] | Train Loss: 0.0012 | Val Loss: 0.0198 | R2: -0.1565 | Pearson: 0.5294
Fold 1 | Epoch [59/150] | Train Loss: 0.0011 | Val Loss: 0.0125 | R2: 0.2725 | Pearson: 0.5835
Fold 1 | Epoch [60/150] | Train Loss: 0.0010 | Val Loss: 0.0216 | R2: -0.2678 | Pearson: 0.4687
Fold 1 | Epoch [61/150] | Train Loss: 0.0010 | Val Loss: 0.0119 | R2: 0.3050 | Pearson: 0.5776
Fold 1 | Epoch [62/150] | Train Loss: 0.0009 | Val Loss: 0.0116 | R2: 0.3214 | Pearson: 0.5734
Fold 1 | Epoch [63/150] | Train Loss: 0.0010 | Val Loss: 0.0144 | R2: 0.1571 | Pearson: 0.5429
Fold 1 | Epoch [64/150] | Train Loss: 0.0010 | Val Loss: 0.0137 | R2: 0.1978 | Pearson: 0.5692
Fold 1 | Epoch [65/150] | Train Loss: 0.0010 | Val Loss: 0.0124 | R2: 0.2720 | Pearson: 0.5750
