Fold 2 | Epoch [1/150] | Train Loss: 0.0272 | Val Loss: 0.0212 | R2: -0.2252 | Pearson: 0.2430
Fold 2 | Epoch [2/150] | Train Loss: 0.0164 | Val Loss: 0.0231 | R2: -0.3407 | Pearson: 0.1796
Fold 2 | Epoch [3/150] | Train Loss: 0.0156 | Val Loss: 0.0235 | R2: -0.3633 | Pearson: 0.3687
Fold 2 | Epoch [4/150] | Train Loss: 0.0138 | Val Loss: 0.0273 | R2: -0.5797 | Pearson: 0.1343
Fold 2 | Epoch [5/150] | Train Loss: 0.0135 | Val Loss: 0.0204 | R2: -0.1789 | Pearson: 0.3363
Fold 2 | Epoch [6/150] | Train Loss: 0.0122 | Val Loss: 0.0507 | R2: -1.9345 | Pearson: 0.1314
Fold 2 | Epoch [7/150] | Train Loss: 0.0113 | Val Loss: 0.0184 | R2: -0.0666 | Pearson: 0.3268
Fold 2 | Epoch [8/150] | Train Loss: 0.0104 | Val Loss: 0.0154 | R2: 0.1080 | Pearson: 0.4219
Fold 2 | Epoch [9/150] | Train Loss: 0.0088 | Val Loss: 0.0396 | R2: -1.2964 | Pearson: 0.1238
Fold 2 | Epoch [10/150] | Train Loss: 0.0085 | Val Loss: 0.0396 | R2: -1.2948 | Pearson: 0.0217
Fold 2 | Epoch [11/150] | Train Loss: 0.0077 | Val Loss: 0.0193 | R2: -0.1147 | Pearson: 0.2420
Fold 2 | Epoch [12/150] | Train Loss: 0.0068 | Val Loss: 0.0165 | R2: 0.0444 | Pearson: 0.4432
Fold 2 | Epoch [13/150] | Train Loss: 0.0062 | Val Loss: 0.0180 | R2: -0.0385 | Pearson: 0.3639
Fold 2 | Epoch [14/150] | Train Loss: 0.0063 | Val Loss: 0.0297 | R2: -0.7250 | Pearson: 0.0688
Fold 2 | Epoch [15/150] | Train Loss: 0.0056 | Val Loss: 0.0200 | R2: -0.1594 | Pearson: 0.3878
Fold 2 | Epoch [16/150] | Train Loss: 0.0053 | Val Loss: 0.0148 | R2: 0.1489 | Pearson: 0.4808
Fold 2 | Epoch [17/150] | Train Loss: 0.0044 | Val Loss: 0.0258 | R2: -0.4963 | Pearson: 0.2856
Fold 2 | Epoch [18/150] | Train Loss: 0.0038 | Val Loss: 0.0261 | R2: -0.5165 | Pearson: 0.1479
Fold 2 | Epoch [19/150] | Train Loss: 0.0039 | Val Loss: 0.0226 | R2: -0.3083 | Pearson: 0.4161
Fold 2 | Epoch [20/150] | Train Loss: 0.0040 | Val Loss: 0.0219 | R2: -0.2699 | Pearson: 0.2842
Fold 2 | Epoch [21/150] | Train Loss: 0.0039 | Val Loss: 0.0136 | R2: 0.2136 | Pearson: 0.5094
Fold 2 | Epoch [22/150] | Train Loss: 0.0033 | Val Loss: 0.0172 | R2: 0.0063 | Pearson: 0.3755
Fold 2 | Epoch [23/150] | Train Loss: 0.0031 | Val Loss: 0.0482 | R2: -1.7952 | Pearson: 0.1240
Fold 2 | Epoch [24/150] | Train Loss: 0.0029 | Val Loss: 0.0133 | R2: 0.2279 | Pearson: 0.5203
Fold 2 | Epoch [25/150] | Train Loss: 0.0029 | Val Loss: 0.0230 | R2: -0.3298 | Pearson: 0.4234
Fold 2 | Epoch [26/150] | Train Loss: 0.0033 | Val Loss: 0.0201 | R2: -0.1654 | Pearson: 0.2115
Fold 2 | Epoch [27/150] | Train Loss: 0.0028 | Val Loss: 0.0150 | R2: 0.1315 | Pearson: 0.4867
