Fold 3 | Epoch [1/150] | Train Loss: 0.0361 | Val Loss: 0.0215 | R2: -0.0589 | Pearson: 0.1913
Fold 3 | Epoch [2/150] | Train Loss: 0.0159 | Val Loss: 0.0187 | R2: 0.0826 | Pearson: 0.3149
Fold 3 | Epoch [3/150] | Train Loss: 0.0135 | Val Loss: 0.0300 | R2: -0.4789 | Pearson: 0.3505
Fold 3 | Epoch [4/150] | Train Loss: 0.0123 | Val Loss: 0.0171 | R2: 0.1553 | Pearson: 0.4054
Fold 3 | Epoch [5/150] | Train Loss: 0.0112 | Val Loss: 0.0174 | R2: 0.1480 | Pearson: 0.4428
Fold 3 | Epoch [6/150] | Train Loss: 0.0108 | Val Loss: 0.0187 | R2: 0.0799 | Pearson: 0.4154
Fold 3 | Epoch [7/150] | Train Loss: 0.0095 | Val Loss: 0.0182 | R2: 0.1048 | Pearson: 0.4810
Fold 3 | Epoch [8/150] | Train Loss: 0.0084 | Val Loss: 0.0202 | R2: 0.0045 | Pearson: 0.3200
Fold 3 | Epoch [9/150] | Train Loss: 0.0076 | Val Loss: 0.0258 | R2: -0.2674 | Pearson: 0.4382
Fold 3 | Epoch [10/150] | Train Loss: 0.0069 | Val Loss: 0.0215 | R2: -0.0600 | Pearson: 0.3913
Fold 3 | Epoch [11/150] | Train Loss: 0.0061 | Val Loss: 0.0386 | R2: -0.8976 | Pearson: 0.2564
Fold 3 | Epoch [12/150] | Train Loss: 0.0055 | Val Loss: 0.0171 | R2: 0.1572 | Pearson: 0.4284
Fold 3 | Epoch [13/150] | Train Loss: 0.0049 | Val Loss: 0.0199 | R2: 0.0185 | Pearson: 0.4549
Fold 3 | Epoch [14/150] | Train Loss: 0.0042 | Val Loss: 0.0230 | R2: -0.1329 | Pearson: 0.4292
Fold 3 | Epoch [15/150] | Train Loss: 0.0046 | Val Loss: 0.0399 | R2: -0.9670 | Pearson: 0.3446
Fold 3 | Epoch [16/150] | Train Loss: 0.0044 | Val Loss: 0.0188 | R2: 0.0726 | Pearson: 0.3614
Fold 3 | Epoch [17/150] | Train Loss: 0.0037 | Val Loss: 0.0210 | R2: -0.0343 | Pearson: 0.4695
Fold 3 | Epoch [18/150] | Train Loss: 0.0034 | Val Loss: 0.0204 | R2: -0.0060 | Pearson: 0.4012
Fold 3 | Epoch [19/150] | Train Loss: 0.0033 | Val Loss: 0.0180 | R2: 0.1175 | Pearson: 0.4349
Fold 3 | Epoch [20/150] | Train Loss: 0.0027 | Val Loss: 0.0166 | R2: 0.1854 | Pearson: 0.5207
Fold 3 | Epoch [21/150] | Train Loss: 0.0029 | Val Loss: 0.0157 | R2: 0.2302 | Pearson: 0.4959
Fold 3 | Epoch [22/150] | Train Loss: 0.0027 | Val Loss: 0.0193 | R2: 0.0514 | Pearson: 0.4825
Fold 3 | Epoch [23/150] | Train Loss: 0.0030 | Val Loss: 0.0174 | R2: 0.1426 | Pearson: 0.4550
Fold 3 | Epoch [24/150] | Train Loss: 0.0024 | Val Loss: 0.0159 | R2: 0.2170 | Pearson: 0.4958
Fold 3 | Epoch [25/150] | Train Loss: 0.0027 | Val Loss: 0.0317 | R2: -0.5555 | Pearson: 0.4211
Fold 3 | Epoch [26/150] | Train Loss: 0.0023 | Val Loss: 0.0158 | R2: 0.2277 | Pearson: 0.4897
Fold 3 | Epoch [27/150] | Train Loss: 0.0023 | Val Loss: 0.0151 | R2: 0.2534 | Pearson: 0.5212
Fold 3 | Epoch [28/150] | Train Loss: 0.0021 | Val Loss: 0.0180 | R2: 0.1135 | Pearson: 0.4907
Fold 3 | Epoch [29/150] | Train Loss: 0.0020 | Val Loss: 0.0179 | R2: 0.1170 | Pearson: 0.4388
Fold 3 | Epoch [30/150] | Train Loss: 0.0019 | Val Loss: 0.0383 | R2: -0.8824 | Pearson: 0.3814
Fold 3 | Epoch [31/150] | Train Loss: 0.0019 | Val Loss: 0.0159 | R2: 0.2211 | Pearson: 0.4819
Fold 3 | Epoch [32/150] | Train Loss: 0.0017 | Val Loss: 0.0172 | R2: 0.1565 | Pearson: 0.4703
Fold 3 | Epoch [33/150] | Train Loss: 0.0019 | Val Loss: 0.0179 | R2: 0.1166 | Pearson: 0.4584
Fold 3 | Epoch [34/150] | Train Loss: 0.0017 | Val Loss: 0.0159 | R2: 0.2149 | Pearson: 0.4806
Fold 3 | Epoch [35/150] | Train Loss: 0.0019 | Val Loss: 0.0170 | R2: 0.1635 | Pearson: 0.4810
Fold 3 | Epoch [36/150] | Train Loss: 0.0019 | Val Loss: 0.0176 | R2: 0.1348 | Pearson: 0.4746
Fold 3 | Epoch [37/150] | Train Loss: 0.0017 | Val Loss: 0.0201 | R2: 0.0106 | Pearson: 0.4021
Fold 3 | Epoch [38/150] | Train Loss: 0.0016 | Val Loss: 0.0203 | R2: 0.0034 | Pearson: 0.4845
Fold 3 | Epoch [39/150] | Train Loss: 0.0017 | Val Loss: 0.0206 | R2: -0.0144 | Pearson: 0.4874
