Fold 4 | Epoch [1/150] | Train Loss: 0.0377 | Val Loss: 0.0168 | R2: 0.0218 | Pearson: 0.2511
Fold 4 | Epoch [2/150] | Train Loss: 0.0172 | Val Loss: 0.0223 | R2: -0.2970 | Pearson: 0.2432
Fold 4 | Epoch [3/150] | Train Loss: 0.0155 | Val Loss: 0.0193 | R2: -0.1203 | Pearson: 0.2789
Fold 4 | Epoch [4/150] | Train Loss: 0.0133 | Val Loss: 0.0224 | R2: -0.3040 | Pearson: 0.3161
Fold 4 | Epoch [5/150] | Train Loss: 0.0128 | Val Loss: 0.0159 | R2: 0.0759 | Pearson: 0.3477
Fold 4 | Epoch [6/150] | Train Loss: 0.0115 | Val Loss: 0.0160 | R2: 0.0666 | Pearson: 0.3679
Fold 4 | Epoch [7/150] | Train Loss: 0.0102 | Val Loss: 0.0169 | R2: 0.0179 | Pearson: 0.3419
Fold 4 | Epoch [8/150] | Train Loss: 0.0094 | Val Loss: 0.0230 | R2: -0.3349 | Pearson: 0.3536
Fold 4 | Epoch [9/150] | Train Loss: 0.0089 | Val Loss: 0.0157 | R2: 0.0853 | Pearson: 0.4110
Fold 4 | Epoch [10/150] | Train Loss: 0.0084 | Val Loss: 0.0148 | R2: 0.1391 | Pearson: 0.4519
Fold 4 | Epoch [11/150] | Train Loss: 0.0070 | Val Loss: 0.0151 | R2: 0.1212 | Pearson: 0.4314
Fold 4 | Epoch [12/150] | Train Loss: 0.0063 | Val Loss: 0.0151 | R2: 0.1256 | Pearson: 0.4611
Fold 4 | Epoch [13/150] | Train Loss: 0.0060 | Val Loss: 0.0167 | R2: 0.0245 | Pearson: 0.4086
Fold 4 | Epoch [14/150] | Train Loss: 0.0054 | Val Loss: 0.0181 | R2: -0.0562 | Pearson: 0.4678
Fold 4 | Epoch [15/150] | Train Loss: 0.0052 | Val Loss: 0.0151 | R2: 0.1224 | Pearson: 0.4527
Fold 4 | Epoch [16/150] | Train Loss: 0.0046 | Val Loss: 0.0197 | R2: -0.1485 | Pearson: 0.3833
Fold 4 | Epoch [17/150] | Train Loss: 0.0047 | Val Loss: 0.0183 | R2: -0.0637 | Pearson: 0.4276
Fold 4 | Epoch [18/150] | Train Loss: 0.0041 | Val Loss: 0.0149 | R2: 0.1314 | Pearson: 0.4571
Fold 4 | Epoch [19/150] | Train Loss: 0.0037 | Val Loss: 0.0146 | R2: 0.1500 | Pearson: 0.4435
Fold 4 | Epoch [20/150] | Train Loss: 0.0038 | Val Loss: 0.0142 | R2: 0.1753 | Pearson: 0.4738
Fold 4 | Epoch [21/150] | Train Loss: 0.0041 | Val Loss: 0.0204 | R2: -0.1872 | Pearson: 0.4697
Fold 4 | Epoch [22/150] | Train Loss: 0.0034 | Val Loss: 0.0145 | R2: 0.1579 | Pearson: 0.4573
Fold 4 | Epoch [23/150] | Train Loss: 0.0032 | Val Loss: 0.0227 | R2: -0.3221 | Pearson: 0.4087
Fold 4 | Epoch [24/150] | Train Loss: 0.0031 | Val Loss: 0.0142 | R2: 0.1737 | Pearson: 0.4569
Fold 4 | Epoch [25/150] | Train Loss: 0.0030 | Val Loss: 0.0142 | R2: 0.1702 | Pearson: 0.4710
Fold 4 | Epoch [26/150] | Train Loss: 0.0030 | Val Loss: 0.0241 | R2: -0.4021 | Pearson: 0.4589
Fold 4 | Epoch [27/150] | Train Loss: 0.0030 | Val Loss: 0.0151 | R2: 0.1221 | Pearson: 0.4591
Fold 4 | Epoch [28/150] | Train Loss: 0.0028 | Val Loss: 0.0135 | R2: 0.2190 | Pearson: 0.5081
Fold 4 | Epoch [29/150] | Train Loss: 0.0027 | Val Loss: 0.0128 | R2: 0.2551 | Pearson: 0.5324
Fold 4 | Epoch [30/150] | Train Loss: 0.0025 | Val Loss: 0.0166 | R2: 0.0342 | Pearson: 0.4544
Fold 4 | Epoch [31/150] | Train Loss: 0.0024 | Val Loss: 0.0218 | R2: -0.2709 | Pearson: 0.4836
Fold 4 | Epoch [32/150] | Train Loss: 0.0024 | Val Loss: 0.0161 | R2: 0.0618 | Pearson: 0.5037
Fold 4 | Epoch [33/150] | Train Loss: 0.0025 | Val Loss: 0.0143 | R2: 0.1698 | Pearson: 0.4697
Fold 4 | Epoch [34/150] | Train Loss: 0.0025 | Val Loss: 0.0154 | R2: 0.1009 | Pearson: 0.4226
Fold 4 | Epoch [35/150] | Train Loss: 0.0024 | Val Loss: 0.0136 | R2: 0.2095 | Pearson: 0.5167
Fold 4 | Epoch [36/150] | Train Loss: 0.0024 | Val Loss: 0.0143 | R2: 0.1692 | Pearson: 0.5022
Fold 4 | Epoch [37/150] | Train Loss: 0.0021 | Val Loss: 0.0151 | R2: 0.1199 | Pearson: 0.4636
Fold 4 | Epoch [38/150] | Train Loss: 0.0021 | Val Loss: 0.0134 | R2: 0.2205 | Pearson: 0.5036
Fold 4 | Epoch [39/150] | Train Loss: 0.0019 | Val Loss: 0.0136 | R2: 0.2101 | Pearson: 0.5265
Fold 4 | Epoch [40/150] | Train Loss: 0.0018 | Val Loss: 0.0147 | R2: 0.1473 | Pearson: 0.4327
Fold 4 | Epoch [41/150] | Train Loss: 0.0019 | Val Loss: 0.0175 | R2: -0.0161 | Pearson: 0.5176
Fold 4 | Epoch [42/150] | Train Loss: 0.0019 | Val Loss: 0.0165 | R2: 0.0422 | Pearson: 0.3571
Fold 4 | Epoch [43/150] | Train Loss: 0.0018 | Val Loss: 0.0161 | R2: 0.0634 | Pearson: 0.5094
Fold 4 | Epoch [44/150] | Train Loss: 0.0017 | Val Loss: 0.0163 | R2: 0.0512 | Pearson: 0.5338
Fold 4 | Epoch [45/150] | Train Loss: 0.0018 | Val Loss: 0.0147 | R2: 0.1437 | Pearson: 0.5251
Fold 4 | Epoch [46/150] | Train Loss: 0.0015 | Val Loss: 0.0136 | R2: 0.2083 | Pearson: 0.4804
Fold 4 | Epoch [47/150] | Train Loss: 0.0015 | Val Loss: 0.0155 | R2: 0.0979 | Pearson: 0.4981
Fold 4 | Epoch [48/150] | Train Loss: 0.0014 | Val Loss: 0.0124 | R2: 0.2812 | Pearson: 0.5484
Fold 4 | Epoch [49/150] | Train Loss: 0.0016 | Val Loss: 0.0134 | R2: 0.2246 | Pearson: 0.4997
Fold 4 | Epoch [50/150] | Train Loss: 0.0015 | Val Loss: 0.0128 | R2: 0.2536 | Pearson: 0.5393
Fold 4 | Epoch [51/150] | Train Loss: 0.0014 | Val Loss: 0.0128 | R2: 0.2561 | Pearson: 0.5473
Fold 4 | Epoch [52/150] | Train Loss: 0.0015 | Val Loss: 0.0148 | R2: 0.1396 | Pearson: 0.4851
Fold 4 | Epoch [53/150] | Train Loss: 0.0013 | Val Loss: 0.0127 | R2: 0.2595 | Pearson: 0.5288
Fold 4 | Epoch [54/150] | Train Loss: 0.0014 | Val Loss: 0.0127 | R2: 0.2634 | Pearson: 0.5245
Fold 4 | Epoch [55/150] | Train Loss: 0.0012 | Val Loss: 0.0123 | R2: 0.2897 | Pearson: 0.5610
Fold 4 | Epoch [56/150] | Train Loss: 0.0013 | Val Loss: 0.0124 | R2: 0.2809 | Pearson: 0.5377
Fold 4 | Epoch [57/150] | Train Loss: 0.0012 | Val Loss: 0.0119 | R2: 0.3105 | Pearson: 0.5701
Fold 4 | Epoch [58/150] | Train Loss: 0.0013 | Val Loss: 0.0127 | R2: 0.2604 | Pearson: 0.5266
Fold 4 | Epoch [59/150] | Train Loss: 0.0012 | Val Loss: 0.0130 | R2: 0.2434 | Pearson: 0.5602
Fold 4 | Epoch [60/150] | Train Loss: 0.0011 | Val Loss: 0.0136 | R2: 0.2071 | Pearson: 0.5514
Fold 4 | Epoch [61/150] | Train Loss: 0.0011 | Val Loss: 0.0138 | R2: 0.1965 | Pearson: 0.5472
Fold 4 | Epoch [62/150] | Train Loss: 0.0013 | Val Loss: 0.0173 | R2: -0.0070 | Pearson: 0.5428
Fold 4 | Epoch [63/150] | Train Loss: 0.0012 | Val Loss: 0.0146 | R2: 0.1496 | Pearson: 0.5486
Fold 4 | Epoch [64/150] | Train Loss: 0.0011 | Val Loss: 0.0153 | R2: 0.1108 | Pearson: 0.5395
Fold 4 | Epoch [65/150] | Train Loss: 0.0010 | Val Loss: 0.0139 | R2: 0.1937 | Pearson: 0.5768
Fold 4 | Epoch [66/150] | Train Loss: 0.0011 | Val Loss: 0.0132 | R2: 0.2360 | Pearson: 0.5149
Fold 4 | Epoch [67/150] | Train Loss: 0.0010 | Val Loss: 0.0126 | R2: 0.2704 | Pearson: 0.5624
Fold 4 | Epoch [68/150] | Train Loss: 0.0010 | Val Loss: 0.0140 | R2: 0.1872 | Pearson: 0.5495
Fold 4 | Epoch [69/150] | Train Loss: 0.0010 | Val Loss: 0.0160 | R2: 0.0703 | Pearson: 0.5301
Fold 4 | Epoch [70/150] | Train Loss: 0.0010 | Val Loss: 0.0134 | R2: 0.2185 | Pearson: 0.5395
Fold 4 | Epoch [71/150] | Train Loss: 0.0009 | Val Loss: 0.0177 | R2: -0.0260 | Pearson: 0.5329
Fold 4 | Epoch [72/150] | Train Loss: 0.0009 | Val Loss: 0.0121 | R2: 0.2980 | Pearson: 0.5538
Fold 4 | Epoch [73/150] | Train Loss: 0.0009 | Val Loss: 0.0119 | R2: 0.3101 | Pearson: 0.5631
Fold 4 | Epoch [74/150] | Train Loss: 0.0009 | Val Loss: 0.0129 | R2: 0.2512 | Pearson: 0.5644
Fold 4 | Epoch [75/150] | Train Loss: 0.0009 | Val Loss: 0.0163 | R2: 0.0526 | Pearson: 0.5345
Fold 4 | Epoch [76/150] | Train Loss: 0.0008 | Val Loss: 0.0124 | R2: 0.2775 | Pearson: 0.5689
Fold 4 | Epoch [77/150] | Train Loss: 0.0008 | Val Loss: 0.0118 | R2: 0.3120 | Pearson: 0.5656
Fold 4 | Epoch [78/150] | Train Loss: 0.0008 | Val Loss: 0.0121 | R2: 0.2957 | Pearson: 0.5479
Fold 4 | Epoch [79/150] | Train Loss: 0.0007 | Val Loss: 0.0128 | R2: 0.2531 | Pearson: 0.5345
Fold 4 | Epoch [80/150] | Train Loss: 0.0008 | Val Loss: 0.0122 | R2: 0.2918 | Pearson: 0.5419
Fold 4 | Epoch [81/150] | Train Loss: 0.0008 | Val Loss: 0.0130 | R2: 0.2437 | Pearson: 0.5559
Fold 4 | Epoch [82/150] | Train Loss: 0.0008 | Val Loss: 0.0124 | R2: 0.2803 | Pearson: 0.5464
Fold 4 | Epoch [83/150] | Train Loss: 0.0007 | Val Loss: 0.0125 | R2: 0.2776 | Pearson: 0.5441
Fold 4 | Epoch [84/150] | Train Loss: 0.0007 | Val Loss: 0.0134 | R2: 0.2183 | Pearson: 0.5507
Fold 4 | Epoch [85/150] | Train Loss: 0.0007 | Val Loss: 0.0129 | R2: 0.2470 | Pearson: 0.5738
Fold 4 | Epoch [86/150] | Train Loss: 0.0007 | Val Loss: 0.0120 | R2: 0.3002 | Pearson: 0.5614
Fold 4 | Epoch [87/150] | Train Loss: 0.0007 | Val Loss: 0.0129 | R2: 0.2498 | Pearson: 0.5589
Fold 4 | Epoch [88/150] | Train Loss: 0.0007 | Val Loss: 0.0130 | R2: 0.2391 | Pearson: 0.5630
Fold 4 | Epoch [89/150] | Train Loss: 0.0006 | Val Loss: 0.0120 | R2: 0.3023 | Pearson: 0.5580
Fold 4 | Epoch [90/150] | Train Loss: 0.0006 | Val Loss: 0.0122 | R2: 0.2892 | Pearson: 0.5524
Fold 4 | Epoch [91/150] | Train Loss: 0.0006 | Val Loss: 0.0118 | R2: 0.3137 | Pearson: 0.5632
Fold 4 | Epoch [92/150] | Train Loss: 0.0006 | Val Loss: 0.0125 | R2: 0.2742 | Pearson: 0.5561
Fold 4 | Epoch [93/150] | Train Loss: 0.0006 | Val Loss: 0.0120 | R2: 0.3054 | Pearson: 0.5754
Fold 4 | Epoch [94/150] | Train Loss: 0.0006 | Val Loss: 0.0126 | R2: 0.2673 | Pearson: 0.5608
Fold 4 | Epoch [95/150] | Train Loss: 0.0006 | Val Loss: 0.0117 | R2: 0.3192 | Pearson: 0.5811
Fold 4 | Epoch [96/150] | Train Loss: 0.0005 | Val Loss: 0.0136 | R2: 0.2072 | Pearson: 0.5606
Fold 4 | Epoch [97/150] | Train Loss: 0.0006 | Val Loss: 0.0120 | R2: 0.3023 | Pearson: 0.5666
Fold 4 | Epoch [98/150] | Train Loss: 0.0005 | Val Loss: 0.0122 | R2: 0.2900 | Pearson: 0.5688
Fold 4 | Epoch [99/150] | Train Loss: 0.0005 | Val Loss: 0.0130 | R2: 0.2432 | Pearson: 0.5724
Fold 4 | Epoch [100/150] | Train Loss: 0.0006 | Val Loss: 0.0121 | R2: 0.2964 | Pearson: 0.5735
Fold 4 | Epoch [101/150] | Train Loss: 0.0005 | Val Loss: 0.0116 | R2: 0.3268 | Pearson: 0.5742
Fold 4 | Epoch [102/150] | Train Loss: 0.0006 | Val Loss: 0.0121 | R2: 0.2959 | Pearson: 0.5458
Fold 4 | Epoch [103/150] | Train Loss: 0.0006 | Val Loss: 0.0119 | R2: 0.3041 | Pearson: 0.5709
Fold 4 | Epoch [104/150] | Train Loss: 0.0005 | Val Loss: 0.0114 | R2: 0.3352 | Pearson: 0.5795
Fold 4 | Epoch [105/150] | Train Loss: 0.0005 | Val Loss: 0.0121 | R2: 0.2964 | Pearson: 0.5538
Fold 4 | Epoch [106/150] | Train Loss: 0.0005 | Val Loss: 0.0120 | R2: 0.3031 | Pearson: 0.5895
Fold 4 | Epoch [107/150] | Train Loss: 0.0005 | Val Loss: 0.0119 | R2: 0.3088 | Pearson: 0.5758
Fold 4 | Epoch [108/150] | Train Loss: 0.0005 | Val Loss: 0.0125 | R2: 0.2722 | Pearson: 0.5718
Fold 4 | Epoch [109/150] | Train Loss: 0.0005 | Val Loss: 0.0116 | R2: 0.3252 | Pearson: 0.5726
Fold 4 | Epoch [110/150] | Train Loss: 0.0004 | Val Loss: 0.0115 | R2: 0.3271 | Pearson: 0.5849
Fold 4 | Epoch [111/150] | Train Loss: 0.0005 | Val Loss: 0.0123 | R2: 0.2835 | Pearson: 0.5704
Fold 4 | Epoch [112/150] | Train Loss: 0.0005 | Val Loss: 0.0121 | R2: 0.2965 | Pearson: 0.5685
Fold 4 | Epoch [113/150] | Train Loss: 0.0004 | Val Loss: 0.0116 | R2: 0.3255 | Pearson: 0.5735
Fold 4 | Epoch [114/150] | Train Loss: 0.0004 | Val Loss: 0.0115 | R2: 0.3320 | Pearson: 0.5830
Fold 4 | Epoch [115/150] | Train Loss: 0.0004 | Val Loss: 0.0119 | R2: 0.3063 | Pearson: 0.5745
Fold 4 | Epoch [116/150] | Train Loss: 0.0004 | Val Loss: 0.0118 | R2: 0.3173 | Pearson: 0.5764
