Fold 1 | Epoch [1/80] | Train Loss: 0.0318 | Val Loss: 0.0277 | R2: -0.6229 | Pearson: 0.1869
Fold 1 | Epoch [2/80] | Train Loss: 0.0161 | Val Loss: 0.0152 | R2: 0.1080 | Pearson: 0.3618
Fold 1 | Epoch [3/80] | Train Loss: 0.0145 | Val Loss: 0.0229 | R2: -0.3406 | Pearson: 0.4022
Fold 1 | Epoch [4/80] | Train Loss: 0.0138 | Val Loss: 0.0165 | R2: 0.0331 | Pearson: 0.3871
Fold 1 | Epoch [5/80] | Train Loss: 0.0129 | Val Loss: 0.0135 | R2: 0.2060 | Pearson: 0.4826
Fold 1 | Epoch [6/80] | Train Loss: 0.0117 | Val Loss: 0.0208 | R2: -0.2201 | Pearson: 0.3988
Fold 1 | Epoch [7/80] | Train Loss: 0.0104 | Val Loss: 0.0138 | R2: 0.1942 | Pearson: 0.4540
Fold 1 | Epoch [8/80] | Train Loss: 0.0091 | Val Loss: 0.0232 | R2: -0.3586 | Pearson: 0.3532
Fold 1 | Epoch [9/80] | Train Loss: 0.0085 | Val Loss: 0.0138 | R2: 0.1924 | Pearson: 0.4691
Fold 1 | Epoch [10/80] | Train Loss: 0.0077 | Val Loss: 0.0272 | R2: -0.5912 | Pearson: 0.2731
Fold 1 | Epoch [11/80] | Train Loss: 0.0072 | Val Loss: 0.0262 | R2: -0.5342 | Pearson: 0.4614
Fold 1 | Epoch [12/80] | Train Loss: 0.0060 | Val Loss: 0.0141 | R2: 0.1732 | Pearson: 0.4528
Fold 1 | Epoch [13/80] | Train Loss: 0.0053 | Val Loss: 0.0167 | R2: 0.0232 | Pearson: 0.4622
Fold 1 | Epoch [14/80] | Train Loss: 0.0047 | Val Loss: 0.0254 | R2: -0.4820 | Pearson: 0.4240
Fold 1 | Epoch [15/80] | Train Loss: 0.0044 | Val Loss: 0.0178 | R2: -0.0439 | Pearson: 0.3349
Fold 1 | Epoch [16/80] | Train Loss: 0.0044 | Val Loss: 0.0150 | R2: 0.1207 | Pearson: 0.4508
Fold 1 | Epoch [17/80] | Train Loss: 0.0039 | Val Loss: 0.0135 | R2: 0.2139 | Pearson: 0.5127
Fold 1 | Epoch [18/80] | Train Loss: 0.0033 | Val Loss: 0.0145 | R2: 0.1527 | Pearson: 0.4708
Fold 1 | Epoch [19/80] | Train Loss: 0.0037 | Val Loss: 0.0269 | R2: -0.5740 | Pearson: 0.4513
Fold 1 | Epoch [20/80] | Train Loss: 0.0033 | Val Loss: 0.0145 | R2: 0.1524 | Pearson: 0.5251
Fold 1 | Epoch [21/80] | Train Loss: 0.0029 | Val Loss: 0.0147 | R2: 0.1385 | Pearson: 0.4469
Fold 1 | Epoch [22/80] | Train Loss: 0.0030 | Val Loss: 0.0157 | R2: 0.0814 | Pearson: 0.4273
Fold 1 | Epoch [23/80] | Train Loss: 0.0027 | Val Loss: 0.0231 | R2: -0.3540 | Pearson: 0.3595
Fold 1 | Epoch [24/80] | Train Loss: 0.0026 | Val Loss: 0.0147 | R2: 0.1374 | Pearson: 0.4790
Fold 1 | Epoch [25/80] | Train Loss: 0.0026 | Val Loss: 0.0162 | R2: 0.0506 | Pearson: 0.4839
Fold 1 | Epoch [26/80] | Train Loss: 0.0025 | Val Loss: 0.0131 | R2: 0.2343 | Pearson: 0.5080
Fold 1 | Epoch [27/80] | Train Loss: 0.0023 | Val Loss: 0.0145 | R2: 0.1535 | Pearson: 0.5180
Fold 1 | Epoch [28/80] | Train Loss: 0.0024 | Val Loss: 0.0179 | R2: -0.0411 | Pearson: 0.4837
Fold 1 | Epoch [29/80] | Train Loss: 0.0022 | Val Loss: 0.0130 | R2: 0.2373 | Pearson: 0.5307
Fold 1 | Epoch [30/80] | Train Loss: 0.0022 | Val Loss: 0.0132 | R2: 0.2273 | Pearson: 0.5204
Fold 1 | Epoch [31/80] | Train Loss: 0.0018 | Val Loss: 0.0143 | R2: 0.1638 | Pearson: 0.5311
Fold 1 | Epoch [32/80] | Train Loss: 0.0019 | Val Loss: 0.0123 | R2: 0.2761 | Pearson: 0.5554
Fold 1 | Epoch [33/80] | Train Loss: 0.0018 | Val Loss: 0.0203 | R2: -0.1888 | Pearson: 0.5388
Fold 1 | Epoch [34/80] | Train Loss: 0.0018 | Val Loss: 0.0145 | R2: 0.1506 | Pearson: 0.4685
Fold 1 | Epoch [35/80] | Train Loss: 0.0016 | Val Loss: 0.0164 | R2: 0.0391 | Pearson: 0.5053
Fold 1 | Epoch [36/80] | Train Loss: 0.0016 | Val Loss: 0.0158 | R2: 0.0743 | Pearson: 0.3355
Fold 1 | Epoch [37/80] | Train Loss: 0.0016 | Val Loss: 0.0133 | R2: 0.2223 | Pearson: 0.5255
Fold 1 | Epoch [38/80] | Train Loss: 0.0015 | Val Loss: 0.0154 | R2: 0.0994 | Pearson: 0.5157
Fold 1 | Epoch [39/80] | Train Loss: 0.0015 | Val Loss: 0.0134 | R2: 0.2147 | Pearson: 0.5501
Fold 1 | Epoch [40/80] | Train Loss: 0.0014 | Val Loss: 0.0175 | R2: -0.0262 | Pearson: 0.4964
Fold 1 | Epoch [41/80] | Train Loss: 0.0014 | Val Loss: 0.0127 | R2: 0.2563 | Pearson: 0.5383
Fold 1 | Epoch [42/80] | Train Loss: 0.0012 | Val Loss: 0.0186 | R2: -0.0885 | Pearson: 0.5277
Fold 1 | Epoch [43/80] | Train Loss: 0.0012 | Val Loss: 0.0123 | R2: 0.2779 | Pearson: 0.5394
Fold 1 | Epoch [44/80] | Train Loss: 0.0012 | Val Loss: 0.0138 | R2: 0.1906 | Pearson: 0.5191
Fold 1 | Epoch [45/80] | Train Loss: 0.0012 | Val Loss: 0.0129 | R2: 0.2413 | Pearson: 0.5470
Fold 1 | Epoch [46/80] | Train Loss: 0.0012 | Val Loss: 0.0130 | R2: 0.2367 | Pearson: 0.5095
Fold 1 | Epoch [47/80] | Train Loss: 0.0011 | Val Loss: 0.0155 | R2: 0.0946 | Pearson: 0.5086
Fold 1 | Epoch [48/80] | Train Loss: 0.0010 | Val Loss: 0.0139 | R2: 0.1873 | Pearson: 0.5276
Fold 1 | Epoch [49/80] | Train Loss: 0.0010 | Val Loss: 0.0138 | R2: 0.1964 | Pearson: 0.5413
Fold 1 | Epoch [50/80] | Train Loss: 0.0010 | Val Loss: 0.0181 | R2: -0.0633 | Pearson: 0.5299
Fold 1 | Epoch [51/80] | Train Loss: 0.0010 | Val Loss: 0.0117 | R2: 0.3155 | Pearson: 0.5686
Fold 1 | Epoch [52/80] | Train Loss: 0.0008 | Val Loss: 0.0184 | R2: -0.0775 | Pearson: 0.4887
Fold 1 | Epoch [53/80] | Train Loss: 0.0010 | Val Loss: 0.0125 | R2: 0.2723 | Pearson: 0.5418
Fold 1 | Epoch [54/80] | Train Loss: 0.0009 | Val Loss: 0.0125 | R2: 0.2667 | Pearson: 0.5444
Fold 1 | Epoch [55/80] | Train Loss: 0.0008 | Val Loss: 0.0120 | R2: 0.2995 | Pearson: 0.5775
Fold 1 | Epoch [56/80] | Train Loss: 0.0008 | Val Loss: 0.0120 | R2: 0.2993 | Pearson: 0.5517
Fold 1 | Epoch [57/80] | Train Loss: 0.0007 | Val Loss: 0.0120 | R2: 0.2986 | Pearson: 0.5590
Fold 1 | Epoch [58/80] | Train Loss: 0.0007 | Val Loss: 0.0125 | R2: 0.2657 | Pearson: 0.5395
Fold 1 | Epoch [59/80] | Train Loss: 0.0006 | Val Loss: 0.0117 | R2: 0.3144 | Pearson: 0.5643
Fold 1 | Epoch [60/80] | Train Loss: 0.0008 | Val Loss: 0.0122 | R2: 0.2845 | Pearson: 0.5622
Fold 1 | Epoch [61/80] | Train Loss: 0.0007 | Val Loss: 0.0120 | R2: 0.2977 | Pearson: 0.5531
Fold 1 | Epoch [62/80] | Train Loss: 0.0007 | Val Loss: 0.0119 | R2: 0.3017 | Pearson: 0.5530
Fold 1 | Epoch [63/80] | Train Loss: 0.0007 | Val Loss: 0.0121 | R2: 0.2910 | Pearson: 0.5577
Fold 1 | Epoch [64/80] | Train Loss: 0.0007 | Val Loss: 0.0124 | R2: 0.2746 | Pearson: 0.5582
Fold 1 | Epoch [65/80] | Train Loss: 0.0007 | Val Loss: 0.0121 | R2: 0.2951 | Pearson: 0.5472
Fold 1 | Epoch [66/80] | Train Loss: 0.0006 | Val Loss: 0.0121 | R2: 0.2904 | Pearson: 0.5532
Fold 1 | Epoch [67/80] | Train Loss: 0.0006 | Val Loss: 0.0119 | R2: 0.3043 | Pearson: 0.5554
Fold 1 | Epoch [68/80] | Train Loss: 0.0006 | Val Loss: 0.0119 | R2: 0.3056 | Pearson: 0.5564
Fold 1 | Epoch [69/80] | Train Loss: 0.0006 | Val Loss: 0.0118 | R2: 0.3088 | Pearson: 0.5590
Fold 1 | Epoch [70/80] | Train Loss: 0.0006 | Val Loss: 0.0122 | R2: 0.2831 | Pearson: 0.5510
Fold 1 | Epoch [71/80] | Train Loss: 0.0007 | Val Loss: 0.0118 | R2: 0.3054 | Pearson: 0.5582
Fold 1 | Epoch [72/80] | Train Loss: 0.0006 | Val Loss: 0.0118 | R2: 0.3113 | Pearson: 0.5608
Fold 1 | Epoch [73/80] | Train Loss: 0.0006 | Val Loss: 0.0119 | R2: 0.3014 | Pearson: 0.5534
Fold 1 | Epoch [74/80] | Train Loss: 0.0006 | Val Loss: 0.0119 | R2: 0.3034 | Pearson: 0.5548
Fold 1 | Epoch [75/80] | Train Loss: 0.0005 | Val Loss: 0.0119 | R2: 0.3042 | Pearson: 0.5541
Fold 1 | Epoch [76/80] | Train Loss: 0.0006 | Val Loss: 0.0118 | R2: 0.3096 | Pearson: 0.5598
Fold 1 | Epoch [77/80] | Train Loss: 0.0006 | Val Loss: 0.0117 | R2: 0.3114 | Pearson: 0.5605
Fold 1 | Epoch [78/80] | Train Loss: 0.0006 | Val Loss: 0.0117 | R2: 0.3132 | Pearson: 0.5626
Fold 1 | Epoch [79/80] | Train Loss: 0.0006 | Val Loss: 0.0118 | R2: 0.3074 | Pearson: 0.5606
Fold 1 | Epoch [80/80] | Train Loss: 0.0005 | Val Loss: 0.0118 | R2: 0.3084 | Pearson: 0.5574
