Fold 2 | Epoch [1/80] | Train Loss: 0.0360 | Val Loss: 0.0176 | R2: -0.0192 | Pearson: 0.2893
Fold 2 | Epoch [2/80] | Train Loss: 0.0164 | Val Loss: 0.0170 | R2: 0.0135 | Pearson: 0.2696
Fold 2 | Epoch [3/80] | Train Loss: 0.0154 | Val Loss: 0.0153 | R2: 0.1124 | Pearson: 0.3903
Fold 2 | Epoch [4/80] | Train Loss: 0.0146 | Val Loss: 0.0165 | R2: 0.0418 | Pearson: 0.3608
Fold 2 | Epoch [5/80] | Train Loss: 0.0136 | Val Loss: 0.0181 | R2: -0.0471 | Pearson: 0.2591
Fold 2 | Epoch [6/80] | Train Loss: 0.0125 | Val Loss: 0.0187 | R2: -0.0834 | Pearson: 0.4100
Fold 2 | Epoch [7/80] | Train Loss: 0.0114 | Val Loss: 0.0176 | R2: -0.0212 | Pearson: 0.3224
Fold 2 | Epoch [8/80] | Train Loss: 0.0107 | Val Loss: 0.0145 | R2: 0.1590 | Pearson: 0.4350
Fold 2 | Epoch [9/80] | Train Loss: 0.0102 | Val Loss: 0.0152 | R2: 0.1212 | Pearson: 0.4321
Fold 2 | Epoch [10/80] | Train Loss: 0.0091 | Val Loss: 0.0202 | R2: -0.1732 | Pearson: 0.3900
Fold 2 | Epoch [11/80] | Train Loss: 0.0086 | Val Loss: 0.0133 | R2: 0.2296 | Pearson: 0.4911
Fold 2 | Epoch [12/80] | Train Loss: 0.0074 | Val Loss: 0.0137 | R2: 0.2098 | Pearson: 0.5156
Fold 2 | Epoch [13/80] | Train Loss: 0.0066 | Val Loss: 0.0215 | R2: -0.2489 | Pearson: 0.4916
Fold 2 | Epoch [14/80] | Train Loss: 0.0060 | Val Loss: 0.0149 | R2: 0.1348 | Pearson: 0.4581
Fold 2 | Epoch [15/80] | Train Loss: 0.0056 | Val Loss: 0.0140 | R2: 0.1939 | Pearson: 0.4769
Fold 2 | Epoch [16/80] | Train Loss: 0.0051 | Val Loss: 0.0158 | R2: 0.0888 | Pearson: 0.4342
Fold 2 | Epoch [17/80] | Train Loss: 0.0051 | Val Loss: 0.0141 | R2: 0.1812 | Pearson: 0.4836
Fold 2 | Epoch [18/80] | Train Loss: 0.0047 | Val Loss: 0.0137 | R2: 0.2076 | Pearson: 0.5050
Fold 2 | Epoch [19/80] | Train Loss: 0.0048 | Val Loss: 0.0206 | R2: -0.1951 | Pearson: 0.4024
Fold 2 | Epoch [20/80] | Train Loss: 0.0040 | Val Loss: 0.0245 | R2: -0.4240 | Pearson: 0.4145
Fold 2 | Epoch [21/80] | Train Loss: 0.0033 | Val Loss: 0.0134 | R2: 0.2222 | Pearson: 0.5015
Fold 2 | Epoch [22/80] | Train Loss: 0.0034 | Val Loss: 0.0174 | R2: -0.0073 | Pearson: 0.4754
Fold 2 | Epoch [23/80] | Train Loss: 0.0033 | Val Loss: 0.0141 | R2: 0.1810 | Pearson: 0.4838
Fold 2 | Epoch [24/80] | Train Loss: 0.0034 | Val Loss: 0.0143 | R2: 0.1688 | Pearson: 0.5083
Fold 2 | Epoch [25/80] | Train Loss: 0.0027 | Val Loss: 0.0189 | R2: -0.0940 | Pearson: 0.4635
Fold 2 | Epoch [26/80] | Train Loss: 0.0027 | Val Loss: 0.0163 | R2: 0.0510 | Pearson: 0.4834
Fold 2 | Epoch [27/80] | Train Loss: 0.0028 | Val Loss: 0.0194 | R2: -0.1258 | Pearson: 0.4765
Fold 2 | Epoch [28/80] | Train Loss: 0.0025 | Val Loss: 0.0146 | R2: 0.1524 | Pearson: 0.5007
Fold 2 | Epoch [29/80] | Train Loss: 0.0023 | Val Loss: 0.0130 | R2: 0.2483 | Pearson: 0.5291
Fold 2 | Epoch [30/80] | Train Loss: 0.0022 | Val Loss: 0.0155 | R2: 0.1004 | Pearson: 0.5392
Fold 2 | Epoch [31/80] | Train Loss: 0.0020 | Val Loss: 0.0129 | R2: 0.2544 | Pearson: 0.5322
Fold 2 | Epoch [32/80] | Train Loss: 0.0020 | Val Loss: 0.0131 | R2: 0.2396 | Pearson: 0.5169
Fold 2 | Epoch [33/80] | Train Loss: 0.0020 | Val Loss: 0.0165 | R2: 0.0474 | Pearson: 0.3999
Fold 2 | Epoch [34/80] | Train Loss: 0.0022 | Val Loss: 0.0129 | R2: 0.2487 | Pearson: 0.5263
Fold 2 | Epoch [35/80] | Train Loss: 0.0019 | Val Loss: 0.0135 | R2: 0.2193 | Pearson: 0.5125
Fold 2 | Epoch [36/80] | Train Loss: 0.0018 | Val Loss: 0.0135 | R2: 0.2187 | Pearson: 0.5193
Fold 2 | Epoch [37/80] | Train Loss: 0.0018 | Val Loss: 0.0133 | R2: 0.2309 | Pearson: 0.5026
Fold 2 | Epoch [38/80] | Train Loss: 0.0015 | Val Loss: 0.0137 | R2: 0.2024 | Pearson: 0.5022
Fold 2 | Epoch [39/80] | Train Loss: 0.0016 | Val Loss: 0.0124 | R2: 0.2775 | Pearson: 0.5436
Fold 2 | Epoch [40/80] | Train Loss: 0.0015 | Val Loss: 0.0153 | R2: 0.1111 | Pearson: 0.5008
Fold 2 | Epoch [41/80] | Train Loss: 0.0015 | Val Loss: 0.0153 | R2: 0.1106 | Pearson: 0.5312
Fold 2 | Epoch [42/80] | Train Loss: 0.0018 | Val Loss: 0.0176 | R2: -0.0232 | Pearson: 0.5298
Fold 2 | Epoch [43/80] | Train Loss: 0.0018 | Val Loss: 0.0129 | R2: 0.2553 | Pearson: 0.5323
Fold 2 | Epoch [44/80] | Train Loss: 0.0014 | Val Loss: 0.0127 | R2: 0.2632 | Pearson: 0.5317
Fold 2 | Epoch [45/80] | Train Loss: 0.0013 | Val Loss: 0.0131 | R2: 0.2376 | Pearson: 0.5360
Fold 2 | Epoch [46/80] | Train Loss: 0.0013 | Val Loss: 0.0129 | R2: 0.2529 | Pearson: 0.5212
Fold 2 | Epoch [47/80] | Train Loss: 0.0014 | Val Loss: 0.0167 | R2: 0.0318 | Pearson: 0.4993
Fold 2 | Epoch [48/80] | Train Loss: 0.0012 | Val Loss: 0.0148 | R2: 0.1413 | Pearson: 0.5318
Fold 2 | Epoch [49/80] | Train Loss: 0.0011 | Val Loss: 0.0131 | R2: 0.2408 | Pearson: 0.5162
Fold 2 | Epoch [50/80] | Train Loss: 0.0011 | Val Loss: 0.0126 | R2: 0.2699 | Pearson: 0.5299
Fold 2 | Epoch [51/80] | Train Loss: 0.0011 | Val Loss: 0.0129 | R2: 0.2508 | Pearson: 0.5438
Fold 2 | Epoch [52/80] | Train Loss: 0.0010 | Val Loss: 0.0124 | R2: 0.2771 | Pearson: 0.5421
Fold 2 | Epoch [53/80] | Train Loss: 0.0010 | Val Loss: 0.0128 | R2: 0.2587 | Pearson: 0.5245
