Fold 3 | Epoch [1/80] | Train Loss: 0.0271 | Val Loss: 0.0243 | R2: -0.2000 | Pearson: 0.2533
Fold 3 | Epoch [2/80] | Train Loss: 0.0153 | Val Loss: 0.0204 | R2: -0.0085 | Pearson: 0.2390
Fold 3 | Epoch [3/80] | Train Loss: 0.0138 | Val Loss: 0.0187 | R2: 0.0798 | Pearson: 0.3347
Fold 3 | Epoch [4/80] | Train Loss: 0.0122 | Val Loss: 0.0318 | R2: -0.5662 | Pearson: 0.3327
Fold 3 | Epoch [5/80] | Train Loss: 0.0111 | Val Loss: 0.0284 | R2: -0.4006 | Pearson: 0.3362
Fold 3 | Epoch [6/80] | Train Loss: 0.0102 | Val Loss: 0.0174 | R2: 0.1441 | Pearson: 0.4138
Fold 3 | Epoch [7/80] | Train Loss: 0.0096 | Val Loss: 0.0486 | R2: -1.3927 | Pearson: 0.2542
Fold 3 | Epoch [8/80] | Train Loss: 0.0082 | Val Loss: 0.0372 | R2: -0.8332 | Pearson: 0.3431
Fold 3 | Epoch [9/80] | Train Loss: 0.0077 | Val Loss: 0.0291 | R2: -0.4347 | Pearson: 0.3934
Fold 3 | Epoch [10/80] | Train Loss: 0.0066 | Val Loss: 0.0215 | R2: -0.0589 | Pearson: 0.2387
Fold 3 | Epoch [11/80] | Train Loss: 0.0064 | Val Loss: 0.0181 | R2: 0.1070 | Pearson: 0.3866
Fold 3 | Epoch [12/80] | Train Loss: 0.0056 | Val Loss: 0.0163 | R2: 0.2001 | Pearson: 0.4688
Fold 3 | Epoch [13/80] | Train Loss: 0.0052 | Val Loss: 0.0229 | R2: -0.1266 | Pearson: 0.4197
Fold 3 | Epoch [14/80] | Train Loss: 0.0049 | Val Loss: 0.0155 | R2: 0.2415 | Pearson: 0.5187
Fold 3 | Epoch [15/80] | Train Loss: 0.0043 | Val Loss: 0.0182 | R2: 0.1035 | Pearson: 0.4304
Fold 3 | Epoch [16/80] | Train Loss: 0.0037 | Val Loss: 0.0404 | R2: -0.9917 | Pearson: 0.2272
Fold 3 | Epoch [17/80] | Train Loss: 0.0038 | Val Loss: 0.0445 | R2: -1.1908 | Pearson: 0.3034
Fold 3 | Epoch [18/80] | Train Loss: 0.0033 | Val Loss: 0.0368 | R2: -0.8150 | Pearson: 0.2677
Fold 3 | Epoch [19/80] | Train Loss: 0.0032 | Val Loss: 0.0223 | R2: -0.0977 | Pearson: 0.4176
Fold 3 | Epoch [20/80] | Train Loss: 0.0028 | Val Loss: 0.0192 | R2: 0.0562 | Pearson: 0.5061
Fold 3 | Epoch [21/80] | Train Loss: 0.0026 | Val Loss: 0.0206 | R2: -0.0123 | Pearson: 0.3575
Fold 3 | Epoch [22/80] | Train Loss: 0.0027 | Val Loss: 0.0453 | R2: -1.2296 | Pearson: 0.2610
Fold 3 | Epoch [23/80] | Train Loss: 0.0028 | Val Loss: 0.0205 | R2: -0.0070 | Pearson: 0.3474
Fold 3 | Epoch [24/80] | Train Loss: 0.0024 | Val Loss: 0.0202 | R2: 0.0016 | Pearson: 0.4785
Fold 3 | Epoch [25/80] | Train Loss: 0.0024 | Val Loss: 0.0216 | R2: -0.0613 | Pearson: 0.4393
Fold 3 | Epoch [26/80] | Train Loss: 0.0021 | Val Loss: 0.0240 | R2: -0.1808 | Pearson: 0.4241
Fold 3 | Epoch [27/80] | Train Loss: 0.0023 | Val Loss: 0.0170 | R2: 0.1641 | Pearson: 0.4887
Fold 3 | Epoch [28/80] | Train Loss: 0.0020 | Val Loss: 0.0158 | R2: 0.2243 | Pearson: 0.5078
Fold 3 | Epoch [29/80] | Train Loss: 0.0019 | Val Loss: 0.0248 | R2: -0.2209 | Pearson: 0.4196
Fold 3 | Epoch [30/80] | Train Loss: 0.0019 | Val Loss: 0.0300 | R2: -0.4811 | Pearson: 0.3540
Fold 3 | Epoch [31/80] | Train Loss: 0.0019 | Val Loss: 0.0162 | R2: 0.2008 | Pearson: 0.5051
Fold 3 | Epoch [32/80] | Train Loss: 0.0017 | Val Loss: 0.0146 | R2: 0.2838 | Pearson: 0.5521
Fold 3 | Epoch [33/80] | Train Loss: 0.0016 | Val Loss: 0.0141 | R2: 0.3039 | Pearson: 0.5604
Fold 3 | Epoch [34/80] | Train Loss: 0.0016 | Val Loss: 0.0148 | R2: 0.2813 | Pearson: 0.5318
Fold 3 | Epoch [35/80] | Train Loss: 0.0017 | Val Loss: 0.0151 | R2: 0.2550 | Pearson: 0.5197
Fold 3 | Epoch [36/80] | Train Loss: 0.0017 | Val Loss: 0.0148 | R2: 0.2695 | Pearson: 0.5417
Fold 3 | Epoch [37/80] | Train Loss: 0.0016 | Val Loss: 0.0150 | R2: 0.2643 | Pearson: 0.5602
Fold 3 | Epoch [38/80] | Train Loss: 0.0014 | Val Loss: 0.0187 | R2: 0.0793 | Pearson: 0.4760
Fold 3 | Epoch [39/80] | Train Loss: 0.0014 | Val Loss: 0.0193 | R2: 0.0513 | Pearson: 0.4987
Fold 3 | Epoch [40/80] | Train Loss: 0.0015 | Val Loss: 0.0157 | R2: 0.2262 | Pearson: 0.5431
Fold 3 | Epoch [41/80] | Train Loss: 0.0013 | Val Loss: 0.0213 | R2: -0.0458 | Pearson: 0.5330
Fold 3 | Epoch [42/80] | Train Loss: 0.0012 | Val Loss: 0.0193 | R2: 0.0522 | Pearson: 0.5349
Fold 3 | Epoch [43/80] | Train Loss: 0.0012 | Val Loss: 0.0165 | R2: 0.1852 | Pearson: 0.5286
Fold 3 | Epoch [44/80] | Train Loss: 0.0013 | Val Loss: 0.0169 | R2: 0.1688 | Pearson: 0.5613
Fold 3 | Epoch [45/80] | Train Loss: 0.0012 | Val Loss: 0.0151 | R2: 0.2558 | Pearson: 0.5531
Fold 3 | Epoch [46/80] | Train Loss: 0.0012 | Val Loss: 0.0144 | R2: 0.2914 | Pearson: 0.5502
Fold 3 | Epoch [47/80] | Train Loss: 0.0010 | Val Loss: 0.0171 | R2: 0.1577 | Pearson: 0.4953
Fold 3 | Epoch [48/80] | Train Loss: 0.0010 | Val Loss: 0.0137 | R2: 0.3224 | Pearson: 0.5680
Fold 3 | Epoch [49/80] | Train Loss: 0.0010 | Val Loss: 0.0152 | R2: 0.2493 | Pearson: 0.5175
Fold 3 | Epoch [50/80] | Train Loss: 0.0010 | Val Loss: 0.0183 | R2: 0.1045 | Pearson: 0.4882
Fold 3 | Epoch [51/80] | Train Loss: 0.0008 | Val Loss: 0.0169 | R2: 0.1679 | Pearson: 0.5616
Fold 3 | Epoch [52/80] | Train Loss: 0.0008 | Val Loss: 0.0140 | R2: 0.3109 | Pearson: 0.5597
Fold 3 | Epoch [53/80] | Train Loss: 0.0009 | Val Loss: 0.0138 | R2: 0.3201 | Pearson: 0.5742
Fold 3 | Epoch [54/80] | Train Loss: 0.0008 | Val Loss: 0.0167 | R2: 0.1784 | Pearson: 0.5285
Fold 3 | Epoch [55/80] | Train Loss: 0.0008 | Val Loss: 0.0144 | R2: 0.2902 | Pearson: 0.5627
Fold 3 | Epoch [56/80] | Train Loss: 0.0008 | Val Loss: 0.0148 | R2: 0.2692 | Pearson: 0.5642
Fold 3 | Epoch [57/80] | Train Loss: 0.0008 | Val Loss: 0.0137 | R2: 0.3252 | Pearson: 0.5759
Fold 3 | Epoch [58/80] | Train Loss: 0.0007 | Val Loss: 0.0136 | R2: 0.3276 | Pearson: 0.5726
Fold 3 | Epoch [59/80] | Train Loss: 0.0007 | Val Loss: 0.0136 | R2: 0.3301 | Pearson: 0.5749
Fold 3 | Epoch [60/80] | Train Loss: 0.0008 | Val Loss: 0.0146 | R2: 0.2814 | Pearson: 0.5621
Fold 3 | Epoch [61/80] | Train Loss: 0.0006 | Val Loss: 0.0135 | R2: 0.3336 | Pearson: 0.5796
Fold 3 | Epoch [62/80] | Train Loss: 0.0007 | Val Loss: 0.0136 | R2: 0.3290 | Pearson: 0.5779
Fold 3 | Epoch [63/80] | Train Loss: 0.0007 | Val Loss: 0.0137 | R2: 0.3259 | Pearson: 0.5972
Fold 3 | Epoch [64/80] | Train Loss: 0.0006 | Val Loss: 0.0135 | R2: 0.3359 | Pearson: 0.5810
Fold 3 | Epoch [65/80] | Train Loss: 0.0006 | Val Loss: 0.0137 | R2: 0.3279 | Pearson: 0.5797
Fold 3 | Epoch [66/80] | Train Loss: 0.0007 | Val Loss: 0.0135 | R2: 0.3365 | Pearson: 0.5836
Fold 3 | Epoch [67/80] | Train Loss: 0.0006 | Val Loss: 0.0134 | R2: 0.3386 | Pearson: 0.5927
Fold 3 | Epoch [68/80] | Train Loss: 0.0006 | Val Loss: 0.0136 | R2: 0.3315 | Pearson: 0.5810
Fold 3 | Epoch [69/80] | Train Loss: 0.0006 | Val Loss: 0.0135 | R2: 0.3329 | Pearson: 0.5841
Fold 3 | Epoch [70/80] | Train Loss: 0.0006 | Val Loss: 0.0135 | R2: 0.3359 | Pearson: 0.5839
Fold 3 | Epoch [71/80] | Train Loss: 0.0007 | Val Loss: 0.0135 | R2: 0.3373 | Pearson: 0.5827
Fold 3 | Epoch [72/80] | Train Loss: 0.0006 | Val Loss: 0.0134 | R2: 0.3425 | Pearson: 0.5860
Fold 3 | Epoch [73/80] | Train Loss: 0.0006 | Val Loss: 0.0134 | R2: 0.3411 | Pearson: 0.5857
Fold 3 | Epoch [74/80] | Train Loss: 0.0006 | Val Loss: 0.0134 | R2: 0.3397 | Pearson: 0.5872
Fold 3 | Epoch [75/80] | Train Loss: 0.0006 | Val Loss: 0.0133 | R2: 0.3451 | Pearson: 0.5890
Fold 3 | Epoch [76/80] | Train Loss: 0.0006 | Val Loss: 0.0132 | R2: 0.3492 | Pearson: 0.5912
Fold 3 | Epoch [77/80] | Train Loss: 0.0005 | Val Loss: 0.0137 | R2: 0.3389 | Pearson: 0.5872
Fold 3 | Epoch [78/80] | Train Loss: 0.0006 | Val Loss: 0.0132 | R2: 0.3515 | Pearson: 0.5943
Fold 3 | Epoch [79/80] | Train Loss: 0.0007 | Val Loss: 0.0133 | R2: 0.3443 | Pearson: 0.5873
Fold 3 | Epoch [80/80] | Train Loss: 0.0006 | Val Loss: 0.0134 | R2: 0.3389 | Pearson: 0.5835
