Fold 4 | Epoch [1/80] | Train Loss: 0.0341 | Val Loss: 0.0748 | R2: -3.3591 | Pearson: 0.0562
Fold 4 | Epoch [2/80] | Train Loss: 0.0170 | Val Loss: 0.0212 | R2: -0.2312 | Pearson: 0.2879
Fold 4 | Epoch [3/80] | Train Loss: 0.0159 | Val Loss: 0.0158 | R2: 0.0802 | Pearson: 0.3539
Fold 4 | Epoch [4/80] | Train Loss: 0.0140 | Val Loss: 0.0210 | R2: -0.2278 | Pearson: 0.3898
Fold 4 | Epoch [5/80] | Train Loss: 0.0138 | Val Loss: 0.0227 | R2: -0.3235 | Pearson: 0.2350
Fold 4 | Epoch [6/80] | Train Loss: 0.0130 | Val Loss: 0.0264 | R2: -0.5385 | Pearson: 0.2378
Fold 4 | Epoch [7/80] | Train Loss: 0.0114 | Val Loss: 0.0183 | R2: -0.0619 | Pearson: 0.3999
Fold 4 | Epoch [8/80] | Train Loss: 0.0103 | Val Loss: 0.0172 | R2: 0.0008 | Pearson: 0.4019
Fold 4 | Epoch [9/80] | Train Loss: 0.0094 | Val Loss: 0.0155 | R2: 0.0977 | Pearson: 0.4177
Fold 4 | Epoch [10/80] | Train Loss: 0.0089 | Val Loss: 0.0305 | R2: -0.7742 | Pearson: 0.4330
Fold 4 | Epoch [11/80] | Train Loss: 0.0076 | Val Loss: 0.0148 | R2: 0.1376 | Pearson: 0.4454
Fold 4 | Epoch [12/80] | Train Loss: 0.0069 | Val Loss: 0.0260 | R2: -0.5166 | Pearson: 0.4148
Fold 4 | Epoch [13/80] | Train Loss: 0.0061 | Val Loss: 0.0163 | R2: 0.0524 | Pearson: 0.4303
Fold 4 | Epoch [14/80] | Train Loss: 0.0050 | Val Loss: 0.0167 | R2: 0.0276 | Pearson: 0.4498
Fold 4 | Epoch [15/80] | Train Loss: 0.0050 | Val Loss: 0.0685 | R2: -2.9630 | Pearson: 0.1954
Fold 4 | Epoch [16/80] | Train Loss: 0.0044 | Val Loss: 0.0367 | R2: -1.1360 | Pearson: 0.3530
Fold 4 | Epoch [17/80] | Train Loss: 0.0043 | Val Loss: 0.0300 | R2: -0.7485 | Pearson: 0.4516
Fold 4 | Epoch [18/80] | Train Loss: 0.0038 | Val Loss: 0.0136 | R2: 0.2100 | Pearson: 0.5138
Fold 4 | Epoch [19/80] | Train Loss: 0.0037 | Val Loss: 0.0321 | R2: -0.8670 | Pearson: 0.4503
Fold 4 | Epoch [20/80] | Train Loss: 0.0033 | Val Loss: 0.0315 | R2: -0.8348 | Pearson: 0.4831
Fold 4 | Epoch [21/80] | Train Loss: 0.0032 | Val Loss: 0.0484 | R2: -1.8175 | Pearson: 0.3654
Fold 4 | Epoch [22/80] | Train Loss: 0.0028 | Val Loss: 0.0168 | R2: 0.0195 | Pearson: 0.5036
Fold 4 | Epoch [23/80] | Train Loss: 0.0028 | Val Loss: 0.0174 | R2: -0.0102 | Pearson: 0.4007
Fold 4 | Epoch [24/80] | Train Loss: 0.0028 | Val Loss: 0.0356 | R2: -1.0684 | Pearson: 0.3984
Fold 4 | Epoch [25/80] | Train Loss: 0.0026 | Val Loss: 0.0141 | R2: 0.1765 | Pearson: 0.4636
Fold 4 | Epoch [26/80] | Train Loss: 0.0023 | Val Loss: 0.0270 | R2: -0.5768 | Pearson: 0.4372
Fold 4 | Epoch [27/80] | Train Loss: 0.0022 | Val Loss: 0.0167 | R2: 0.0281 | Pearson: 0.4693
Fold 4 | Epoch [28/80] | Train Loss: 0.0025 | Val Loss: 0.0250 | R2: -0.4588 | Pearson: 0.5170
Fold 4 | Epoch [29/80] | Train Loss: 0.0021 | Val Loss: 0.0226 | R2: -0.3155 | Pearson: 0.4292
Fold 4 | Epoch [30/80] | Train Loss: 0.0022 | Val Loss: 0.0144 | R2: 0.1642 | Pearson: 0.4426
Fold 4 | Epoch [31/80] | Train Loss: 0.0021 | Val Loss: 0.0194 | R2: -0.1286 | Pearson: 0.5035
Fold 4 | Epoch [32/80] | Train Loss: 0.0019 | Val Loss: 0.0127 | R2: 0.2619 | Pearson: 0.5376
Fold 4 | Epoch [33/80] | Train Loss: 0.0020 | Val Loss: 0.0351 | R2: -1.0427 | Pearson: 0.4416
Fold 4 | Epoch [34/80] | Train Loss: 0.0017 | Val Loss: 0.0469 | R2: -1.7236 | Pearson: 0.2936
Fold 4 | Epoch [35/80] | Train Loss: 0.0018 | Val Loss: 0.0340 | R2: -0.9806 | Pearson: 0.4396
Fold 4 | Epoch [36/80] | Train Loss: 0.0015 | Val Loss: 0.0393 | R2: -1.2884 | Pearson: 0.4130
Fold 4 | Epoch [37/80] | Train Loss: 0.0016 | Val Loss: 0.0163 | R2: 0.0564 | Pearson: 0.5239
Fold 4 | Epoch [38/80] | Train Loss: 0.0017 | Val Loss: 0.0133 | R2: 0.2283 | Pearson: 0.5432
Fold 4 | Epoch [39/80] | Train Loss: 0.0015 | Val Loss: 0.0227 | R2: -0.3176 | Pearson: 0.4868
Fold 4 | Epoch [40/80] | Train Loss: 0.0015 | Val Loss: 0.0162 | R2: 0.0551 | Pearson: 0.4508
Fold 4 | Epoch [41/80] | Train Loss: 0.0015 | Val Loss: 0.0152 | R2: 0.1146 | Pearson: 0.5399
Fold 4 | Epoch [42/80] | Train Loss: 0.0015 | Val Loss: 0.0245 | R2: -0.4267 | Pearson: 0.5105
Fold 4 | Epoch [43/80] | Train Loss: 0.0012 | Val Loss: 0.0260 | R2: -0.5144 | Pearson: 0.4997
Fold 4 | Epoch [44/80] | Train Loss: 0.0012 | Val Loss: 0.0143 | R2: 0.1686 | Pearson: 0.5269
Fold 4 | Epoch [45/80] | Train Loss: 0.0012 | Val Loss: 0.0161 | R2: 0.0609 | Pearson: 0.4726
Fold 4 | Epoch [46/80] | Train Loss: 0.0012 | Val Loss: 0.0118 | R2: 0.3148 | Pearson: 0.5722
Fold 4 | Epoch [47/80] | Train Loss: 0.0012 | Val Loss: 0.0136 | R2: 0.2096 | Pearson: 0.5692
Fold 4 | Epoch [48/80] | Train Loss: 0.0012 | Val Loss: 0.0168 | R2: 0.0224 | Pearson: 0.5321
Fold 4 | Epoch [49/80] | Train Loss: 0.0011 | Val Loss: 0.0226 | R2: -0.3153 | Pearson: 0.5215
Fold 4 | Epoch [50/80] | Train Loss: 0.0011 | Val Loss: 0.0114 | R2: 0.3361 | Pearson: 0.5974
Fold 4 | Epoch [51/80] | Train Loss: 0.0010 | Val Loss: 0.0113 | R2: 0.3422 | Pearson: 0.5921
Fold 4 | Epoch [52/80] | Train Loss: 0.0009 | Val Loss: 0.0119 | R2: 0.3091 | Pearson: 0.5640
Fold 4 | Epoch [53/80] | Train Loss: 0.0010 | Val Loss: 0.0118 | R2: 0.3148 | Pearson: 0.5704
Fold 4 | Epoch [54/80] | Train Loss: 0.0010 | Val Loss: 0.0121 | R2: 0.2940 | Pearson: 0.5842
Fold 4 | Epoch [55/80] | Train Loss: 0.0009 | Val Loss: 0.0128 | R2: 0.2537 | Pearson: 0.5783
Fold 4 | Epoch [56/80] | Train Loss: 0.0009 | Val Loss: 0.0143 | R2: 0.1659 | Pearson: 0.5515
Fold 4 | Epoch [57/80] | Train Loss: 0.0008 | Val Loss: 0.0157 | R2: 0.0884 | Pearson: 0.5495
Fold 4 | Epoch [58/80] | Train Loss: 0.0008 | Val Loss: 0.0139 | R2: 0.1928 | Pearson: 0.5401
Fold 4 | Epoch [59/80] | Train Loss: 0.0007 | Val Loss: 0.0120 | R2: 0.3137 | Pearson: 0.5954
Fold 4 | Epoch [60/80] | Train Loss: 0.0008 | Val Loss: 0.0124 | R2: 0.2784 | Pearson: 0.5861
