Fold 1 | Epoch [1/80] | Train Loss: 0.0500 | Val Loss: 0.0172 | R2: -0.0078 | Pearson: 0.2727
Fold 1 | Epoch [2/80] | Train Loss: 0.0164 | Val Loss: 0.0159 | R2: 0.0654 | Pearson: 0.3814
Fold 1 | Epoch [3/80] | Train Loss: 0.0149 | Val Loss: 0.0419 | R2: -1.4409 | Pearson: 0.3421
Fold 1 | Epoch [4/80] | Train Loss: 0.0137 | Val Loss: 0.0143 | R2: 0.1651 | Pearson: 0.4723
Fold 1 | Epoch [5/80] | Train Loss: 0.0121 | Val Loss: 0.0133 | R2: 0.2177 | Pearson: 0.4805
Fold 1 | Epoch [6/80] | Train Loss: 0.0111 | Val Loss: 0.0212 | R2: -0.2452 | Pearson: 0.4842
Fold 1 | Epoch [7/80] | Train Loss: 0.0095 | Val Loss: 0.0163 | R2: 0.0468 | Pearson: 0.4824
Fold 1 | Epoch [8/80] | Train Loss: 0.0082 | Val Loss: 0.0123 | R2: 0.2791 | Pearson: 0.5563
Fold 1 | Epoch [9/80] | Train Loss: 0.0072 | Val Loss: 0.0174 | R2: -0.0182 | Pearson: 0.5272
Fold 1 | Epoch [10/80] | Train Loss: 0.0060 | Val Loss: 0.0139 | R2: 0.1906 | Pearson: 0.5150
Fold 1 | Epoch [11/80] | Train Loss: 0.0052 | Val Loss: 0.0259 | R2: -0.5188 | Pearson: 0.4662
Fold 1 | Epoch [12/80] | Train Loss: 0.0044 | Val Loss: 0.0145 | R2: 0.1515 | Pearson: 0.5394
Fold 1 | Epoch [13/80] | Train Loss: 0.0040 | Val Loss: 0.0141 | R2: 0.1705 | Pearson: 0.5130
Fold 1 | Epoch [14/80] | Train Loss: 0.0037 | Val Loss: 0.0136 | R2: 0.1987 | Pearson: 0.4905
Fold 1 | Epoch [15/80] | Train Loss: 0.0029 | Val Loss: 0.0139 | R2: 0.1833 | Pearson: 0.4990
Fold 1 | Epoch [16/80] | Train Loss: 0.0028 | Val Loss: 0.0176 | R2: -0.0273 | Pearson: 0.5179
Fold 1 | Epoch [17/80] | Train Loss: 0.0025 | Val Loss: 0.0136 | R2: 0.2015 | Pearson: 0.4830
Fold 1 | Epoch [18/80] | Train Loss: 0.0025 | Val Loss: 0.0144 | R2: 0.1562 | Pearson: 0.4477
Fold 1 | Epoch [19/80] | Train Loss: 0.0024 | Val Loss: 0.0126 | R2: 0.2626 | Pearson: 0.5540
Fold 1 | Epoch [20/80] | Train Loss: 0.0024 | Val Loss: 0.0137 | R2: 0.1941 | Pearson: 0.5255
