Fold 2 | Epoch [1/80] | Train Loss: 0.0317 | Val Loss: 0.0209 | R2: -0.2114 | Pearson: 0.2565
Fold 2 | Epoch [2/80] | Train Loss: 0.0164 | Val Loss: 0.0190 | R2: -0.1003 | Pearson: 0.1200
Fold 2 | Epoch [3/80] | Train Loss: 0.0156 | Val Loss: 0.0252 | R2: -0.4586 | Pearson: 0.3701
Fold 2 | Epoch [4/80] | Train Loss: 0.0155 | Val Loss: 0.0166 | R2: 0.0427 | Pearson: 0.2461
Fold 2 | Epoch [5/80] | Train Loss: 0.0145 | Val Loss: 0.0144 | R2: 0.1657 | Pearson: 0.4485
Fold 2 | Epoch [6/80] | Train Loss: 0.0138 | Val Loss: 0.0383 | R2: -1.2207 | Pearson: 0.3118
Fold 2 | Epoch [7/80] | Train Loss: 0.0130 | Val Loss: 0.0448 | R2: -1.6025 | Pearson: 0.3851
Fold 2 | Epoch [8/80] | Train Loss: 0.0125 | Val Loss: 0.0197 | R2: -0.1438 | Pearson: 0.4144
Fold 2 | Epoch [9/80] | Train Loss: 0.0119 | Val Loss: 0.1134 | R2: -5.5634 | Pearson: 0.0768
Fold 2 | Epoch [10/80] | Train Loss: 0.0108 | Val Loss: 0.0139 | R2: 0.1922 | Pearson: 0.4617
Fold 2 | Epoch [11/80] | Train Loss: 0.0105 | Val Loss: 0.1782 | R2: -9.3427 | Pearson: 0.0594
Fold 2 | Epoch [12/80] | Train Loss: 0.0094 | Val Loss: 0.0173 | R2: -0.0011 | Pearson: 0.5065
Fold 2 | Epoch [13/80] | Train Loss: 0.0087 | Val Loss: 0.0340 | R2: -0.9723 | Pearson: 0.2224
Fold 2 | Epoch [14/80] | Train Loss: 0.0078 | Val Loss: 0.1427 | R2: -7.2769 | Pearson: 0.0608
Fold 2 | Epoch [15/80] | Train Loss: 0.0071 | Val Loss: 0.0941 | R2: -4.4617 | Pearson: 0.2256
Fold 2 | Epoch [16/80] | Train Loss: 0.0064 | Val Loss: 0.0661 | R2: -2.8340 | Pearson: 0.2271
Fold 2 | Epoch [17/80] | Train Loss: 0.0061 | Val Loss: 0.0863 | R2: -3.9930 | Pearson: 0.2410
Fold 2 | Epoch [18/80] | Train Loss: 0.0056 | Val Loss: 0.0272 | R2: -0.5811 | Pearson: 0.0868
Fold 2 | Epoch [19/80] | Train Loss: 0.0047 | Val Loss: 0.0242 | R2: -0.3989 | Pearson: 0.5354
Fold 2 | Epoch [20/80] | Train Loss: 0.0043 | Val Loss: 0.0239 | R2: -0.3895 | Pearson: 0.1291
Fold 2 | Epoch [21/80] | Train Loss: 0.0041 | Val Loss: 0.0134 | R2: 0.2259 | Pearson: 0.5340
Fold 2 | Epoch [22/80] | Train Loss: 0.0041 | Val Loss: 0.0125 | R2: 0.2774 | Pearson: 0.5465
Fold 2 | Epoch [23/80] | Train Loss: 0.0032 | Val Loss: 0.0461 | R2: -1.6728 | Pearson: 0.4308
Fold 2 | Epoch [24/80] | Train Loss: 0.0033 | Val Loss: 0.0291 | R2: -0.6858 | Pearson: 0.0910
Fold 2 | Epoch [25/80] | Train Loss: 0.0031 | Val Loss: 0.0173 | R2: -0.0057 | Pearson: 0.4927
Fold 2 | Epoch [26/80] | Train Loss: 0.0029 | Val Loss: 0.0630 | R2: -2.6466 | Pearson: 0.2925
Fold 2 | Epoch [27/80] | Train Loss: 0.0028 | Val Loss: 0.0285 | R2: -0.6581 | Pearson: 0.0580
Fold 2 | Epoch [28/80] | Train Loss: 0.0025 | Val Loss: 0.0309 | R2: -0.7870 | Pearson: 0.5063
Fold 2 | Epoch [29/80] | Train Loss: 0.0025 | Val Loss: 0.0359 | R2: -1.0793 | Pearson: 0.4574
Fold 2 | Epoch [30/80] | Train Loss: 0.0024 | Val Loss: 0.0906 | R2: -4.2519 | Pearson: -0.2140
Fold 2 | Epoch [31/80] | Train Loss: 0.0021 | Val Loss: 0.0192 | R2: -0.1127 | Pearson: 0.4970
Fold 2 | Epoch [32/80] | Train Loss: 0.0022 | Val Loss: 0.0224 | R2: -0.2981 | Pearson: 0.4359
Fold 2 | Epoch [33/80] | Train Loss: 0.0021 | Val Loss: 0.0170 | R2: 0.0169 | Pearson: 0.3160
Fold 2 | Epoch [34/80] | Train Loss: 0.0017 | Val Loss: 0.0200 | R2: -0.1607 | Pearson: 0.5314
Fold 2 | Epoch [35/80] | Train Loss: 0.0018 | Val Loss: 0.0737 | R2: -3.2705 | Pearson: 0.2387
Fold 2 | Epoch [36/80] | Train Loss: 0.0017 | Val Loss: 0.0149 | R2: 0.1378 | Pearson: 0.5265
Fold 2 | Epoch [37/80] | Train Loss: 0.0017 | Val Loss: 0.0308 | R2: -0.7893 | Pearson: 0.1080
Fold 2 | Epoch [38/80] | Train Loss: 0.0017 | Val Loss: 0.0524 | R2: -2.0405 | Pearson: 0.3831
Fold 2 | Epoch [39/80] | Train Loss: 0.0016 | Val Loss: 0.0138 | R2: 0.1995 | Pearson: 0.5254
Fold 2 | Epoch [40/80] | Train Loss: 0.0015 | Val Loss: 0.0230 | R2: -0.3254 | Pearson: 0.2972
Fold 2 | Epoch [41/80] | Train Loss: 0.0013 | Val Loss: 0.0446 | R2: -1.5859 | Pearson: 0.3672
Fold 2 | Epoch [42/80] | Train Loss: 0.0014 | Val Loss: 0.0131 | R2: 0.2387 | Pearson: 0.5223
Fold 2 | Epoch [43/80] | Train Loss: 0.0014 | Val Loss: 0.0246 | R2: -0.4243 | Pearson: 0.2109
Fold 2 | Epoch [44/80] | Train Loss: 0.0014 | Val Loss: 0.0158 | R2: 0.0846 | Pearson: 0.4137
Fold 2 | Epoch [45/80] | Train Loss: 0.0013 | Val Loss: 0.0127 | R2: 0.2629 | Pearson: 0.5362
Fold 2 | Epoch [46/80] | Train Loss: 0.0013 | Val Loss: 0.0130 | R2: 0.2460 | Pearson: 0.5603
Fold 2 | Epoch [47/80] | Train Loss: 0.0012 | Val Loss: 0.0186 | R2: -0.0780 | Pearson: 0.5372
