Fold 3 | Epoch [1/80] | Train Loss: 0.0329 | Val Loss: 0.0207 | R2: -0.0185 | Pearson: 0.2778
Fold 3 | Epoch [2/80] | Train Loss: 0.0152 | Val Loss: 0.0204 | R2: -0.0027 | Pearson: 0.2944
Fold 3 | Epoch [3/80] | Train Loss: 0.0143 | Val Loss: 0.0187 | R2: 0.0783 | Pearson: 0.4191
Fold 3 | Epoch [4/80] | Train Loss: 0.0132 | Val Loss: 0.0170 | R2: 0.1642 | Pearson: 0.4538
Fold 3 | Epoch [5/80] | Train Loss: 0.0131 | Val Loss: 0.0287 | R2: -0.4143 | Pearson: 0.4440
Fold 3 | Epoch [6/80] | Train Loss: 0.0119 | Val Loss: 0.0149 | R2: 0.2663 | Pearson: 0.5222
Fold 3 | Epoch [7/80] | Train Loss: 0.0104 | Val Loss: 0.0413 | R2: -1.0379 | Pearson: 0.5181
Fold 3 | Epoch [8/80] | Train Loss: 0.0095 | Val Loss: 0.0330 | R2: -0.6225 | Pearson: 0.5451
Fold 3 | Epoch [9/80] | Train Loss: 0.0088 | Val Loss: 0.0144 | R2: 0.2903 | Pearson: 0.5530
Fold 3 | Epoch [10/80] | Train Loss: 0.0077 | Val Loss: 0.0196 | R2: 0.0320 | Pearson: 0.5407
Fold 3 | Epoch [11/80] | Train Loss: 0.0075 | Val Loss: 0.0151 | R2: 0.2583 | Pearson: 0.5226
Fold 3 | Epoch [12/80] | Train Loss: 0.0062 | Val Loss: 0.0248 | R2: -0.2219 | Pearson: 0.5660
Fold 3 | Epoch [13/80] | Train Loss: 0.0054 | Val Loss: 0.0847 | R2: -3.1800 | Pearson: 0.3226
Fold 3 | Epoch [14/80] | Train Loss: 0.0045 | Val Loss: 0.0595 | R2: -1.9179 | Pearson: 0.4536
Fold 3 | Epoch [15/80] | Train Loss: 0.0042 | Val Loss: 0.0168 | R2: 0.1733 | Pearson: 0.5797
Fold 3 | Epoch [16/80] | Train Loss: 0.0038 | Val Loss: 0.0444 | R2: -1.1994 | Pearson: 0.4733
Fold 3 | Epoch [17/80] | Train Loss: 0.0031 | Val Loss: 0.0423 | R2: -1.0809 | Pearson: 0.4294
Fold 3 | Epoch [18/80] | Train Loss: 0.0030 | Val Loss: 0.0157 | R2: 0.2278 | Pearson: 0.5720
Fold 3 | Epoch [19/80] | Train Loss: 0.0029 | Val Loss: 0.0141 | R2: 0.3036 | Pearson: 0.5659
Fold 3 | Epoch [20/80] | Train Loss: 0.0027 | Val Loss: 0.0177 | R2: 0.1441 | Pearson: 0.5282
Fold 3 | Epoch [21/80] | Train Loss: 0.0022 | Val Loss: 0.0263 | R2: -0.2950 | Pearson: 0.5357
Fold 3 | Epoch [22/80] | Train Loss: 0.0020 | Val Loss: 0.0151 | R2: 0.2570 | Pearson: 0.5498
Fold 3 | Epoch [23/80] | Train Loss: 0.0021 | Val Loss: 0.0139 | R2: 0.3168 | Pearson: 0.5816
Fold 3 | Epoch [24/80] | Train Loss: 0.0024 | Val Loss: 0.0630 | R2: -2.0851 | Pearson: 0.4667
Fold 3 | Epoch [25/80] | Train Loss: 0.0019 | Val Loss: 0.0142 | R2: 0.2987 | Pearson: 0.5588
Fold 3 | Epoch [26/80] | Train Loss: 0.0018 | Val Loss: 0.0186 | R2: 0.0838 | Pearson: 0.5501
Fold 3 | Epoch [27/80] | Train Loss: 0.0017 | Val Loss: 0.0488 | R2: -1.4021 | Pearson: 0.4169
Fold 3 | Epoch [28/80] | Train Loss: 0.0018 | Val Loss: 0.0148 | R2: 0.2720 | Pearson: 0.5714
Fold 3 | Epoch [29/80] | Train Loss: 0.0017 | Val Loss: 0.0310 | R2: -0.5274 | Pearson: 0.4788
Fold 3 | Epoch [30/80] | Train Loss: 0.0015 | Val Loss: 0.0332 | R2: -0.6373 | Pearson: 0.4619
Fold 3 | Epoch [31/80] | Train Loss: 0.0015 | Val Loss: 0.0214 | R2: -0.0560 | Pearson: 0.5133
Fold 3 | Epoch [32/80] | Train Loss: 0.0015 | Val Loss: 0.0155 | R2: 0.2368 | Pearson: 0.5597
Fold 3 | Epoch [33/80] | Train Loss: 0.0017 | Val Loss: 0.0444 | R2: -1.1944 | Pearson: 0.4251
Fold 3 | Epoch [34/80] | Train Loss: 0.0014 | Val Loss: 0.0165 | R2: 0.1870 | Pearson: 0.5421
Fold 3 | Epoch [35/80] | Train Loss: 0.0012 | Val Loss: 0.0143 | R2: 0.2977 | Pearson: 0.5891
Fold 3 | Epoch [36/80] | Train Loss: 0.0013 | Val Loss: 0.0225 | R2: -0.1089 | Pearson: 0.5392
Fold 3 | Epoch [37/80] | Train Loss: 0.0012 | Val Loss: 0.0139 | R2: 0.3159 | Pearson: 0.5751
Fold 3 | Epoch [38/80] | Train Loss: 0.0012 | Val Loss: 0.0150 | R2: 0.2632 | Pearson: 0.5608
Fold 3 | Epoch [39/80] | Train Loss: 0.0013 | Val Loss: 0.0139 | R2: 0.3133 | Pearson: 0.5799
Fold 3 | Epoch [40/80] | Train Loss: 0.0010 | Val Loss: 0.0163 | R2: 0.1960 | Pearson: 0.5631
Fold 3 | Epoch [41/80] | Train Loss: 0.0010 | Val Loss: 0.0142 | R2: 0.3035 | Pearson: 0.5802
Fold 3 | Epoch [42/80] | Train Loss: 0.0010 | Val Loss: 0.0272 | R2: -0.3438 | Pearson: 0.4833
