Fold 4 | Epoch [1/80] | Train Loss: 0.0287 | Val Loss: 0.0174 | R2: -0.0105 | Pearson: 0.2530
Fold 4 | Epoch [2/80] | Train Loss: 0.0171 | Val Loss: 0.0182 | R2: -0.0590 | Pearson: 0.2740
Fold 4 | Epoch [3/80] | Train Loss: 0.0167 | Val Loss: 0.0166 | R2: 0.0320 | Pearson: 0.2599
Fold 4 | Epoch [4/80] | Train Loss: 0.0153 | Val Loss: 0.0156 | R2: 0.0927 | Pearson: 0.3530
Fold 4 | Epoch [5/80] | Train Loss: 0.0141 | Val Loss: 0.0162 | R2: 0.0623 | Pearson: 0.2761
Fold 4 | Epoch [6/80] | Train Loss: 0.0142 | Val Loss: 0.0251 | R2: -0.4621 | Pearson: 0.3198
Fold 4 | Epoch [7/80] | Train Loss: 0.0135 | Val Loss: 0.0454 | R2: -1.6474 | Pearson: 0.2345
Fold 4 | Epoch [8/80] | Train Loss: 0.0126 | Val Loss: 0.0269 | R2: -0.5674 | Pearson: 0.3783
Fold 4 | Epoch [9/80] | Train Loss: 0.0111 | Val Loss: 0.0143 | R2: 0.1688 | Pearson: 0.4314
Fold 4 | Epoch [10/80] | Train Loss: 0.0107 | Val Loss: 0.0405 | R2: -1.3619 | Pearson: 0.3253
Fold 4 | Epoch [11/80] | Train Loss: 0.0095 | Val Loss: 0.0194 | R2: -0.1326 | Pearson: 0.1819
Fold 4 | Epoch [12/80] | Train Loss: 0.0087 | Val Loss: 0.0280 | R2: -0.6151 | Pearson: 0.3086
Fold 4 | Epoch [13/80] | Train Loss: 0.0079 | Val Loss: 0.0341 | R2: -0.9866 | Pearson: 0.2437
Fold 4 | Epoch [14/80] | Train Loss: 0.0071 | Val Loss: 0.0146 | R2: 0.1517 | Pearson: 0.4424
Fold 4 | Epoch [15/80] | Train Loss: 0.0063 | Val Loss: 0.0392 | R2: -1.2864 | Pearson: 0.4298
Fold 4 | Epoch [16/80] | Train Loss: 0.0055 | Val Loss: 0.0275 | R2: -0.6024 | Pearson: 0.2861
Fold 4 | Epoch [17/80] | Train Loss: 0.0053 | Val Loss: 0.0143 | R2: 0.1699 | Pearson: 0.4954
Fold 4 | Epoch [18/80] | Train Loss: 0.0046 | Val Loss: 0.0344 | R2: -1.0019 | Pearson: 0.3923
Fold 4 | Epoch [19/80] | Train Loss: 0.0042 | Val Loss: 0.0137 | R2: 0.2017 | Pearson: 0.5037
Fold 4 | Epoch [20/80] | Train Loss: 0.0043 | Val Loss: 0.0201 | R2: -0.1693 | Pearson: 0.4475
Fold 4 | Epoch [21/80] | Train Loss: 0.0037 | Val Loss: 0.0150 | R2: 0.1347 | Pearson: 0.4842
Fold 4 | Epoch [22/80] | Train Loss: 0.0031 | Val Loss: 0.0217 | R2: -0.2618 | Pearson: 0.4446
Fold 4 | Epoch [23/80] | Train Loss: 0.0028 | Val Loss: 0.0193 | R2: -0.1220 | Pearson: 0.4639
Fold 4 | Epoch [24/80] | Train Loss: 0.0028 | Val Loss: 0.0203 | R2: -0.1856 | Pearson: 0.4398
Fold 4 | Epoch [25/80] | Train Loss: 0.0029 | Val Loss: 0.0177 | R2: -0.0318 | Pearson: 0.4588
Fold 4 | Epoch [26/80] | Train Loss: 0.0025 | Val Loss: 0.0251 | R2: -0.4545 | Pearson: 0.1648
Fold 4 | Epoch [27/80] | Train Loss: 0.0024 | Val Loss: 0.0144 | R2: 0.1628 | Pearson: 0.5027
Fold 4 | Epoch [28/80] | Train Loss: 0.0022 | Val Loss: 0.0324 | R2: -0.8803 | Pearson: 0.0844
Fold 4 | Epoch [29/80] | Train Loss: 0.0020 | Val Loss: 0.0154 | R2: 0.1059 | Pearson: 0.4254
Fold 4 | Epoch [30/80] | Train Loss: 0.0021 | Val Loss: 0.0172 | R2: -0.0028 | Pearson: 0.4744
Fold 4 | Epoch [31/80] | Train Loss: 0.0020 | Val Loss: 0.0170 | R2: 0.0124 | Pearson: 0.4853
Fold 4 | Epoch [32/80] | Train Loss: 0.0018 | Val Loss: 0.0377 | R2: -1.1945 | Pearson: 0.4142
Fold 4 | Epoch [33/80] | Train Loss: 0.0018 | Val Loss: 0.0183 | R2: -0.0554 | Pearson: 0.4756
Fold 4 | Epoch [34/80] | Train Loss: 0.0017 | Val Loss: 0.0228 | R2: -0.3243 | Pearson: 0.4256
Fold 4 | Epoch [35/80] | Train Loss: 0.0016 | Val Loss: 0.0200 | R2: -0.1684 | Pearson: 0.4826
Fold 4 | Epoch [36/80] | Train Loss: 0.0013 | Val Loss: 0.0204 | R2: -0.1816 | Pearson: 0.4886
Fold 4 | Epoch [37/80] | Train Loss: 0.0015 | Val Loss: 0.0200 | R2: -0.1642 | Pearson: 0.4805
Fold 4 | Epoch [38/80] | Train Loss: 0.0014 | Val Loss: 0.0186 | R2: -0.0848 | Pearson: 0.5077
Fold 4 | Epoch [39/80] | Train Loss: 0.0013 | Val Loss: 0.0134 | R2: 0.2175 | Pearson: 0.5040
Fold 4 | Epoch [40/80] | Train Loss: 0.0014 | Val Loss: 0.0226 | R2: -0.3146 | Pearson: 0.3943
Fold 4 | Epoch [41/80] | Train Loss: 0.0014 | Val Loss: 0.0144 | R2: 0.1625 | Pearson: 0.4785
Fold 4 | Epoch [42/80] | Train Loss: 0.0012 | Val Loss: 0.0150 | R2: 0.1256 | Pearson: 0.4876
Fold 4 | Epoch [43/80] | Train Loss: 0.0012 | Val Loss: 0.0299 | R2: -0.7429 | Pearson: 0.4623
Fold 4 | Epoch [44/80] | Train Loss: 0.0013 | Val Loss: 0.0331 | R2: -0.9236 | Pearson: 0.4216
Fold 4 | Epoch [45/80] | Train Loss: 0.0012 | Val Loss: 0.0153 | R2: 0.1125 | Pearson: 0.4953
Fold 4 | Epoch [46/80] | Train Loss: 0.0011 | Val Loss: 0.0129 | R2: 0.2474 | Pearson: 0.5282
Fold 4 | Epoch [47/80] | Train Loss: 0.0011 | Val Loss: 0.0150 | R2: 0.1264 | Pearson: 0.5149
Fold 4 | Epoch [48/80] | Train Loss: 0.0010 | Val Loss: 0.0130 | R2: 0.2461 | Pearson: 0.5182
Fold 4 | Epoch [49/80] | Train Loss: 0.0010 | Val Loss: 0.0132 | R2: 0.2303 | Pearson: 0.5169
Fold 4 | Epoch [50/80] | Train Loss: 0.0008 | Val Loss: 0.0139 | R2: 0.1927 | Pearson: 0.5196
Fold 4 | Epoch [51/80] | Train Loss: 0.0009 | Val Loss: 0.0201 | R2: -0.1641 | Pearson: 0.5023
Fold 4 | Epoch [52/80] | Train Loss: 0.0009 | Val Loss: 0.0156 | R2: 0.0907 | Pearson: 0.5248
Fold 4 | Epoch [53/80] | Train Loss: 0.0009 | Val Loss: 0.0185 | R2: -0.0793 | Pearson: 0.4951
Fold 4 | Epoch [54/80] | Train Loss: 0.0008 | Val Loss: 0.0138 | R2: 0.1984 | Pearson: 0.5196
Fold 4 | Epoch [55/80] | Train Loss: 0.0008 | Val Loss: 0.0161 | R2: 0.0718 | Pearson: 0.5129
Fold 4 | Epoch [56/80] | Train Loss: 0.0008 | Val Loss: 0.0130 | R2: 0.2422 | Pearson: 0.5174
Fold 4 | Epoch [57/80] | Train Loss: 0.0008 | Val Loss: 0.0136 | R2: 0.2078 | Pearson: 0.5139
Fold 4 | Epoch [58/80] | Train Loss: 0.0008 | Val Loss: 0.0134 | R2: 0.2223 | Pearson: 0.5158
Fold 4 | Epoch [59/80] | Train Loss: 0.0007 | Val Loss: 0.0130 | R2: 0.2440 | Pearson: 0.5136
Fold 4 | Epoch [60/80] | Train Loss: 0.0007 | Val Loss: 0.0138 | R2: 0.1993 | Pearson: 0.5171
Fold 4 | Epoch [61/80] | Train Loss: 0.0007 | Val Loss: 0.0129 | R2: 0.2496 | Pearson: 0.5249
Fold 4 | Epoch [62/80] | Train Loss: 0.0006 | Val Loss: 0.0131 | R2: 0.2367 | Pearson: 0.5237
Fold 4 | Epoch [63/80] | Train Loss: 0.0006 | Val Loss: 0.0135 | R2: 0.2178 | Pearson: 0.5121
Fold 4 | Epoch [64/80] | Train Loss: 0.0006 | Val Loss: 0.0132 | R2: 0.2305 | Pearson: 0.5181
Fold 4 | Epoch [65/80] | Train Loss: 0.0006 | Val Loss: 0.0129 | R2: 0.2463 | Pearson: 0.5199
Fold 4 | Epoch [66/80] | Train Loss: 0.0005 | Val Loss: 0.0143 | R2: 0.1693 | Pearson: 0.5133
Fold 4 | Epoch [67/80] | Train Loss: 0.0006 | Val Loss: 0.0131 | R2: 0.2402 | Pearson: 0.5128
Fold 4 | Epoch [68/80] | Train Loss: 0.0006 | Val Loss: 0.0131 | R2: 0.2453 | Pearson: 0.5204
Fold 4 | Epoch [69/80] | Train Loss: 0.0005 | Val Loss: 0.0133 | R2: 0.2297 | Pearson: 0.5212
Fold 4 | Epoch [70/80] | Train Loss: 0.0007 | Val Loss: 0.0131 | R2: 0.2400 | Pearson: 0.5167
Fold 4 | Epoch [71/80] | Train Loss: 0.0005 | Val Loss: 0.0132 | R2: 0.2332 | Pearson: 0.5142
Fold 4 | Epoch [72/80] | Train Loss: 0.0005 | Val Loss: 0.0131 | R2: 0.2397 | Pearson: 0.5132
Fold 4 | Epoch [73/80] | Train Loss: 0.0005 | Val Loss: 0.0133 | R2: 0.2299 | Pearson: 0.5169
Fold 4 | Epoch [74/80] | Train Loss: 0.0005 | Val Loss: 0.0130 | R2: 0.2400 | Pearson: 0.5177
Fold 4 | Epoch [75/80] | Train Loss: 0.0005 | Val Loss: 0.0130 | R2: 0.2458 | Pearson: 0.5227
Fold 4 | Epoch [76/80] | Train Loss: 0.0006 | Val Loss: 0.0129 | R2: 0.2460 | Pearson: 0.5188
Fold 4 | Epoch [77/80] | Train Loss: 0.0005 | Val Loss: 0.0131 | R2: 0.2378 | Pearson: 0.5185
Fold 4 | Epoch [78/80] | Train Loss: 0.0005 | Val Loss: 0.0131 | R2: 0.2400 | Pearson: 0.5212
Fold 4 | Epoch [79/80] | Train Loss: 0.0005 | Val Loss: 0.0130 | R2: 0.2464 | Pearson: 0.5207
Fold 4 | Epoch [80/80] | Train Loss: 0.0005 | Val Loss: 0.0132 | R2: 0.2424 | Pearson: 0.5212
