Fold 1 | Epoch [1/80] | Train Loss: 0.0237 | Val Loss: 0.0191 | R2: -0.1145 | Pearson: -0.1285 | Best Correlation : -0.1285 | Best Epoch : 0
Fold 1 | Epoch [2/80] | Train Loss: 0.0201 | Val Loss: 0.0168 | R2: 0.0175 | Pearson: 0.2795 | Best Correlation : 0.2795 | Best Epoch : 1
Fold 1 | Epoch [3/80] | Train Loss: 0.0188 | Val Loss: 0.0168 | R2: 0.0171 | Pearson: 0.2380 | Best Correlation : 0.2795 | Best Epoch : 1
Fold 1 | Epoch [4/80] | Train Loss: 0.0182 | Val Loss: 0.0668 | R2: -2.8827 | Pearson: 0.0900 | Best Correlation : 0.2795 | Best Epoch : 1
Fold 1 | Epoch [5/80] | Train Loss: 0.0164 | Val Loss: 0.0195 | R2: -0.1438 | Pearson: 0.0507 | Best Correlation : 0.2795 | Best Epoch : 1
Fold 1 | Epoch [6/80] | Train Loss: 0.0160 | Val Loss: 0.0172 | R2: 0.0005 | Pearson: 0.2457 | Best Correlation : 0.2795 | Best Epoch : 1
Fold 1 | Epoch [7/80] | Train Loss: 0.0146 | Val Loss: 0.0168 | R2: 0.0237 | Pearson: 0.2393 | Best Correlation : 0.2795 | Best Epoch : 1
Fold 1 | Epoch [8/80] | Train Loss: 0.0137 | Val Loss: 0.0205 | R2: -0.1976 | Pearson: 0.3359 | Best Correlation : 0.3359 | Best Epoch : 7
Fold 1 | Epoch [9/80] | Train Loss: 0.0127 | Val Loss: 0.0171 | R2: 0.0070 | Pearson: 0.4040 | Best Correlation : 0.4040 | Best Epoch : 8
Fold 1 | Epoch [10/80] | Train Loss: 0.0118 | Val Loss: 0.0205 | R2: -0.1751 | Pearson: 0.2501 | Best Correlation : 0.4040 | Best Epoch : 8
Fold 1 | Epoch [11/80] | Train Loss: 0.0107 | Val Loss: 0.0145 | R2: 0.1520 | Pearson: 0.4358 | Best Correlation : 0.4358 | Best Epoch : 10
Fold 1 | Epoch [12/80] | Train Loss: 0.0097 | Val Loss: 0.0106 | R2: 0.3885 | Pearson: 0.6279 | Best Correlation : 0.6279 | Best Epoch : 11
Fold 1 | Epoch [13/80] | Train Loss: 0.0080 | Val Loss: 0.0147 | R2: 0.1430 | Pearson: 0.5501 | Best Correlation : 0.6279 | Best Epoch : 11
Fold 1 | Epoch [14/80] | Train Loss: 0.0072 | Val Loss: 0.0149 | R2: 0.1317 | Pearson: 0.3838 | Best Correlation : 0.6279 | Best Epoch : 11
Fold 1 | Epoch [15/80] | Train Loss: 0.0057 | Val Loss: 0.0182 | R2: -0.0609 | Pearson: 0.4541 | Best Correlation : 0.6279 | Best Epoch : 11
Fold 1 | Epoch [16/80] | Train Loss: 0.0052 | Val Loss: 0.0141 | R2: 0.1743 | Pearson: 0.4586 | Best Correlation : 0.6279 | Best Epoch : 11
Fold 1 | Epoch [17/80] | Train Loss: 0.0041 | Val Loss: 0.0136 | R2: 0.2062 | Pearson: 0.5035 | Best Correlation : 0.6279 | Best Epoch : 11
Fold 1 | Epoch [18/80] | Train Loss: 0.0035 | Val Loss: 0.0108 | R2: 0.3756 | Pearson: 0.6819 | Best Correlation : 0.6819 | Best Epoch : 17
Fold 1 | Epoch [19/80] | Train Loss: 0.0026 | Val Loss: 0.0090 | R2: 0.4735 | Pearson: 0.6903 | Best Correlation : 0.6903 | Best Epoch : 18
Fold 1 | Epoch [20/80] | Train Loss: 0.0025 | Val Loss: 0.0165 | R2: 0.0384 | Pearson: 0.5054 | Best Correlation : 0.6903 | Best Epoch : 18
Fold 1 | Epoch [21/80] | Train Loss: 0.0025 | Val Loss: 0.0153 | R2: 0.1066 | Pearson: 0.5092 | Best Correlation : 0.6903 | Best Epoch : 18
Fold 1 | Epoch [22/80] | Train Loss: 0.0019 | Val Loss: 0.0092 | R2: 0.4652 | Pearson: 0.7020 | Best Correlation : 0.7020 | Best Epoch : 21
Fold 1 | Epoch [23/80] | Train Loss: 0.0019 | Val Loss: 0.0094 | R2: 0.4494 | Pearson: 0.6878 | Best Correlation : 0.7020 | Best Epoch : 21
Fold 1 | Epoch [24/80] | Train Loss: 0.0017 | Val Loss: 0.0105 | R2: 0.3836 | Pearson: 0.6267 | Best Correlation : 0.7020 | Best Epoch : 21
Fold 1 | Epoch [25/80] | Train Loss: 0.0017 | Val Loss: 0.0109 | R2: 0.3740 | Pearson: 0.6277 | Best Correlation : 0.7020 | Best Epoch : 21
