Fold 2 | Epoch [1/80] | Train Loss: 0.0236 | Val Loss: 0.0187 | R2: -0.0232 | Pearson: 0.0028 | Best Correlation : 0.0028 | Best Epoch : 0
Fold 2 | Epoch [2/80] | Train Loss: 0.0187 | Val Loss: 0.0184 | R2: 0.0121 | Pearson: 0.1162 | Best Correlation : 0.1162 | Best Epoch : 1
Fold 2 | Epoch [3/80] | Train Loss: 0.0185 | Val Loss: 0.0302 | R2: -0.6486 | Pearson: 0.1135 | Best Correlation : 0.1162 | Best Epoch : 1
Fold 2 | Epoch [4/80] | Train Loss: 0.0182 | Val Loss: 0.0189 | R2: -0.0161 | Pearson: 0.0327 | Best Correlation : 0.1162 | Best Epoch : 1
Fold 2 | Epoch [5/80] | Train Loss: 0.0173 | Val Loss: 0.0546 | R2: -1.9588 | Pearson: -0.1477 | Best Correlation : 0.1162 | Best Epoch : 1
Fold 2 | Epoch [6/80] | Train Loss: 0.0166 | Val Loss: 0.0213 | R2: -0.1661 | Pearson: 0.2709 | Best Correlation : 0.2709 | Best Epoch : 5
Fold 2 | Epoch [7/80] | Train Loss: 0.0158 | Val Loss: 0.0455 | R2: -1.4585 | Pearson: 0.0366 | Best Correlation : 0.2709 | Best Epoch : 5
Fold 2 | Epoch [8/80] | Train Loss: 0.0149 | Val Loss: 0.0567 | R2: -2.0919 | Pearson: 0.0970 | Best Correlation : 0.2709 | Best Epoch : 5
Fold 2 | Epoch [9/80] | Train Loss: 0.0133 | Val Loss: 0.0151 | R2: 0.1769 | Pearson: 0.4393 | Best Correlation : 0.4393 | Best Epoch : 8
Fold 2 | Epoch [10/80] | Train Loss: 0.0125 | Val Loss: 0.0196 | R2: -0.0663 | Pearson: 0.1370 | Best Correlation : 0.4393 | Best Epoch : 8
Fold 2 | Epoch [11/80] | Train Loss: 0.0111 | Val Loss: 0.0144 | R2: 0.2198 | Pearson: 0.6024 | Best Correlation : 0.6024 | Best Epoch : 10
Fold 2 | Epoch [12/80] | Train Loss: 0.0095 | Val Loss: 0.0125 | R2: 0.3193 | Pearson: 0.6080 | Best Correlation : 0.6080 | Best Epoch : 11
Fold 2 | Epoch [13/80] | Train Loss: 0.0084 | Val Loss: 0.0203 | R2: -0.1113 | Pearson: 0.4398 | Best Correlation : 0.6080 | Best Epoch : 11
Fold 2 | Epoch [14/80] | Train Loss: 0.0073 | Val Loss: 0.0148 | R2: 0.1963 | Pearson: 0.5366 | Best Correlation : 0.6080 | Best Epoch : 11
Fold 2 | Epoch [15/80] | Train Loss: 0.0058 | Val Loss: 0.0511 | R2: -1.7851 | Pearson: 0.3422 | Best Correlation : 0.6080 | Best Epoch : 11
Fold 2 | Epoch [16/80] | Train Loss: 0.0050 | Val Loss: 0.0121 | R2: 0.3363 | Pearson: 0.6048 | Best Correlation : 0.6080 | Best Epoch : 11
Fold 2 | Epoch [17/80] | Train Loss: 0.0038 | Val Loss: 0.0162 | R2: 0.1146 | Pearson: 0.5138 | Best Correlation : 0.6080 | Best Epoch : 11
Fold 2 | Epoch [18/80] | Train Loss: 0.0031 | Val Loss: 0.0107 | R2: 0.4188 | Pearson: 0.6476 | Best Correlation : 0.6476 | Best Epoch : 17
Fold 2 | Epoch [19/80] | Train Loss: 0.0030 | Val Loss: 0.0113 | R2: 0.3889 | Pearson: 0.6264 | Best Correlation : 0.6476 | Best Epoch : 17
Fold 2 | Epoch [20/80] | Train Loss: 0.0023 | Val Loss: 0.0125 | R2: 0.3171 | Pearson: 0.5654 | Best Correlation : 0.6476 | Best Epoch : 17
Fold 2 | Epoch [21/80] | Train Loss: 0.0021 | Val Loss: 0.0094 | R2: 0.4912 | Pearson: 0.7010 | Best Correlation : 0.7010 | Best Epoch : 20
Fold 2 | Epoch [22/80] | Train Loss: 0.0019 | Val Loss: 0.0138 | R2: 0.2463 | Pearson: 0.5320 | Best Correlation : 0.7010 | Best Epoch : 20
Fold 2 | Epoch [23/80] | Train Loss: 0.0017 | Val Loss: 0.0323 | R2: -0.7688 | Pearson: 0.3349 | Best Correlation : 0.7010 | Best Epoch : 20
Fold 2 | Epoch [24/80] | Train Loss: 0.0018 | Val Loss: 0.0119 | R2: 0.3478 | Pearson: 0.6460 | Best Correlation : 0.7010 | Best Epoch : 20
Fold 2 | Epoch [25/80] | Train Loss: 0.0013 | Val Loss: 0.0105 | R2: 0.4260 | Pearson: 0.7136 | Best Correlation : 0.7136 | Best Epoch : 24
Fold 2 | Epoch [26/80] | Train Loss: 0.0013 | Val Loss: 0.0128 | R2: 0.3052 | Pearson: 0.5673 | Best Correlation : 0.7136 | Best Epoch : 24
Fold 2 | Epoch [27/80] | Train Loss: 0.0016 | Val Loss: 0.0088 | R2: 0.5174 | Pearson: 0.7227 | Best Correlation : 0.7227 | Best Epoch : 26
Fold 2 | Epoch [28/80] | Train Loss: 0.0014 | Val Loss: 0.0137 | R2: 0.2797 | Pearson: 0.6011 | Best Correlation : 0.7227 | Best Epoch : 26
Fold 2 | Epoch [29/80] | Train Loss: 0.0013 | Val Loss: 0.0093 | R2: 0.4983 | Pearson: 0.7110 | Best Correlation : 0.7227 | Best Epoch : 26
Fold 2 | Epoch [30/80] | Train Loss: 0.0011 | Val Loss: 0.0104 | R2: 0.4310 | Pearson: 0.6637 | Best Correlation : 0.7227 | Best Epoch : 26
Fold 2 | Epoch [31/80] | Train Loss: 0.0009 | Val Loss: 0.0109 | R2: 0.4068 | Pearson: 0.6879 | Best Correlation : 0.7227 | Best Epoch : 26
Fold 2 | Epoch [32/80] | Train Loss: 0.0008 | Val Loss: 0.0093 | R2: 0.4999 | Pearson: 0.7078 | Best Correlation : 0.7227 | Best Epoch : 26
Fold 2 | Epoch [33/80] | Train Loss: 0.0009 | Val Loss: 0.0086 | R2: 0.5326 | Pearson: 0.7384 | Best Correlation : 0.7384 | Best Epoch : 32
Fold 2 | Epoch [34/80] | Train Loss: 0.0008 | Val Loss: 0.0096 | R2: 0.4772 | Pearson: 0.6917 | Best Correlation : 0.7384 | Best Epoch : 32
Fold 2 | Epoch [35/80] | Train Loss: 0.0007 | Val Loss: 0.0079 | R2: 0.5693 | Pearson: 0.7576 | Best Correlation : 0.7576 | Best Epoch : 34
Fold 2 | Epoch [36/80] | Train Loss: 0.0008 | Val Loss: 0.0089 | R2: 0.5120 | Pearson: 0.7255 | Best Correlation : 0.7576 | Best Epoch : 34
Fold 2 | Epoch [37/80] | Train Loss: 0.0007 | Val Loss: 0.0093 | R2: 0.4944 | Pearson: 0.7398 | Best Correlation : 0.7576 | Best Epoch : 34
Fold 2 | Epoch [38/80] | Train Loss: 0.0006 | Val Loss: 0.0128 | R2: 0.3003 | Pearson: 0.5977 | Best Correlation : 0.7576 | Best Epoch : 34
Fold 2 | Epoch [39/80] | Train Loss: 0.0005 | Val Loss: 0.0080 | R2: 0.5604 | Pearson: 0.7548 | Best Correlation : 0.7576 | Best Epoch : 34
Fold 2 | Epoch [40/80] | Train Loss: 0.0005 | Val Loss: 0.0294 | R2: -0.6059 | Pearson: 0.1044 | Best Correlation : 0.7576 | Best Epoch : 34
Fold 2 | Epoch [41/80] | Train Loss: 0.0004 | Val Loss: 0.0091 | R2: 0.5039 | Pearson: 0.7476 | Best Correlation : 0.7576 | Best Epoch : 34
Fold 2 | Epoch [42/80] | Train Loss: 0.0004 | Val Loss: 0.0090 | R2: 0.5094 | Pearson: 0.7490 | Best Correlation : 0.7576 | Best Epoch : 34
Fold 2 | Epoch [43/80] | Train Loss: 0.0003 | Val Loss: 0.0086 | R2: 0.5294 | Pearson: 0.7400 | Best Correlation : 0.7576 | Best Epoch : 34
Fold 2 | Epoch [44/80] | Train Loss: 0.0004 | Val Loss: 0.0079 | R2: 0.5692 | Pearson: 0.7659 | Best Correlation : 0.7659 | Best Epoch : 43
Fold 2 | Epoch [45/80] | Train Loss: 0.0003 | Val Loss: 0.0082 | R2: 0.5540 | Pearson: 0.7544 | Best Correlation : 0.7659 | Best Epoch : 43
Fold 2 | Epoch [46/80] | Train Loss: 0.0003 | Val Loss: 0.0082 | R2: 0.5545 | Pearson: 0.7588 | Best Correlation : 0.7659 | Best Epoch : 43
Fold 2 | Epoch [47/80] | Train Loss: 0.0003 | Val Loss: 0.0079 | R2: 0.5723 | Pearson: 0.7667 | Best Correlation : 0.7667 | Best Epoch : 46
Fold 2 | Epoch [48/80] | Train Loss: 0.0002 | Val Loss: 0.0082 | R2: 0.5497 | Pearson: 0.7519 | Best Correlation : 0.7667 | Best Epoch : 46
Fold 2 | Epoch [49/80] | Train Loss: 0.0003 | Val Loss: 0.0091 | R2: 0.5146 | Pearson: 0.7376 | Best Correlation : 0.7667 | Best Epoch : 46
Fold 2 | Epoch [50/80] | Train Loss: 0.0003 | Val Loss: 0.0080 | R2: 0.5618 | Pearson: 0.7588 | Best Correlation : 0.7667 | Best Epoch : 46
Fold 2 | Epoch [51/80] | Train Loss: 0.0002 | Val Loss: 0.0081 | R2: 0.5615 | Pearson: 0.7555 | Best Correlation : 0.7667 | Best Epoch : 46
Fold 2 | Epoch [52/80] | Train Loss: 0.0002 | Val Loss: 0.0084 | R2: 0.5428 | Pearson: 0.7591 | Best Correlation : 0.7667 | Best Epoch : 46
Fold 2 | Epoch [53/80] | Train Loss: 0.0002 | Val Loss: 0.0078 | R2: 0.5756 | Pearson: 0.7668 | Best Correlation : 0.7668 | Best Epoch : 52
Fold 2 | Epoch [54/80] | Train Loss: 0.0002 | Val Loss: 0.0078 | R2: 0.5724 | Pearson: 0.7650 | Best Correlation : 0.7668 | Best Epoch : 52
