Fold 3 | Epoch [1/80] | Train Loss: 0.0235 | Val Loss: 0.0224 | R2: -0.3476 | Pearson: 0.0697 | Best Correlation : 0.0697 | Best Epoch : 0
Fold 3 | Epoch [2/80] | Train Loss: 0.0191 | Val Loss: 0.0159 | R2: 0.0539 | Pearson: 0.2454 | Best Correlation : 0.2454 | Best Epoch : 1
Fold 3 | Epoch [3/80] | Train Loss: 0.0177 | Val Loss: 0.0237 | R2: -0.4261 | Pearson: 0.2597 | Best Correlation : 0.2597 | Best Epoch : 2
Fold 3 | Epoch [4/80] | Train Loss: 0.0164 | Val Loss: 0.0211 | R2: -0.2673 | Pearson: 0.4241 | Best Correlation : 0.4241 | Best Epoch : 3
Fold 3 | Epoch [5/80] | Train Loss: 0.0150 | Val Loss: 0.0177 | R2: -0.0583 | Pearson: 0.1751 | Best Correlation : 0.4241 | Best Epoch : 3
Fold 3 | Epoch [6/80] | Train Loss: 0.0142 | Val Loss: 0.0150 | R2: 0.1183 | Pearson: 0.4974 | Best Correlation : 0.4974 | Best Epoch : 5
Fold 3 | Epoch [7/80] | Train Loss: 0.0133 | Val Loss: 0.0193 | R2: -0.1594 | Pearson: 0.2725 | Best Correlation : 0.4974 | Best Epoch : 5
Fold 3 | Epoch [8/80] | Train Loss: 0.0122 | Val Loss: 0.0130 | R2: 0.2175 | Pearson: 0.4990 | Best Correlation : 0.4990 | Best Epoch : 7
Fold 3 | Epoch [9/80] | Train Loss: 0.0110 | Val Loss: 0.0167 | R2: 0.0151 | Pearson: 0.5882 | Best Correlation : 0.5882 | Best Epoch : 8
Fold 3 | Epoch [10/80] | Train Loss: 0.0098 | Val Loss: 0.0104 | R2: 0.3755 | Pearson: 0.6189 | Best Correlation : 0.6189 | Best Epoch : 9
Fold 3 | Epoch [11/80] | Train Loss: 0.0087 | Val Loss: 0.0131 | R2: 0.2124 | Pearson: 0.6772 | Best Correlation : 0.6772 | Best Epoch : 10
Fold 3 | Epoch [12/80] | Train Loss: 0.0067 | Val Loss: 0.0171 | R2: -0.0045 | Pearson: 0.5088 | Best Correlation : 0.6772 | Best Epoch : 10
Fold 3 | Epoch [13/80] | Train Loss: 0.0055 | Val Loss: 0.0104 | R2: 0.3773 | Pearson: 0.6705 | Best Correlation : 0.6772 | Best Epoch : 10
Fold 3 | Epoch [14/80] | Train Loss: 0.0044 | Val Loss: 0.0150 | R2: 0.0968 | Pearson: 0.3675 | Best Correlation : 0.6772 | Best Epoch : 10
Fold 3 | Epoch [15/80] | Train Loss: 0.0036 | Val Loss: 0.0114 | R2: 0.3232 | Pearson: 0.6169 | Best Correlation : 0.6772 | Best Epoch : 10
Fold 3 | Epoch [16/80] | Train Loss: 0.0031 | Val Loss: 0.0218 | R2: -0.3099 | Pearson: 0.2667 | Best Correlation : 0.6772 | Best Epoch : 10
Fold 3 | Epoch [17/80] | Train Loss: 0.0025 | Val Loss: 0.0106 | R2: 0.3679 | Pearson: 0.6119 | Best Correlation : 0.6772 | Best Epoch : 10
Fold 3 | Epoch [18/80] | Train Loss: 0.0023 | Val Loss: 0.0089 | R2: 0.4675 | Pearson: 0.6982 | Best Correlation : 0.6982 | Best Epoch : 17
Fold 3 | Epoch [19/80] | Train Loss: 0.0019 | Val Loss: 0.0079 | R2: 0.5267 | Pearson: 0.7359 | Best Correlation : 0.7359 | Best Epoch : 18
Fold 3 | Epoch [20/80] | Train Loss: 0.0017 | Val Loss: 0.0107 | R2: 0.3551 | Pearson: 0.6571 | Best Correlation : 0.7359 | Best Epoch : 18
Fold 3 | Epoch [21/80] | Train Loss: 0.0018 | Val Loss: 0.0136 | R2: 0.1891 | Pearson: 0.4385 | Best Correlation : 0.7359 | Best Epoch : 18
Fold 3 | Epoch [22/80] | Train Loss: 0.0015 | Val Loss: 0.0104 | R2: 0.3747 | Pearson: 0.6997 | Best Correlation : 0.7359 | Best Epoch : 18
Fold 3 | Epoch [23/80] | Train Loss: 0.0016 | Val Loss: 0.0104 | R2: 0.3803 | Pearson: 0.6815 | Best Correlation : 0.7359 | Best Epoch : 18
Fold 3 | Epoch [24/80] | Train Loss: 0.0014 | Val Loss: 0.0080 | R2: 0.5218 | Pearson: 0.7346 | Best Correlation : 0.7359 | Best Epoch : 18
Fold 3 | Epoch [25/80] | Train Loss: 0.0013 | Val Loss: 0.0086 | R2: 0.4843 | Pearson: 0.7035 | Best Correlation : 0.7359 | Best Epoch : 18
Fold 3 | Epoch [26/80] | Train Loss: 0.0013 | Val Loss: 0.0069 | R2: 0.5882 | Pearson: 0.7673 | Best Correlation : 0.7673 | Best Epoch : 25
Fold 3 | Epoch [27/80] | Train Loss: 0.0012 | Val Loss: 0.0070 | R2: 0.5800 | Pearson: 0.7723 | Best Correlation : 0.7723 | Best Epoch : 26
Fold 3 | Epoch [28/80] | Train Loss: 0.0010 | Val Loss: 0.0105 | R2: 0.3679 | Pearson: 0.6417 | Best Correlation : 0.7723 | Best Epoch : 26
Fold 3 | Epoch [29/80] | Train Loss: 0.0009 | Val Loss: 0.0079 | R2: 0.5275 | Pearson: 0.7322 | Best Correlation : 0.7723 | Best Epoch : 26
Fold 3 | Epoch [30/80] | Train Loss: 0.0010 | Val Loss: 0.0069 | R2: 0.5858 | Pearson: 0.7698 | Best Correlation : 0.7723 | Best Epoch : 26
Fold 3 | Epoch [31/80] | Train Loss: 0.0010 | Val Loss: 0.0069 | R2: 0.5855 | Pearson: 0.7863 | Best Correlation : 0.7863 | Best Epoch : 30
Fold 3 | Epoch [32/80] | Train Loss: 0.0009 | Val Loss: 0.0064 | R2: 0.6189 | Pearson: 0.7883 | Best Correlation : 0.7883 | Best Epoch : 31
Fold 3 | Epoch [33/80] | Train Loss: 0.0006 | Val Loss: 0.0076 | R2: 0.5450 | Pearson: 0.7510 | Best Correlation : 0.7883 | Best Epoch : 31
Fold 3 | Epoch [34/80] | Train Loss: 0.0006 | Val Loss: 0.0066 | R2: 0.6022 | Pearson: 0.7849 | Best Correlation : 0.7883 | Best Epoch : 31
Fold 3 | Epoch [35/80] | Train Loss: 0.0006 | Val Loss: 0.0083 | R2: 0.4984 | Pearson: 0.7253 | Best Correlation : 0.7883 | Best Epoch : 31
Fold 3 | Epoch [36/80] | Train Loss: 0.0005 | Val Loss: 0.0129 | R2: 0.2245 | Pearson: 0.5159 | Best Correlation : 0.7883 | Best Epoch : 31
Fold 3 | Epoch [37/80] | Train Loss: 0.0006 | Val Loss: 0.0118 | R2: 0.2884 | Pearson: 0.5714 | Best Correlation : 0.7883 | Best Epoch : 31
Fold 3 | Epoch [38/80] | Train Loss: 0.0005 | Val Loss: 0.0064 | R2: 0.6168 | Pearson: 0.7966 | Best Correlation : 0.7966 | Best Epoch : 37
Fold 3 | Epoch [39/80] | Train Loss: 0.0005 | Val Loss: 0.0070 | R2: 0.5816 | Pearson: 0.7829 | Best Correlation : 0.7966 | Best Epoch : 37
Fold 3 | Epoch [40/80] | Train Loss: 0.0004 | Val Loss: 0.0064 | R2: 0.6150 | Pearson: 0.7966 | Best Correlation : 0.7966 | Best Epoch : 37
Fold 3 | Epoch [41/80] | Train Loss: 0.0004 | Val Loss: 0.0064 | R2: 0.6152 | Pearson: 0.7897 | Best Correlation : 0.7966 | Best Epoch : 37
Fold 3 | Epoch [42/80] | Train Loss: 0.0004 | Val Loss: 0.0061 | R2: 0.6331 | Pearson: 0.8050 | Best Correlation : 0.8050 | Best Epoch : 41
Fold 3 | Epoch [43/80] | Train Loss: 0.0003 | Val Loss: 0.0065 | R2: 0.6098 | Pearson: 0.7906 | Best Correlation : 0.8050 | Best Epoch : 41
Fold 3 | Epoch [44/80] | Train Loss: 0.0003 | Val Loss: 0.0073 | R2: 0.5621 | Pearson: 0.7717 | Best Correlation : 0.8050 | Best Epoch : 41
Fold 3 | Epoch [45/80] | Train Loss: 0.0003 | Val Loss: 0.0070 | R2: 0.5832 | Pearson: 0.7748 | Best Correlation : 0.8050 | Best Epoch : 41
Fold 3 | Epoch [46/80] | Train Loss: 0.0003 | Val Loss: 0.0103 | R2: 0.3908 | Pearson: 0.6873 | Best Correlation : 0.8050 | Best Epoch : 41
Fold 3 | Epoch [47/80] | Train Loss: 0.0003 | Val Loss: 0.0063 | R2: 0.6227 | Pearson: 0.7985 | Best Correlation : 0.8050 | Best Epoch : 41
