Fold 4 | Epoch [1/80] | Train Loss: 0.0225 | Val Loss: 0.0194 | R2: -0.0044 | Pearson: 0.0717 | Best Correlation : 0.0717 | Best Epoch : 0
Fold 4 | Epoch [2/80] | Train Loss: 0.0183 | Val Loss: 0.0196 | R2: -0.0084 | Pearson: 0.1823 | Best Correlation : 0.1823 | Best Epoch : 1
Fold 4 | Epoch [3/80] | Train Loss: 0.0175 | Val Loss: 0.0185 | R2: 0.0460 | Pearson: 0.2554 | Best Correlation : 0.2554 | Best Epoch : 2
Fold 4 | Epoch [4/80] | Train Loss: 0.0160 | Val Loss: 0.0245 | R2: -0.2515 | Pearson: 0.3274 | Best Correlation : 0.3274 | Best Epoch : 3
Fold 4 | Epoch [5/80] | Train Loss: 0.0158 | Val Loss: 0.0211 | R2: -0.0913 | Pearson: 0.0191 | Best Correlation : 0.3274 | Best Epoch : 3
Fold 4 | Epoch [6/80] | Train Loss: 0.0142 | Val Loss: 0.0360 | R2: -0.8488 | Pearson: 0.1025 | Best Correlation : 0.3274 | Best Epoch : 3
Fold 4 | Epoch [7/80] | Train Loss: 0.0139 | Val Loss: 0.0150 | R2: 0.2249 | Pearson: 0.4777 | Best Correlation : 0.4777 | Best Epoch : 6
Fold 4 | Epoch [8/80] | Train Loss: 0.0128 | Val Loss: 0.0148 | R2: 0.2340 | Pearson: 0.4870 | Best Correlation : 0.4870 | Best Epoch : 7
Fold 4 | Epoch [9/80] | Train Loss: 0.0118 | Val Loss: 0.0190 | R2: 0.0203 | Pearson: 0.1845 | Best Correlation : 0.4870 | Best Epoch : 7
Fold 4 | Epoch [10/80] | Train Loss: 0.0113 | Val Loss: 0.0155 | R2: 0.2046 | Pearson: 0.4823 | Best Correlation : 0.4870 | Best Epoch : 7
Fold 4 | Epoch [11/80] | Train Loss: 0.0100 | Val Loss: 0.0169 | R2: 0.1368 | Pearson: 0.4973 | Best Correlation : 0.4973 | Best Epoch : 10
Fold 4 | Epoch [12/80] | Train Loss: 0.0089 | Val Loss: 0.0284 | R2: -0.4606 | Pearson: 0.3622 | Best Correlation : 0.4973 | Best Epoch : 10
Fold 4 | Epoch [13/80] | Train Loss: 0.0077 | Val Loss: 0.0185 | R2: 0.0438 | Pearson: 0.2305 | Best Correlation : 0.4973 | Best Epoch : 10
Fold 4 | Epoch [14/80] | Train Loss: 0.0064 | Val Loss: 0.0171 | R2: 0.1219 | Pearson: 0.4040 | Best Correlation : 0.4973 | Best Epoch : 10
Fold 4 | Epoch [15/80] | Train Loss: 0.0053 | Val Loss: 0.0145 | R2: 0.2508 | Pearson: 0.5051 | Best Correlation : 0.5051 | Best Epoch : 14
Fold 4 | Epoch [16/80] | Train Loss: 0.0041 | Val Loss: 0.0178 | R2: 0.0832 | Pearson: 0.4904 | Best Correlation : 0.5051 | Best Epoch : 14
Fold 4 | Epoch [17/80] | Train Loss: 0.0031 | Val Loss: 0.0158 | R2: 0.1861 | Pearson: 0.4377 | Best Correlation : 0.5051 | Best Epoch : 14
Fold 4 | Epoch [18/80] | Train Loss: 0.0025 | Val Loss: 0.0140 | R2: 0.2821 | Pearson: 0.5323 | Best Correlation : 0.5323 | Best Epoch : 17
Fold 4 | Epoch [19/80] | Train Loss: 0.0019 | Val Loss: 0.0132 | R2: 0.3173 | Pearson: 0.5820 | Best Correlation : 0.5820 | Best Epoch : 18
Fold 4 | Epoch [20/80] | Train Loss: 0.0019 | Val Loss: 0.0142 | R2: 0.2693 | Pearson: 0.5436 | Best Correlation : 0.5820 | Best Epoch : 18
Fold 4 | Epoch [21/80] | Train Loss: 0.0015 | Val Loss: 0.0127 | R2: 0.3431 | Pearson: 0.5927 | Best Correlation : 0.5927 | Best Epoch : 20
Fold 4 | Epoch [22/80] | Train Loss: 0.0014 | Val Loss: 0.0124 | R2: 0.3581 | Pearson: 0.6118 | Best Correlation : 0.6118 | Best Epoch : 21
Fold 4 | Epoch [23/80] | Train Loss: 0.0013 | Val Loss: 0.0132 | R2: 0.3228 | Pearson: 0.5976 | Best Correlation : 0.6118 | Best Epoch : 21
Fold 4 | Epoch [24/80] | Train Loss: 0.0015 | Val Loss: 0.0137 | R2: 0.2906 | Pearson: 0.5817 | Best Correlation : 0.6118 | Best Epoch : 21
Fold 4 | Epoch [25/80] | Train Loss: 0.0012 | Val Loss: 0.0130 | R2: 0.3307 | Pearson: 0.5934 | Best Correlation : 0.6118 | Best Epoch : 21
Fold 4 | Epoch [26/80] | Train Loss: 0.0010 | Val Loss: 0.0121 | R2: 0.3747 | Pearson: 0.6146 | Best Correlation : 0.6146 | Best Epoch : 25
