Fold 1 | Epoch [1/80] | Train Loss: 0.0230 | Val Loss: 0.0310 | R2: -0.8115 | Pearson: -0.0865 | Best Correlation : -0.0865 | Best Epoch : 0
Fold 1 | Epoch [2/80] | Train Loss: 0.0200 | Val Loss: 0.0172 | R2: -0.0033 | Pearson: 0.1330 | Best Correlation : 0.1330 | Best Epoch : 1
Fold 1 | Epoch [3/80] | Train Loss: 0.0191 | Val Loss: 0.0171 | R2: 0.0005 | Pearson: 0.2167 | Best Correlation : 0.2167 | Best Epoch : 2
Fold 1 | Epoch [4/80] | Train Loss: 0.0176 | Val Loss: 0.0153 | R2: 0.1086 | Pearson: 0.3412 | Best Correlation : 0.3412 | Best Epoch : 3
Fold 1 | Epoch [5/80] | Train Loss: 0.0159 | Val Loss: 0.0153 | R2: 0.1039 | Pearson: 0.4099 | Best Correlation : 0.4099 | Best Epoch : 4
Fold 1 | Epoch [6/80] | Train Loss: 0.0150 | Val Loss: 0.0139 | R2: 0.1878 | Pearson: 0.4481 | Best Correlation : 0.4481 | Best Epoch : 5
Fold 1 | Epoch [7/80] | Train Loss: 0.0139 | Val Loss: 0.0211 | R2: -0.2331 | Pearson: 0.4758 | Best Correlation : 0.4758 | Best Epoch : 6
Fold 1 | Epoch [8/80] | Train Loss: 0.0135 | Val Loss: 0.0171 | R2: 0.0062 | Pearson: 0.4530 | Best Correlation : 0.4758 | Best Epoch : 6
Fold 1 | Epoch [9/80] | Train Loss: 0.0125 | Val Loss: 0.0156 | R2: 0.0932 | Pearson: 0.3354 | Best Correlation : 0.4758 | Best Epoch : 6
Fold 1 | Epoch [10/80] | Train Loss: 0.0118 | Val Loss: 0.0198 | R2: -0.1541 | Pearson: -0.0226 | Best Correlation : 0.4758 | Best Epoch : 6
Fold 1 | Epoch [11/80] | Train Loss: 0.0116 | Val Loss: 0.0216 | R2: -0.2642 | Pearson: 0.5344 | Best Correlation : 0.5344 | Best Epoch : 10
Fold 1 | Epoch [12/80] | Train Loss: 0.0104 | Val Loss: 0.0191 | R2: -0.1179 | Pearson: 0.4446 | Best Correlation : 0.5344 | Best Epoch : 10
Fold 1 | Epoch [13/80] | Train Loss: 0.0094 | Val Loss: 0.0167 | R2: 0.0251 | Pearson: 0.3424 | Best Correlation : 0.5344 | Best Epoch : 10
Fold 1 | Epoch [14/80] | Train Loss: 0.0092 | Val Loss: 0.0107 | R2: 0.3704 | Pearson: 0.6094 | Best Correlation : 0.6094 | Best Epoch : 13
Fold 1 | Epoch [15/80] | Train Loss: 0.0080 | Val Loss: 0.0237 | R2: -0.3877 | Pearson: 0.4495 | Best Correlation : 0.6094 | Best Epoch : 13
Fold 1 | Epoch [16/80] | Train Loss: 0.0062 | Val Loss: 0.0250 | R2: -0.4538 | Pearson: 0.2059 | Best Correlation : 0.6094 | Best Epoch : 13
Fold 1 | Epoch [17/80] | Train Loss: 0.0056 | Val Loss: 0.0123 | R2: 0.2788 | Pearson: 0.5663 | Best Correlation : 0.6094 | Best Epoch : 13
Fold 1 | Epoch [18/80] | Train Loss: 0.0045 | Val Loss: 0.0138 | R2: 0.1898 | Pearson: 0.4380 | Best Correlation : 0.6094 | Best Epoch : 13
Fold 1 | Epoch [19/80] | Train Loss: 0.0039 | Val Loss: 0.0120 | R2: 0.3032 | Pearson: 0.6227 | Best Correlation : 0.6227 | Best Epoch : 18
Fold 1 | Epoch [20/80] | Train Loss: 0.0032 | Val Loss: 0.0179 | R2: -0.0487 | Pearson: 0.1378 | Best Correlation : 0.6227 | Best Epoch : 18
Fold 1 | Epoch [21/80] | Train Loss: 0.0028 | Val Loss: 0.0103 | R2: 0.3935 | Pearson: 0.6593 | Best Correlation : 0.6593 | Best Epoch : 20
Fold 1 | Epoch [22/80] | Train Loss: 0.0026 | Val Loss: 0.0260 | R2: -0.4985 | Pearson: 0.2342 | Best Correlation : 0.6593 | Best Epoch : 20
Fold 1 | Epoch [23/80] | Train Loss: 0.0021 | Val Loss: 0.0102 | R2: 0.4157 | Pearson: 0.6816 | Best Correlation : 0.6816 | Best Epoch : 22
Fold 1 | Epoch [24/80] | Train Loss: 0.0017 | Val Loss: 0.0157 | R2: 0.0851 | Pearson: 0.4904 | Best Correlation : 0.6816 | Best Epoch : 22
Fold 1 | Epoch [25/80] | Train Loss: 0.0016 | Val Loss: 0.0105 | R2: 0.3859 | Pearson: 0.6597 | Best Correlation : 0.6816 | Best Epoch : 22
Fold 1 | Epoch [26/80] | Train Loss: 0.0017 | Val Loss: 0.0103 | R2: 0.3942 | Pearson: 0.6794 | Best Correlation : 0.6816 | Best Epoch : 22
