Fold 2 | Epoch [1/80] | Train Loss: 0.0225 | Val Loss: 0.0175 | R2: -0.0076 | Pearson: 0.0560 | Best Correlation : 0.0560 | Best Epoch : 0
Fold 2 | Epoch [2/80] | Train Loss: 0.0182 | Val Loss: 0.0193 | R2: -0.1144 | Pearson: -0.0663 | Best Correlation : 0.0560 | Best Epoch : 0
Fold 2 | Epoch [3/80] | Train Loss: 0.0177 | Val Loss: 0.0173 | R2: -0.0017 | Pearson: 0.1195 | Best Correlation : 0.1195 | Best Epoch : 2
Fold 2 | Epoch [4/80] | Train Loss: 0.0174 | Val Loss: 0.0190 | R2: -0.0993 | Pearson: 0.0291 | Best Correlation : 0.1195 | Best Epoch : 2
Fold 2 | Epoch [5/80] | Train Loss: 0.0164 | Val Loss: 0.0178 | R2: -0.0320 | Pearson: 0.2284 | Best Correlation : 0.2284 | Best Epoch : 4
Fold 2 | Epoch [6/80] | Train Loss: 0.0160 | Val Loss: 0.0170 | R2: 0.0136 | Pearson: 0.3233 | Best Correlation : 0.3233 | Best Epoch : 5
Fold 2 | Epoch [7/80] | Train Loss: 0.0150 | Val Loss: 0.0136 | R2: 0.2169 | Pearson: 0.4852 | Best Correlation : 0.4852 | Best Epoch : 6
Fold 2 | Epoch [8/80] | Train Loss: 0.0134 | Val Loss: 0.0229 | R2: -0.3200 | Pearson: 0.1488 | Best Correlation : 0.4852 | Best Epoch : 6
Fold 2 | Epoch [9/80] | Train Loss: 0.0124 | Val Loss: 0.0169 | R2: 0.0241 | Pearson: 0.3947 | Best Correlation : 0.4852 | Best Epoch : 6
Fold 2 | Epoch [10/80] | Train Loss: 0.0122 | Val Loss: 0.0170 | R2: 0.0127 | Pearson: 0.3007 | Best Correlation : 0.4852 | Best Epoch : 6
Fold 2 | Epoch [11/80] | Train Loss: 0.0107 | Val Loss: 0.0195 | R2: -0.1147 | Pearson: 0.2570 | Best Correlation : 0.4852 | Best Epoch : 6
Fold 2 | Epoch [12/80] | Train Loss: 0.0101 | Val Loss: 0.0118 | R2: 0.3188 | Pearson: 0.5855 | Best Correlation : 0.5855 | Best Epoch : 11
Fold 2 | Epoch [13/80] | Train Loss: 0.0084 | Val Loss: 0.0131 | R2: 0.2410 | Pearson: 0.5565 | Best Correlation : 0.5855 | Best Epoch : 11
Fold 2 | Epoch [14/80] | Train Loss: 0.0077 | Val Loss: 0.0165 | R2: 0.0419 | Pearson: 0.4423 | Best Correlation : 0.5855 | Best Epoch : 11
Fold 2 | Epoch [15/80] | Train Loss: 0.0064 | Val Loss: 0.0174 | R2: -0.0082 | Pearson: 0.3508 | Best Correlation : 0.5855 | Best Epoch : 11
