Fold 3 | Epoch [1/80] | Train Loss: 0.0235 | Val Loss: 0.0225 | R2: -0.3194 | Pearson: 0.1487 | Best Correlation : 0.1487 | Best Epoch : 0
Fold 3 | Epoch [2/80] | Train Loss: 0.0188 | Val Loss: 0.0159 | R2: 0.0587 | Pearson: 0.2504 | Best Correlation : 0.2504 | Best Epoch : 1
Fold 3 | Epoch [3/80] | Train Loss: 0.0176 | Val Loss: 0.0167 | R2: 0.0140 | Pearson: 0.1234 | Best Correlation : 0.2504 | Best Epoch : 1
Fold 3 | Epoch [4/80] | Train Loss: 0.0166 | Val Loss: 0.0165 | R2: 0.0295 | Pearson: 0.2993 | Best Correlation : 0.2993 | Best Epoch : 3
Fold 3 | Epoch [5/80] | Train Loss: 0.0160 | Val Loss: 0.0265 | R2: -0.5629 | Pearson: 0.1055 | Best Correlation : 0.2993 | Best Epoch : 3
Fold 3 | Epoch [6/80] | Train Loss: 0.0139 | Val Loss: 0.0174 | R2: -0.0272 | Pearson: 0.2483 | Best Correlation : 0.2993 | Best Epoch : 3
Fold 3 | Epoch [7/80] | Train Loss: 0.0129 | Val Loss: 0.0124 | R2: 0.2694 | Pearson: 0.5334 | Best Correlation : 0.5334 | Best Epoch : 6
Fold 3 | Epoch [8/80] | Train Loss: 0.0111 | Val Loss: 0.0142 | R2: 0.1592 | Pearson: 0.4579 | Best Correlation : 0.5334 | Best Epoch : 6
Fold 3 | Epoch [9/80] | Train Loss: 0.0098 | Val Loss: 0.0110 | R2: 0.3521 | Pearson: 0.6235 | Best Correlation : 0.6235 | Best Epoch : 8
Fold 3 | Epoch [10/80] | Train Loss: 0.0086 | Val Loss: 0.0133 | R2: 0.2223 | Pearson: 0.6555 | Best Correlation : 0.6555 | Best Epoch : 9
Fold 3 | Epoch [11/80] | Train Loss: 0.0075 | Val Loss: 0.0204 | R2: -0.1982 | Pearson: 0.3125 | Best Correlation : 0.6555 | Best Epoch : 9
Fold 3 | Epoch [12/80] | Train Loss: 0.0057 | Val Loss: 0.0135 | R2: 0.2026 | Pearson: 0.4942 | Best Correlation : 0.6555 | Best Epoch : 9
Fold 3 | Epoch [13/80] | Train Loss: 0.0053 | Val Loss: 0.0165 | R2: 0.0290 | Pearson: 0.3905 | Best Correlation : 0.6555 | Best Epoch : 9
Fold 3 | Epoch [14/80] | Train Loss: 0.0042 | Val Loss: 0.0096 | R2: 0.4345 | Pearson: 0.6736 | Best Correlation : 0.6736 | Best Epoch : 13
Fold 3 | Epoch [15/80] | Train Loss: 0.0032 | Val Loss: 0.0111 | R2: 0.3450 | Pearson: 0.5895 | Best Correlation : 0.6736 | Best Epoch : 13
Fold 3 | Epoch [16/80] | Train Loss: 0.0027 | Val Loss: 0.0088 | R2: 0.4849 | Pearson: 0.7050 | Best Correlation : 0.7050 | Best Epoch : 15
Fold 3 | Epoch [17/80] | Train Loss: 0.0024 | Val Loss: 0.0087 | R2: 0.4923 | Pearson: 0.7032 | Best Correlation : 0.7050 | Best Epoch : 15
Fold 3 | Epoch [18/80] | Train Loss: 0.0025 | Val Loss: 0.0083 | R2: 0.5091 | Pearson: 0.7248 | Best Correlation : 0.7248 | Best Epoch : 17
Fold 3 | Epoch [19/80] | Train Loss: 0.0021 | Val Loss: 0.0123 | R2: 0.2742 | Pearson: 0.5588 | Best Correlation : 0.7248 | Best Epoch : 17
Fold 3 | Epoch [20/80] | Train Loss: 0.0021 | Val Loss: 0.0111 | R2: 0.3434 | Pearson: 0.6279 | Best Correlation : 0.7248 | Best Epoch : 17
Fold 3 | Epoch [21/80] | Train Loss: 0.0020 | Val Loss: 0.0191 | R2: -0.1281 | Pearson: 0.5570 | Best Correlation : 0.7248 | Best Epoch : 17
Fold 3 | Epoch [22/80] | Train Loss: 0.0020 | Val Loss: 0.0099 | R2: 0.4150 | Pearson: 0.7570 | Best Correlation : 0.7570 | Best Epoch : 21
Fold 3 | Epoch [23/80] | Train Loss: 0.0017 | Val Loss: 0.0077 | R2: 0.5456 | Pearson: 0.7429 | Best Correlation : 0.7570 | Best Epoch : 21
Fold 3 | Epoch [24/80] | Train Loss: 0.0015 | Val Loss: 0.0104 | R2: 0.3871 | Pearson: 0.6398 | Best Correlation : 0.7570 | Best Epoch : 21
Fold 3 | Epoch [25/80] | Train Loss: 0.0014 | Val Loss: 0.0072 | R2: 0.5727 | Pearson: 0.7614 | Best Correlation : 0.7614 | Best Epoch : 24
Fold 3 | Epoch [26/80] | Train Loss: 0.0012 | Val Loss: 0.0096 | R2: 0.4336 | Pearson: 0.6756 | Best Correlation : 0.7614 | Best Epoch : 24
Fold 3 | Epoch [27/80] | Train Loss: 0.0012 | Val Loss: 0.0131 | R2: 0.2307 | Pearson: 0.5400 | Best Correlation : 0.7614 | Best Epoch : 24
Fold 3 | Epoch [28/80] | Train Loss: 0.0012 | Val Loss: 0.0074 | R2: 0.5618 | Pearson: 0.7571 | Best Correlation : 0.7614 | Best Epoch : 24
Fold 3 | Epoch [29/80] | Train Loss: 0.0012 | Val Loss: 0.0068 | R2: 0.6034 | Pearson: 0.7890 | Best Correlation : 0.7890 | Best Epoch : 28
Fold 3 | Epoch [30/80] | Train Loss: 0.0009 | Val Loss: 0.0074 | R2: 0.5616 | Pearson: 0.7635 | Best Correlation : 0.7890 | Best Epoch : 28
Fold 3 | Epoch [31/80] | Train Loss: 0.0010 | Val Loss: 0.0076 | R2: 0.5539 | Pearson: 0.7703 | Best Correlation : 0.7890 | Best Epoch : 28
Fold 3 | Epoch [32/80] | Train Loss: 0.0008 | Val Loss: 0.0067 | R2: 0.6033 | Pearson: 0.7821 | Best Correlation : 0.7890 | Best Epoch : 28
Fold 3 | Epoch [33/80] | Train Loss: 0.0007 | Val Loss: 0.0067 | R2: 0.6021 | Pearson: 0.7831 | Best Correlation : 0.7890 | Best Epoch : 28
Fold 3 | Epoch [34/80] | Train Loss: 0.0007 | Val Loss: 0.0089 | R2: 0.4781 | Pearson: 0.7810 | Best Correlation : 0.7890 | Best Epoch : 28
Fold 3 | Epoch [35/80] | Train Loss: 0.0008 | Val Loss: 0.0072 | R2: 0.5768 | Pearson: 0.7708 | Best Correlation : 0.7890 | Best Epoch : 28
Fold 3 | Epoch [36/80] | Train Loss: 0.0006 | Val Loss: 0.0070 | R2: 0.5903 | Pearson: 0.7835 | Best Correlation : 0.7890 | Best Epoch : 28
Fold 3 | Epoch [37/80] | Train Loss: 0.0005 | Val Loss: 0.0069 | R2: 0.5923 | Pearson: 0.7781 | Best Correlation : 0.7890 | Best Epoch : 28
Fold 3 | Epoch [38/80] | Train Loss: 0.0005 | Val Loss: 0.0067 | R2: 0.6068 | Pearson: 0.7878 | Best Correlation : 0.7890 | Best Epoch : 28
Fold 3 | Epoch [39/80] | Train Loss: 0.0005 | Val Loss: 0.0065 | R2: 0.6179 | Pearson: 0.8005 | Best Correlation : 0.8005 | Best Epoch : 38
Fold 3 | Epoch [40/80] | Train Loss: 0.0005 | Val Loss: 0.0070 | R2: 0.5876 | Pearson: 0.7833 | Best Correlation : 0.8005 | Best Epoch : 38
Fold 3 | Epoch [41/80] | Train Loss: 0.0004 | Val Loss: 0.0065 | R2: 0.6141 | Pearson: 0.7947 | Best Correlation : 0.8005 | Best Epoch : 38
Fold 3 | Epoch [42/80] | Train Loss: 0.0004 | Val Loss: 0.0065 | R2: 0.6163 | Pearson: 0.7937 | Best Correlation : 0.8005 | Best Epoch : 38
