Fold 4 | Epoch [1/80] | Train Loss: 0.0222 | Val Loss: 0.0180 | R2: 0.0140 | Pearson: 0.2385 | Best Correlation : 0.2385 | Best Epoch : 0
Fold 4 | Epoch [2/80] | Train Loss: 0.0182 | Val Loss: 0.0202 | R2: -0.1023 | Pearson: 0.2814 | Best Correlation : 0.2814 | Best Epoch : 1
Fold 4 | Epoch [3/80] | Train Loss: 0.0173 | Val Loss: 0.0208 | R2: -0.1270 | Pearson: 0.3393 | Best Correlation : 0.3393 | Best Epoch : 2
Fold 4 | Epoch [4/80] | Train Loss: 0.0173 | Val Loss: 0.0166 | R2: 0.0954 | Pearson: 0.4085 | Best Correlation : 0.4085 | Best Epoch : 3
Fold 4 | Epoch [5/80] | Train Loss: 0.0161 | Val Loss: 0.0236 | R2: -0.2825 | Pearson: 0.0103 | Best Correlation : 0.4085 | Best Epoch : 3
Fold 4 | Epoch [6/80] | Train Loss: 0.0151 | Val Loss: 0.0190 | R2: -0.0352 | Pearson: 0.0555 | Best Correlation : 0.4085 | Best Epoch : 3
Fold 4 | Epoch [7/80] | Train Loss: 0.0142 | Val Loss: 0.0199 | R2: -0.0914 | Pearson: 0.0533 | Best Correlation : 0.4085 | Best Epoch : 3
Fold 4 | Epoch [8/80] | Train Loss: 0.0133 | Val Loss: 0.0145 | R2: 0.2119 | Pearson: 0.4633 | Best Correlation : 0.4633 | Best Epoch : 7
Fold 4 | Epoch [9/80] | Train Loss: 0.0123 | Val Loss: 0.0156 | R2: 0.1430 | Pearson: 0.5117 | Best Correlation : 0.5117 | Best Epoch : 8
Fold 4 | Epoch [10/80] | Train Loss: 0.0119 | Val Loss: 0.0221 | R2: -0.1990 | Pearson: 0.2677 | Best Correlation : 0.5117 | Best Epoch : 8
Fold 4 | Epoch [11/80] | Train Loss: 0.0114 | Val Loss: 0.0194 | R2: -0.0519 | Pearson: 0.1967 | Best Correlation : 0.5117 | Best Epoch : 8
Fold 4 | Epoch [12/80] | Train Loss: 0.0105 | Val Loss: 0.0181 | R2: 0.0042 | Pearson: 0.4003 | Best Correlation : 0.5117 | Best Epoch : 8
Fold 4 | Epoch [13/80] | Train Loss: 0.0094 | Val Loss: 0.0181 | R2: 0.0129 | Pearson: 0.5138 | Best Correlation : 0.5138 | Best Epoch : 12
Fold 4 | Epoch [14/80] | Train Loss: 0.0084 | Val Loss: 0.0224 | R2: -0.2228 | Pearson: -0.0704 | Best Correlation : 0.5138 | Best Epoch : 12
Fold 4 | Epoch [15/80] | Train Loss: 0.0072 | Val Loss: 0.0118 | R2: 0.3512 | Pearson: 0.5991 | Best Correlation : 0.5991 | Best Epoch : 14
Fold 4 | Epoch [16/80] | Train Loss: 0.0060 | Val Loss: 0.0183 | R2: 0.0210 | Pearson: 0.3023 | Best Correlation : 0.5991 | Best Epoch : 14
Fold 4 | Epoch [17/80] | Train Loss: 0.0054 | Val Loss: 0.0122 | R2: 0.3348 | Pearson: 0.5905 | Best Correlation : 0.5991 | Best Epoch : 14
Fold 4 | Epoch [18/80] | Train Loss: 0.0040 | Val Loss: 0.0138 | R2: 0.2522 | Pearson: 0.5062 | Best Correlation : 0.5991 | Best Epoch : 14
Fold 4 | Epoch [19/80] | Train Loss: 0.0030 | Val Loss: 0.0144 | R2: 0.2117 | Pearson: 0.5946 | Best Correlation : 0.5991 | Best Epoch : 14
Fold 4 | Epoch [20/80] | Train Loss: 0.0024 | Val Loss: 0.0131 | R2: 0.2834 | Pearson: 0.6224 | Best Correlation : 0.6224 | Best Epoch : 19
Fold 4 | Epoch [21/80] | Train Loss: 0.0020 | Val Loss: 0.0133 | R2: 0.2725 | Pearson: 0.6179 | Best Correlation : 0.6224 | Best Epoch : 19
Fold 4 | Epoch [22/80] | Train Loss: 0.0020 | Val Loss: 0.0099 | R2: 0.4577 | Pearson: 0.6778 | Best Correlation : 0.6778 | Best Epoch : 21
