Fold 5 | Epoch [1/80] | Train Loss: 0.0226 | Val Loss: 0.0187 | R2: -0.0159 | Pearson: 0.0525 | Best Correlation : 0.0525 | Best Epoch : 0
Fold 5 | Epoch [2/80] | Train Loss: 0.0183 | Val Loss: 0.0184 | R2: -0.0157 | Pearson: 0.0869 | Best Correlation : 0.0869 | Best Epoch : 1
Fold 5 | Epoch [3/80] | Train Loss: 0.0172 | Val Loss: 0.0163 | R2: 0.0952 | Pearson: 0.3280 | Best Correlation : 0.3280 | Best Epoch : 2
Fold 5 | Epoch [4/80] | Train Loss: 0.0167 | Val Loss: 0.0195 | R2: -0.0819 | Pearson: 0.2856 | Best Correlation : 0.3280 | Best Epoch : 2
Fold 5 | Epoch [5/80] | Train Loss: 0.0155 | Val Loss: 0.0196 | R2: -0.0864 | Pearson: 0.0743 | Best Correlation : 0.3280 | Best Epoch : 2
Fold 5 | Epoch [6/80] | Train Loss: 0.0139 | Val Loss: 0.0154 | R2: 0.1476 | Pearson: 0.4285 | Best Correlation : 0.4285 | Best Epoch : 5
Fold 5 | Epoch [7/80] | Train Loss: 0.0130 | Val Loss: 0.0218 | R2: -0.2063 | Pearson: 0.3705 | Best Correlation : 0.4285 | Best Epoch : 5
Fold 5 | Epoch [8/80] | Train Loss: 0.0124 | Val Loss: 0.0303 | R2: -0.6807 | Pearson: 0.2568 | Best Correlation : 0.4285 | Best Epoch : 5
Fold 5 | Epoch [9/80] | Train Loss: 0.0114 | Val Loss: 0.0165 | R2: 0.0870 | Pearson: 0.4051 | Best Correlation : 0.4285 | Best Epoch : 5
Fold 5 | Epoch [10/80] | Train Loss: 0.0103 | Val Loss: 0.0148 | R2: 0.1780 | Pearson: 0.4633 | Best Correlation : 0.4633 | Best Epoch : 9
Fold 5 | Epoch [11/80] | Train Loss: 0.0090 | Val Loss: 0.0125 | R2: 0.3027 | Pearson: 0.5572 | Best Correlation : 0.5572 | Best Epoch : 10
Fold 5 | Epoch [12/80] | Train Loss: 0.0081 | Val Loss: 0.0155 | R2: 0.1520 | Pearson: 0.4369 | Best Correlation : 0.5572 | Best Epoch : 10
Fold 5 | Epoch [13/80] | Train Loss: 0.0077 | Val Loss: 0.0141 | R2: 0.2139 | Pearson: 0.5332 | Best Correlation : 0.5572 | Best Epoch : 10
Fold 5 | Epoch [14/80] | Train Loss: 0.0064 | Val Loss: 0.0181 | R2: -0.0043 | Pearson: 0.3437 | Best Correlation : 0.5572 | Best Epoch : 10
Fold 5 | Epoch [15/80] | Train Loss: 0.0054 | Val Loss: 0.0165 | R2: 0.0815 | Pearson: 0.5175 | Best Correlation : 0.5572 | Best Epoch : 10
Fold 5 | Epoch [16/80] | Train Loss: 0.0050 | Val Loss: 0.0110 | R2: 0.3865 | Pearson: 0.6226 | Best Correlation : 0.6226 | Best Epoch : 15
