Epoch [1/80] | Train Loss: 0.0421 | Val Loss: 0.0400 | Val R2: -1.2707 | Val Pearson: 0.0133 | Test Loss: 0.0522 | Test R2: -2.3814 | Test Pearson: -0.3905
Epoch [2/80] | Train Loss: 0.0275 | Val Loss: 0.1281 | Val R2: -6.2609 | Val Pearson: 0.1456 | Test Loss: 0.1501 | Test R2: -8.7187 | Test Pearson: 0.3991
Epoch [3/80] | Train Loss: 0.0266 | Val Loss: 0.0201 | Val R2: -0.1357 | Val Pearson: 0.0388 | Test Loss: 0.0225 | Test R2: -0.4587 | Test Pearson: -0.0396
Epoch [4/80] | Train Loss: 0.0282 | Val Loss: 0.0320 | Val R2: -0.8095 | Val Pearson: 0.0384 | Test Loss: 0.0288 | Test R2: -0.8645 | Test Pearson: 0.3017
Epoch [5/80] | Train Loss: 0.0268 | Val Loss: 0.0262 | Val R2: -0.4849 | Val Pearson: -0.1552 | Test Loss: 0.0327 | Test R2: -1.1167 | Test Pearson: -0.2778
Epoch [6/80] | Train Loss: 0.0243 | Val Loss: 0.0202 | Val R2: -0.1428 | Val Pearson: 0.0048 | Test Loss: 0.0178 | Test R2: -0.1504 | Test Pearson: -0.2760
Epoch [7/80] | Train Loss: 0.0243 | Val Loss: 0.0248 | Val R2: -0.4011 | Val Pearson: -0.0988 | Test Loss: 0.0208 | Test R2: -0.3444 | Test Pearson: -0.3041
Epoch [8/80] | Train Loss: 0.0233 | Val Loss: 0.0181 | Val R2: -0.0267 | Val Pearson: -0.0710 | Test Loss: 0.0169 | Test R2: -0.0921 | Test Pearson: -0.1920
Epoch [9/80] | Train Loss: 0.0239 | Val Loss: 0.0192 | Val R2: -0.0838 | Val Pearson: -0.0886 | Test Loss: 0.0169 | Test R2: -0.0913 | Test Pearson: -0.3741
Epoch [10/80] | Train Loss: 0.0234 | Val Loss: 0.0190 | Val R2: -0.0758 | Val Pearson: -0.1143 | Test Loss: 0.0205 | Test R2: -0.3250 | Test Pearson: -0.1517
Epoch [11/80] | Train Loss: 0.0222 | Val Loss: 0.0188 | Val R2: -0.0636 | Val Pearson: -0.0582 | Test Loss: 0.0194 | Test R2: -0.2573 | Test Pearson: -0.0187
Epoch [12/80] | Train Loss: 0.0242 | Val Loss: 0.0185 | Val R2: -0.0474 | Val Pearson: -0.0977 | Test Loss: 0.0179 | Test R2: -0.1613 | Test Pearson: 0.1002
Epoch [13/80] | Train Loss: 0.0231 | Val Loss: 0.0205 | Val R2: -0.1620 | Val Pearson: 0.0194 | Test Loss: 0.0168 | Test R2: -0.0851 | Test Pearson: -0.1459
