Epoch [1/80] | Train Loss: 0.0210 | Val Loss: 0.0309 | Val R2: -0.9980 | Val Pearson: 0.2436 | Test Loss: 0.0308 | Test R2: -0.4274 | Test Pearson: 0.1102
Epoch [2/80] | Train Loss: 0.0174 | Val Loss: 0.0145 | Val R2: 0.0596 | Val Pearson: 0.2942 | Test Loss: 0.0236 | Test R2: -0.0961 | Test Pearson: 0.0674
Epoch [3/80] | Train Loss: 0.0163 | Val Loss: 0.0126 | Val R2: 0.1857 | Val Pearson: 0.4484 | Test Loss: 0.0223 | Test R2: -0.0351 | Test Pearson: 0.1221
Epoch [4/80] | Train Loss: 0.0152 | Val Loss: 0.0165 | Val R2: -0.0703 | Val Pearson: 0.0755 | Test Loss: 0.0221 | Test R2: -0.0263 | Test Pearson: 0.1011
Epoch [5/80] | Train Loss: 0.0141 | Val Loss: 0.0214 | Val R2: -0.3872 | Val Pearson: 0.2289 | Test Loss: 0.0239 | Test R2: -0.1074 | Test Pearson: 0.0135
Epoch [6/80] | Train Loss: 0.0136 | Val Loss: 0.0188 | Val R2: -0.2202 | Val Pearson: 0.4438 | Test Loss: 0.0220 | Test R2: -0.0188 | Test Pearson: 0.2852
Epoch [7/80] | Train Loss: 0.0126 | Val Loss: 0.0155 | Val R2: -0.0005 | Val Pearson: 0.1464 | Test Loss: 0.0252 | Test R2: -0.1671 | Test Pearson: 0.1280
Epoch [8/80] | Train Loss: 0.0106 | Val Loss: 0.0197 | Val R2: -0.2756 | Val Pearson: 0.1822 | Test Loss: 0.0207 | Test R2: 0.0427 | Test Pearson: 0.2962
Epoch [9/80] | Train Loss: 0.0098 | Val Loss: 0.0155 | Val R2: -0.0018 | Val Pearson: 0.4388 | Test Loss: 0.0248 | Test R2: -0.1488 | Test Pearson: 0.5319
Epoch [10/80] | Train Loss: 0.0084 | Val Loss: 0.0313 | Val R2: -1.0243 | Val Pearson: 0.1792 | Test Loss: 0.0288 | Test R2: -0.3334 | Test Pearson: -0.0158
Epoch [11/80] | Train Loss: 0.0069 | Val Loss: 0.0223 | Val R2: -0.4404 | Val Pearson: 0.3841 | Test Loss: 0.0251 | Test R2: -0.1643 | Test Pearson: 0.2553
Epoch [12/80] | Train Loss: 0.0057 | Val Loss: 0.0139 | Val R2: 0.1002 | Val Pearson: 0.5733 | Test Loss: 0.0192 | Test R2: 0.1110 | Test Pearson: 0.4268
Epoch [13/80] | Train Loss: 0.0045 | Val Loss: 0.0143 | Val R2: 0.0738 | Val Pearson: 0.4321 | Test Loss: 0.0140 | Test R2: 0.3502 | Test Pearson: 0.5928
Epoch [14/80] | Train Loss: 0.0038 | Val Loss: 0.0183 | Val R2: -0.1870 | Val Pearson: 0.4151 | Test Loss: 0.0206 | Test R2: 0.0451 | Test Pearson: 0.3535
Epoch [15/80] | Train Loss: 0.0028 | Val Loss: 0.0174 | Val R2: -0.1294 | Val Pearson: 0.3981 | Test Loss: 0.0215 | Test R2: 0.0017 | Test Pearson: 0.1935
Epoch [16/80] | Train Loss: 0.0025 | Val Loss: 0.0142 | Val R2: 0.0806 | Val Pearson: 0.3977 | Test Loss: 0.0133 | Test R2: 0.3828 | Test Pearson: 0.6232
Epoch [17/80] | Train Loss: 0.0021 | Val Loss: 0.0121 | Val R2: 0.2183 | Val Pearson: 0.4736 | Test Loss: 0.0154 | Test R2: 0.2850 | Test Pearson: 0.5961
Epoch [18/80] | Train Loss: 0.0018 | Val Loss: 0.0147 | Val R2: 0.0506 | Val Pearson: 0.5652 | Test Loss: 0.0171 | Test R2: 0.2070 | Test Pearson: 0.5307
Epoch [19/80] | Train Loss: 0.0021 | Val Loss: 0.0117 | Val R2: 0.2452 | Val Pearson: 0.4970 | Test Loss: 0.0191 | Test R2: 0.1145 | Test Pearson: 0.4145
