Epoch [1/80] | Train Loss: 0.0227 | Val Loss: 0.0212 | Val R2: -0.3695 | Val Pearson: 0.4433 | Test Loss: 0.0238 | Test R2: -0.1048 | Test Pearson: 0.0956
Epoch [2/80] | Train Loss: 0.0177 | Val Loss: 0.0157 | Val R2: -0.0169 | Val Pearson: 0.3446 | Test Loss: 0.0279 | Test R2: -0.2946 | Test Pearson: 0.1007
Epoch [3/80] | Train Loss: 0.0169 | Val Loss: 0.0210 | Val R2: -0.3597 | Val Pearson: -0.0755 | Test Loss: 0.0225 | Test R2: -0.0445 | Test Pearson: -0.0090
Epoch [4/80] | Train Loss: 0.0158 | Val Loss: 0.0224 | Val R2: -0.4478 | Val Pearson: 0.3930 | Test Loss: 0.0247 | Test R2: -0.1436 | Test Pearson: 0.2349
Epoch [5/80] | Train Loss: 0.0139 | Val Loss: 0.0176 | Val R2: -0.1370 | Val Pearson: 0.1961 | Test Loss: 0.0203 | Test R2: 0.0575 | Test Pearson: 0.2431
Epoch [6/80] | Train Loss: 0.0130 | Val Loss: 0.0124 | Val R2: 0.1994 | Val Pearson: 0.6140 | Test Loss: 0.0168 | Test R2: 0.2200 | Test Pearson: 0.4899
Epoch [7/80] | Train Loss: 0.0117 | Val Loss: 0.0239 | Val R2: -0.5498 | Val Pearson: 0.4202 | Test Loss: 0.0245 | Test R2: -0.1368 | Test Pearson: 0.2691
Epoch [8/80] | Train Loss: 0.0108 | Val Loss: 0.0183 | Val R2: -0.1849 | Val Pearson: 0.1962 | Test Loss: 0.0223 | Test R2: -0.0347 | Test Pearson: 0.0301
Epoch [9/80] | Train Loss: 0.0095 | Val Loss: 0.0133 | Val R2: 0.1359 | Val Pearson: 0.5034 | Test Loss: 0.0186 | Test R2: 0.1399 | Test Pearson: 0.3787
Epoch [10/80] | Train Loss: 0.0084 | Val Loss: 0.0145 | Val R2: 0.0644 | Val Pearson: 0.5064 | Test Loss: 0.0175 | Test R2: 0.1880 | Test Pearson: 0.4784
Epoch [11/80] | Train Loss: 0.0072 | Val Loss: 0.0227 | Val R2: -0.4720 | Val Pearson: 0.5345 | Test Loss: 0.0270 | Test R2: -0.2494 | Test Pearson: 0.2574
Epoch [12/80] | Train Loss: 0.0057 | Val Loss: 0.0395 | Val R2: -1.5600 | Val Pearson: -0.2106 | Test Loss: 0.0331 | Test R2: -0.5341 | Test Pearson: 0.0727
Epoch [13/80] | Train Loss: 0.0049 | Val Loss: 0.0141 | Val R2: 0.0854 | Val Pearson: 0.5447 | Test Loss: 0.0150 | Test R2: 0.3039 | Test Pearson: 0.6090
Epoch [14/80] | Train Loss: 0.0042 | Val Loss: 0.0152 | Val R2: 0.0130 | Val Pearson: 0.4640 | Test Loss: 0.0248 | Test R2: -0.1490 | Test Pearson: 0.3831
Epoch [15/80] | Train Loss: 0.0035 | Val Loss: 0.0138 | Val R2: 0.1056 | Val Pearson: 0.6610 | Test Loss: 0.0160 | Test R2: 0.2589 | Test Pearson: 0.5595
Epoch [16/80] | Train Loss: 0.0031 | Val Loss: 0.0162 | Val R2: -0.0519 | Val Pearson: 0.4629 | Test Loss: 0.0204 | Test R2: 0.0549 | Test Pearson: 0.3314
Epoch [17/80] | Train Loss: 0.0025 | Val Loss: 0.0106 | Val R2: 0.3152 | Val Pearson: 0.6332 | Test Loss: 0.0156 | Test R2: 0.2763 | Test Pearson: 0.5328
Epoch [18/80] | Train Loss: 0.0021 | Val Loss: 0.0156 | Val R2: -0.0087 | Val Pearson: 0.5978 | Test Loss: 0.0213 | Test R2: 0.0130 | Test Pearson: 0.3655
Epoch [19/80] | Train Loss: 0.0020 | Val Loss: 0.0113 | Val R2: 0.2668 | Val Pearson: 0.5861 | Test Loss: 0.0124 | Test R2: 0.4261 | Test Pearson: 0.6567
Epoch [20/80] | Train Loss: 0.0018 | Val Loss: 0.0184 | Val R2: -0.1933 | Val Pearson: 0.2093 | Test Loss: 0.0210 | Test R2: 0.0268 | Test Pearson: 0.2134
Epoch [21/80] | Train Loss: 0.0014 | Val Loss: 0.0117 | Val R2: 0.2437 | Val Pearson: 0.6665 | Test Loss: 0.0165 | Test R2: 0.2333 | Test Pearson: 0.5060
