Epoch [1/80] | Train Loss: 0.0227 | Val Loss: 0.0184 | Val R2: -0.0107 | Val Pearson: 0.2185 | Test Loss: 0.0172 | Test R2: -0.0429 | Test Pearson: 0.1450
Epoch [2/80] | Train Loss: 0.0189 | Val Loss: 0.0176 | Val R2: 0.0224 | Val Pearson: 0.2836 | Test Loss: 0.0162 | Test R2: 0.0212 | Test Pearson: 0.2413
Epoch [3/80] | Train Loss: 0.0178 | Val Loss: 0.0231 | Val R2: -0.2860 | Val Pearson: 0.3097 | Test Loss: 0.0225 | Test R2: -0.3638 | Test Pearson: 0.2537
Epoch [4/80] | Train Loss: 0.0170 | Val Loss: 0.0156 | Val R2: 0.1359 | Val Pearson: 0.3952 | Test Loss: 0.0140 | Test R2: 0.1531 | Test Pearson: 0.4178
Epoch [5/80] | Train Loss: 0.0155 | Val Loss: 0.0157 | Val R2: 0.1297 | Val Pearson: 0.4609 | Test Loss: 0.0141 | Test R2: 0.1463 | Test Pearson: 0.4799
Epoch [6/80] | Train Loss: 0.0146 | Val Loss: 0.0148 | Val R2: 0.1731 | Val Pearson: 0.4342 | Test Loss: 0.0135 | Test R2: 0.1824 | Test Pearson: 0.4523
Epoch [7/80] | Train Loss: 0.0134 | Val Loss: 0.0200 | Val R2: -0.0988 | Val Pearson: 0.2642 | Test Loss: 0.0185 | Test R2: -0.1212 | Test Pearson: 0.2282
Epoch [8/80] | Train Loss: 0.0127 | Val Loss: 0.0253 | Val R2: -0.4104 | Val Pearson: 0.3024 | Test Loss: 0.0250 | Test R2: -0.5138 | Test Pearson: 0.2933
Epoch [9/80] | Train Loss: 0.0116 | Val Loss: 0.0191 | Val R2: -0.0535 | Val Pearson: 0.1212 | Test Loss: 0.0170 | Test R2: -0.0291 | Test Pearson: 0.2069
Epoch [10/80] | Train Loss: 0.0115 | Val Loss: 0.0230 | Val R2: -0.2781 | Val Pearson: 0.3635 | Test Loss: 0.0221 | Test R2: -0.3406 | Test Pearson: 0.2953
Epoch [11/80] | Train Loss: 0.0101 | Val Loss: 0.0149 | Val R2: 0.1747 | Val Pearson: 0.4182 | Test Loss: 0.0136 | Test R2: 0.1749 | Test Pearson: 0.4194
