Epoch [1/80] | Train Loss: 0.0228 | Val Loss: 0.0163 | Val R2: -0.0527 | Val Pearson: 0.3975 | Test Loss: 0.0277 | Test R2: -0.2838 | Test Pearson: -0.0030
Epoch [2/80] | Train Loss: 0.0186 | Val Loss: 0.0207 | Val R2: -0.3372 | Val Pearson: 0.4148 | Test Loss: 0.0230 | Test R2: -0.0676 | Test Pearson: 0.0144
Epoch [3/80] | Train Loss: 0.0182 | Val Loss: 0.0240 | Val R2: -0.5510 | Val Pearson: 0.4243 | Test Loss: 0.0268 | Test R2: -0.2399 | Test Pearson: -0.0090
Epoch [4/80] | Train Loss: 0.0175 | Val Loss: 0.0139 | Val R2: 0.0979 | Val Pearson: 0.4439 | Test Loss: 0.0216 | Test R2: 0.0003 | Test Pearson: 0.0938
Epoch [5/80] | Train Loss: 0.0169 | Val Loss: 0.0196 | Val R2: -0.2676 | Val Pearson: 0.4440 | Test Loss: 0.0232 | Test R2: -0.0772 | Test Pearson: 0.1075
Epoch [6/80] | Train Loss: 0.0167 | Val Loss: 0.0146 | Val R2: 0.0565 | Val Pearson: 0.2643 | Test Loss: 0.0215 | Test R2: 0.0043 | Test Pearson: 0.2330
Epoch [7/80] | Train Loss: 0.0156 | Val Loss: 0.0202 | Val R2: -0.3051 | Val Pearson: 0.3994 | Test Loss: 0.0232 | Test R2: -0.0772 | Test Pearson: 0.1972
Epoch [8/80] | Train Loss: 0.0148 | Val Loss: 0.0233 | Val R2: -0.5053 | Val Pearson: 0.5038 | Test Loss: 0.0250 | Test R2: -0.1572 | Test Pearson: 0.2776
Epoch [9/80] | Train Loss: 0.0142 | Val Loss: 0.0133 | Val R2: 0.1378 | Val Pearson: 0.3939 | Test Loss: 0.0215 | Test R2: 0.0051 | Test Pearson: 0.4285
Epoch [10/80] | Train Loss: 0.0136 | Val Loss: 0.0155 | Val R2: -0.0035 | Val Pearson: 0.3131 | Test Loss: 0.0274 | Test R2: -0.2705 | Test Pearson: 0.1624
Epoch [11/80] | Train Loss: 0.0126 | Val Loss: 0.0146 | Val R2: 0.0553 | Val Pearson: 0.2420 | Test Loss: 0.0209 | Test R2: 0.0314 | Test Pearson: 0.3122
Epoch [12/80] | Train Loss: 0.0121 | Val Loss: 0.0231 | Val R2: -0.4958 | Val Pearson: 0.0631 | Test Loss: 0.0201 | Test R2: 0.0671 | Test Pearson: 0.2815
Epoch [13/80] | Train Loss: 0.0118 | Val Loss: 0.0146 | Val R2: 0.0538 | Val Pearson: 0.5058 | Test Loss: 0.0166 | Test R2: 0.2319 | Test Pearson: 0.4945
Epoch [14/80] | Train Loss: 0.0103 | Val Loss: 0.0185 | Val R2: -0.1960 | Val Pearson: 0.4768 | Test Loss: 0.0212 | Test R2: 0.0166 | Test Pearson: 0.3468
Epoch [15/80] | Train Loss: 0.0092 | Val Loss: 0.0128 | Val R2: 0.1745 | Val Pearson: 0.4495 | Test Loss: 0.0231 | Test R2: -0.0691 | Test Pearson: 0.1700
Epoch [16/80] | Train Loss: 0.0078 | Val Loss: 0.0124 | Val R2: 0.1941 | Val Pearson: 0.4491 | Test Loss: 0.0191 | Test R2: 0.1146 | Test Pearson: 0.4003
Epoch [17/80] | Train Loss: 0.0071 | Val Loss: 0.0173 | Val R2: -0.1174 | Val Pearson: 0.4549 | Test Loss: 0.0196 | Test R2: 0.0937 | Test Pearson: 0.3802
Epoch [18/80] | Train Loss: 0.0055 | Val Loss: 0.0118 | Val R2: 0.2332 | Val Pearson: 0.5333 | Test Loss: 0.0161 | Test R2: 0.2547 | Test Pearson: 0.5075
Epoch [19/80] | Train Loss: 0.0043 | Val Loss: 0.0139 | Val R2: 0.1011 | Val Pearson: 0.5099 | Test Loss: 0.0174 | Test R2: 0.1945 | Test Pearson: 0.4448
Epoch [20/80] | Train Loss: 0.0036 | Val Loss: 0.0136 | Val R2: 0.1165 | Val Pearson: 0.4749 | Test Loss: 0.0176 | Test R2: 0.1863 | Test Pearson: 0.4321
Epoch [21/80] | Train Loss: 0.0028 | Val Loss: 0.0137 | Val R2: 0.1155 | Val Pearson: 0.5490 | Test Loss: 0.0191 | Test R2: 0.1144 | Test Pearson: 0.3832
Epoch [22/80] | Train Loss: 0.0026 | Val Loss: 0.0153 | Val R2: 0.0074 | Val Pearson: 0.2399 | Test Loss: 0.0211 | Test R2: 0.0198 | Test Pearson: 0.1847
Epoch [23/80] | Train Loss: 0.0020 | Val Loss: 0.0127 | Val R2: 0.1758 | Val Pearson: 0.6059 | Test Loss: 0.0149 | Test R2: 0.3096 | Test Pearson: 0.5894
Epoch [24/80] | Train Loss: 0.0019 | Val Loss: 0.0139 | Val R2: 0.1026 | Val Pearson: 0.5571 | Test Loss: 0.0175 | Test R2: 0.1886 | Test Pearson: 0.4574
Epoch [25/80] | Train Loss: 0.0015 | Val Loss: 0.0110 | Val R2: 0.2905 | Val Pearson: 0.6210 | Test Loss: 0.0181 | Test R2: 0.1619 | Test Pearson: 0.4275
Epoch [26/80] | Train Loss: 0.0015 | Val Loss: 0.0138 | Val R2: 0.1049 | Val Pearson: 0.4729 | Test Loss: 0.0210 | Test R2: 0.0281 | Test Pearson: 0.2021
Epoch [27/80] | Train Loss: 0.0014 | Val Loss: 0.0118 | Val R2: 0.2354 | Val Pearson: 0.5788 | Test Loss: 0.0176 | Test R2: 0.1822 | Test Pearson: 0.4397
Epoch [28/80] | Train Loss: 0.0011 | Val Loss: 0.0113 | Val R2: 0.2654 | Val Pearson: 0.5558 | Test Loss: 0.0147 | Test R2: 0.3201 | Test Pearson: 0.5679
Epoch [29/80] | Train Loss: 0.0011 | Val Loss: 0.0124 | Val R2: 0.1967 | Val Pearson: 0.5694 | Test Loss: 0.0158 | Test R2: 0.2666 | Test Pearson: 0.5345
Epoch [30/80] | Train Loss: 0.0010 | Val Loss: 0.0125 | Val R2: 0.1934 | Val Pearson: 0.5693 | Test Loss: 0.0175 | Test R2: 0.1867 | Test Pearson: 0.4394
Epoch [31/80] | Train Loss: 0.0010 | Val Loss: 0.0110 | Val R2: 0.2874 | Val Pearson: 0.5488 | Test Loss: 0.0157 | Test R2: 0.2704 | Test Pearson: 0.5378
Epoch [32/80] | Train Loss: 0.0008 | Val Loss: 0.0103 | Val R2: 0.3327 | Val Pearson: 0.6126 | Test Loss: 0.0142 | Test R2: 0.3414 | Test Pearson: 0.5862
Epoch [33/80] | Train Loss: 0.0008 | Val Loss: 0.0107 | Val R2: 0.3096 | Val Pearson: 0.6042 | Test Loss: 0.0143 | Test R2: 0.3375 | Test Pearson: 0.5820
Epoch [34/80] | Train Loss: 0.0008 | Val Loss: 0.0107 | Val R2: 0.3079 | Val Pearson: 0.6002 | Test Loss: 0.0164 | Test R2: 0.2398 | Test Pearson: 0.4902
Epoch [35/80] | Train Loss: 0.0007 | Val Loss: 0.0096 | Val R2: 0.3756 | Val Pearson: 0.6165 | Test Loss: 0.0154 | Test R2: 0.2860 | Test Pearson: 0.5555
Epoch [36/80] | Train Loss: 0.0006 | Val Loss: 0.0108 | Val R2: 0.3010 | Val Pearson: 0.6039 | Test Loss: 0.0154 | Test R2: 0.2859 | Test Pearson: 0.5350
Epoch [37/80] | Train Loss: 0.0006 | Val Loss: 0.0102 | Val R2: 0.3428 | Val Pearson: 0.6473 | Test Loss: 0.0160 | Test R2: 0.2564 | Test Pearson: 0.5076
Epoch [38/80] | Train Loss: 0.0005 | Val Loss: 0.0099 | Val R2: 0.3593 | Val Pearson: 0.6213 | Test Loss: 0.0152 | Test R2: 0.2975 | Test Pearson: 0.5482
Epoch [39/80] | Train Loss: 0.0005 | Val Loss: 0.0108 | Val R2: 0.2985 | Val Pearson: 0.5679 | Test Loss: 0.0149 | Test R2: 0.3106 | Test Pearson: 0.5621
Epoch [40/80] | Train Loss: 0.0006 | Val Loss: 0.0103 | Val R2: 0.3354 | Val Pearson: 0.6228 | Test Loss: 0.0149 | Test R2: 0.3114 | Test Pearson: 0.5588
Epoch [41/80] | Train Loss: 0.0005 | Val Loss: 0.0097 | Val R2: 0.3713 | Val Pearson: 0.6404 | Test Loss: 0.0141 | Test R2: 0.3482 | Test Pearson: 0.5915
Epoch [42/80] | Train Loss: 0.0004 | Val Loss: 0.0103 | Val R2: 0.3338 | Val Pearson: 0.5913 | Test Loss: 0.0152 | Test R2: 0.2953 | Test Pearson: 0.5503
Epoch [43/80] | Train Loss: 0.0003 | Val Loss: 0.0099 | Val R2: 0.3565 | Val Pearson: 0.5993 | Test Loss: 0.0146 | Test R2: 0.3230 | Test Pearson: 0.5955
Epoch [44/80] | Train Loss: 0.0003 | Val Loss: 0.0110 | Val R2: 0.2873 | Val Pearson: 0.5423 | Test Loss: 0.0169 | Test R2: 0.2170 | Test Pearson: 0.4963
Epoch [45/80] | Train Loss: 0.0004 | Val Loss: 0.0102 | Val R2: 0.3377 | Val Pearson: 0.6089 | Test Loss: 0.0149 | Test R2: 0.3117 | Test Pearson: 0.5626
Epoch [46/80] | Train Loss: 0.0003 | Val Loss: 0.0101 | Val R2: 0.3461 | Val Pearson: 0.6093 | Test Loss: 0.0144 | Test R2: 0.3326 | Test Pearson: 0.5813
Epoch [47/80] | Train Loss: 0.0003 | Val Loss: 0.0102 | Val R2: 0.3400 | Val Pearson: 0.6053 | Test Loss: 0.0143 | Test R2: 0.3375 | Test Pearson: 0.5883
Epoch [48/80] | Train Loss: 0.0003 | Val Loss: 0.0100 | Val R2: 0.3525 | Val Pearson: 0.6120 | Test Loss: 0.0146 | Test R2: 0.3216 | Test Pearson: 0.5758
Epoch [49/80] | Train Loss: 0.0003 | Val Loss: 0.0095 | Val R2: 0.3869 | Val Pearson: 0.6366 | Test Loss: 0.0151 | Test R2: 0.2988 | Test Pearson: 0.5535
Epoch [50/80] | Train Loss: 0.0003 | Val Loss: 0.0097 | Val R2: 0.3696 | Val Pearson: 0.6234 | Test Loss: 0.0146 | Test R2: 0.3254 | Test Pearson: 0.5788
Epoch [51/80] | Train Loss: 0.0002 | Val Loss: 0.0099 | Val R2: 0.3600 | Val Pearson: 0.6309 | Test Loss: 0.0143 | Test R2: 0.3353 | Test Pearson: 0.5801
