Epoch [1/80] | Train Loss: 0.0223 | Val Loss: 0.0180 | Val R2: 0.0042 | Val Pearson: 0.1041 | Test Loss: 0.0160 | Test R2: 0.0291 | Test Pearson: 0.1840
Epoch [2/80] | Train Loss: 0.0184 | Val Loss: 0.0166 | Val R2: 0.0815 | Val Pearson: 0.3170 | Test Loss: 0.0156 | Test R2: 0.0546 | Test Pearson: 0.2407
Epoch [3/80] | Train Loss: 0.0170 | Val Loss: 0.0163 | Val R2: 0.0892 | Val Pearson: 0.3156 | Test Loss: 0.0145 | Test R2: 0.1211 | Test Pearson: 0.3873
Epoch [4/80] | Train Loss: 0.0161 | Val Loss: 0.0390 | Val R2: -1.1644 | Val Pearson: -0.0605 | Test Loss: 0.0356 | Test R2: -1.1591 | Test Pearson: 0.0575
Epoch [5/80] | Train Loss: 0.0156 | Val Loss: 0.0243 | Val R2: -0.3487 | Val Pearson: 0.2377 | Test Loss: 0.0230 | Test R2: -0.3933 | Test Pearson: 0.2734
Epoch [6/80] | Train Loss: 0.0145 | Val Loss: 0.0298 | Val R2: -0.6532 | Val Pearson: 0.1736 | Test Loss: 0.0285 | Test R2: -0.7285 | Test Pearson: 0.1238
Epoch [7/80] | Train Loss: 0.0143 | Val Loss: 0.0191 | Val R2: -0.0615 | Val Pearson: 0.3827 | Test Loss: 0.0181 | Test R2: -0.0989 | Test Pearson: 0.3821
Epoch [8/80] | Train Loss: 0.0132 | Val Loss: 0.0283 | Val R2: -0.5501 | Val Pearson: 0.0386 | Test Loss: 0.0260 | Test R2: -0.5727 | Test Pearson: 0.0150
Epoch [9/80] | Train Loss: 0.0123 | Val Loss: 0.0157 | Val R2: 0.1250 | Val Pearson: 0.4012 | Test Loss: 0.0142 | Test R2: 0.1415 | Test Pearson: 0.4285
Epoch [10/80] | Train Loss: 0.0109 | Val Loss: 0.0251 | Val R2: -0.3837 | Val Pearson: 0.3458 | Test Loss: 0.0232 | Test R2: -0.4037 | Test Pearson: 0.3799
Epoch [11/80] | Train Loss: 0.0095 | Val Loss: 0.0174 | Val R2: 0.0286 | Val Pearson: 0.3020 | Test Loss: 0.0158 | Test R2: 0.0429 | Test Pearson: 0.3924
Epoch [12/80] | Train Loss: 0.0086 | Val Loss: 0.0200 | Val R2: -0.0949 | Val Pearson: 0.2580 | Test Loss: 0.0186 | Test R2: -0.1297 | Test Pearson: 0.2173
Epoch [13/80] | Train Loss: 0.0070 | Val Loss: 0.1314 | Val R2: -6.2987 | Val Pearson: 0.1284 | Test Loss: 0.1325 | Test R2: -7.0278 | Test Pearson: 0.1152
Epoch [14/80] | Train Loss: 0.0055 | Val Loss: 0.0177 | Val R2: 0.0151 | Val Pearson: 0.2710 | Test Loss: 0.0165 | Test R2: 0.0027 | Test Pearson: 0.2188
Epoch [15/80] | Train Loss: 0.0052 | Val Loss: 0.0267 | Val R2: -0.4666 | Val Pearson: 0.2561 | Test Loss: 0.0239 | Test R2: -0.4464 | Test Pearson: 0.3334
Epoch [16/80] | Train Loss: 0.0037 | Val Loss: 0.0174 | Val R2: 0.0468 | Val Pearson: 0.2765 | Test Loss: 0.0157 | Test R2: 0.0475 | Test Pearson: 0.2698
Epoch [17/80] | Train Loss: 0.0035 | Val Loss: 0.0220 | Val R2: -0.2250 | Val Pearson: 0.2110 | Test Loss: 0.0199 | Test R2: -0.2081 | Test Pearson: 0.2605
Epoch [18/80] | Train Loss: 0.0025 | Val Loss: 0.0188 | Val R2: -0.0372 | Val Pearson: 0.2518 | Test Loss: 0.0164 | Test R2: 0.0081 | Test Pearson: 0.3429
Epoch [19/80] | Train Loss: 0.0022 | Val Loss: 0.0175 | Val R2: 0.0379 | Val Pearson: 0.4771 | Test Loss: 0.0159 | Test R2: 0.0343 | Test Pearson: 0.4474
Epoch [20/80] | Train Loss: 0.0019 | Val Loss: 0.0140 | Val R2: 0.2196 | Val Pearson: 0.5082 | Test Loss: 0.0120 | Test R2: 0.2728 | Test Pearson: 0.5456
Epoch [21/80] | Train Loss: 0.0020 | Val Loss: 0.0103 | Val R2: 0.4239 | Val Pearson: 0.6581 | Test Loss: 0.0112 | Test R2: 0.3183 | Test Pearson: 0.5703
Epoch [22/80] | Train Loss: 0.0017 | Val Loss: 0.0158 | Val R2: 0.1184 | Val Pearson: 0.4499 | Test Loss: 0.0152 | Test R2: 0.0775 | Test Pearson: 0.3764
