Epoch [1/80] | Train Loss: 0.0240 | Val Loss: 0.0200 | Val R2: -0.1143 | Val Pearson: -0.1628 | Test Loss: 0.0182 | Test R2: -0.1009 | Test Pearson: -0.1363
Epoch [2/80] | Train Loss: 0.0193 | Val Loss: 0.0174 | Val R2: 0.0307 | Val Pearson: 0.3814 | Test Loss: 0.0161 | Test R2: 0.0257 | Test Pearson: 0.3031
Epoch [3/80] | Train Loss: 0.0184 | Val Loss: 0.0179 | Val R2: 0.0028 | Val Pearson: 0.2777 | Test Loss: 0.0164 | Test R2: 0.0077 | Test Pearson: 0.2793
Epoch [4/80] | Train Loss: 0.0175 | Val Loss: 0.0232 | Val R2: -0.2761 | Val Pearson: 0.4672 | Test Loss: 0.0220 | Test R2: -0.3326 | Test Pearson: 0.3967
Epoch [5/80] | Train Loss: 0.0169 | Val Loss: 0.0202 | Val R2: -0.1290 | Val Pearson: 0.3276 | Test Loss: 0.0190 | Test R2: -0.1503 | Test Pearson: 0.3508
Epoch [6/80] | Train Loss: 0.0157 | Val Loss: 0.0157 | Val R2: 0.1241 | Val Pearson: 0.4555 | Test Loss: 0.0148 | Test R2: 0.1032 | Test Pearson: 0.4454
Epoch [7/80] | Train Loss: 0.0150 | Val Loss: 0.0178 | Val R2: 0.0162 | Val Pearson: 0.1533 | Test Loss: 0.0161 | Test R2: 0.0261 | Test Pearson: 0.1831
Epoch [8/80] | Train Loss: 0.0143 | Val Loss: 0.0130 | Val R2: 0.2708 | Val Pearson: 0.5321 | Test Loss: 0.0109 | Test R2: 0.3381 | Test Pearson: 0.6040
Epoch [9/80] | Train Loss: 0.0132 | Val Loss: 0.0141 | Val R2: 0.2172 | Val Pearson: 0.5221 | Test Loss: 0.0115 | Test R2: 0.3050 | Test Pearson: 0.5918
Epoch [10/80] | Train Loss: 0.0122 | Val Loss: 0.0153 | Val R2: 0.1473 | Val Pearson: 0.4965 | Test Loss: 0.0138 | Test R2: 0.1662 | Test Pearson: 0.5425
Epoch [11/80] | Train Loss: 0.0116 | Val Loss: 0.0220 | Val R2: -0.2294 | Val Pearson: 0.3463 | Test Loss: 0.0208 | Test R2: -0.2578 | Test Pearson: 0.3879
Epoch [12/80] | Train Loss: 0.0101 | Val Loss: 0.0141 | Val R2: 0.2207 | Val Pearson: 0.5338 | Test Loss: 0.0121 | Test R2: 0.2691 | Test Pearson: 0.5702
Epoch [13/80] | Train Loss: 0.0091 | Val Loss: 0.0143 | Val R2: 0.2030 | Val Pearson: 0.4596 | Test Loss: 0.0125 | Test R2: 0.2455 | Test Pearson: 0.5125
Epoch [14/80] | Train Loss: 0.0081 | Val Loss: 0.0140 | Val R2: 0.2227 | Val Pearson: 0.4736 | Test Loss: 0.0111 | Test R2: 0.3245 | Test Pearson: 0.5761
Epoch [15/80] | Train Loss: 0.0069 | Val Loss: 0.0136 | Val R2: 0.2432 | Val Pearson: 0.4959 | Test Loss: 0.0118 | Test R2: 0.2853 | Test Pearson: 0.5343
Epoch [16/80] | Train Loss: 0.0055 | Val Loss: 0.0109 | Val R2: 0.3929 | Val Pearson: 0.6349 | Test Loss: 0.0087 | Test R2: 0.4718 | Test Pearson: 0.6909
Epoch [17/80] | Train Loss: 0.0043 | Val Loss: 0.0130 | Val R2: 0.2833 | Val Pearson: 0.5440 | Test Loss: 0.0121 | Test R2: 0.2693 | Test Pearson: 0.5279
Epoch [18/80] | Train Loss: 0.0040 | Val Loss: 0.0107 | Val R2: 0.4115 | Val Pearson: 0.6504 | Test Loss: 0.0099 | Test R2: 0.4018 | Test Pearson: 0.6416
Epoch [19/80] | Train Loss: 0.0030 | Val Loss: 0.0094 | Val R2: 0.4736 | Val Pearson: 0.6957 | Test Loss: 0.0079 | Test R2: 0.5221 | Test Pearson: 0.7244
Epoch [20/80] | Train Loss: 0.0024 | Val Loss: 0.0092 | Val R2: 0.4883 | Val Pearson: 0.7024 | Test Loss: 0.0091 | Test R2: 0.4487 | Test Pearson: 0.6774
Epoch [21/80] | Train Loss: 0.0023 | Val Loss: 0.0108 | Val R2: 0.4001 | Val Pearson: 0.6825 | Test Loss: 0.0103 | Test R2: 0.3736 | Test Pearson: 0.6753
Epoch [22/80] | Train Loss: 0.0019 | Val Loss: 0.0108 | Val R2: 0.3942 | Val Pearson: 0.6329 | Test Loss: 0.0107 | Test R2: 0.3523 | Test Pearson: 0.6004
Epoch [23/80] | Train Loss: 0.0020 | Val Loss: 0.0086 | Val R2: 0.5168 | Val Pearson: 0.7221 | Test Loss: 0.0080 | Test R2: 0.5162 | Test Pearson: 0.7205
Epoch [24/80] | Train Loss: 0.0017 | Val Loss: 0.0095 | Val R2: 0.4701 | Val Pearson: 0.6862 | Test Loss: 0.0082 | Test R2: 0.5025 | Test Pearson: 0.7097
Epoch [25/80] | Train Loss: 0.0014 | Val Loss: 0.0097 | Val R2: 0.4583 | Val Pearson: 0.7161 | Test Loss: 0.0084 | Test R2: 0.4888 | Test Pearson: 0.7244
Epoch [26/80] | Train Loss: 0.0013 | Val Loss: 0.0112 | Val R2: 0.3736 | Val Pearson: 0.7085 | Test Loss: 0.0104 | Test R2: 0.3677 | Test Pearson: 0.7204
Epoch [27/80] | Train Loss: 0.0014 | Val Loss: 0.0127 | Val R2: 0.2873 | Val Pearson: 0.6255 | Test Loss: 0.0118 | Test R2: 0.2866 | Test Pearson: 0.6674
Epoch [28/80] | Train Loss: 0.0012 | Val Loss: 0.0104 | Val R2: 0.4252 | Val Pearson: 0.6526 | Test Loss: 0.0095 | Test R2: 0.4254 | Test Pearson: 0.6540
Epoch [29/80] | Train Loss: 0.0012 | Val Loss: 0.0115 | Val R2: 0.3636 | Val Pearson: 0.6084 | Test Loss: 0.0097 | Test R2: 0.4097 | Test Pearson: 0.6479
Epoch [30/80] | Train Loss: 0.0011 | Val Loss: 0.0087 | Val R2: 0.5329 | Val Pearson: 0.7309 | Test Loss: 0.0076 | Test R2: 0.5375 | Test Pearson: 0.7358
Epoch [31/80] | Train Loss: 0.0011 | Val Loss: 0.0082 | Val R2: 0.5554 | Val Pearson: 0.7552 | Test Loss: 0.0076 | Test R2: 0.5386 | Test Pearson: 0.7382
Epoch [32/80] | Train Loss: 0.0008 | Val Loss: 0.0088 | Val R2: 0.5086 | Val Pearson: 0.7159 | Test Loss: 0.0084 | Test R2: 0.4882 | Test Pearson: 0.6998
Epoch [33/80] | Train Loss: 0.0008 | Val Loss: 0.0081 | Val R2: 0.5529 | Val Pearson: 0.7480 | Test Loss: 0.0076 | Test R2: 0.5382 | Test Pearson: 0.7370
Epoch [34/80] | Train Loss: 0.0007 | Val Loss: 0.0085 | Val R2: 0.5251 | Val Pearson: 0.7262 | Test Loss: 0.0080 | Test R2: 0.5162 | Test Pearson: 0.7186
Epoch [35/80] | Train Loss: 0.0007 | Val Loss: 0.0074 | Val R2: 0.5898 | Val Pearson: 0.7718 | Test Loss: 0.0076 | Test R2: 0.5385 | Test Pearson: 0.7365
Epoch [36/80] | Train Loss: 0.0007 | Val Loss: 0.0089 | Val R2: 0.5043 | Val Pearson: 0.7105 | Test Loss: 0.0083 | Test R2: 0.4993 | Test Pearson: 0.7096
Epoch [37/80] | Train Loss: 0.0006 | Val Loss: 0.0081 | Val R2: 0.5486 | Val Pearson: 0.7452 | Test Loss: 0.0079 | Test R2: 0.5221 | Test Pearson: 0.7281
Epoch [38/80] | Train Loss: 0.0005 | Val Loss: 0.0091 | Val R2: 0.4930 | Val Pearson: 0.7151 | Test Loss: 0.0084 | Test R2: 0.4902 | Test Pearson: 0.7202
Epoch [39/80] | Train Loss: 0.0004 | Val Loss: 0.0084 | Val R2: 0.5321 | Val Pearson: 0.7332 | Test Loss: 0.0076 | Test R2: 0.5383 | Test Pearson: 0.7351
Epoch [40/80] | Train Loss: 0.0004 | Val Loss: 0.0075 | Val R2: 0.5801 | Val Pearson: 0.7634 | Test Loss: 0.0075 | Test R2: 0.5479 | Test Pearson: 0.7405
Epoch [41/80] | Train Loss: 0.0004 | Val Loss: 0.0088 | Val R2: 0.5099 | Val Pearson: 0.7228 | Test Loss: 0.0082 | Test R2: 0.5006 | Test Pearson: 0.7241
Epoch [42/80] | Train Loss: 0.0004 | Val Loss: 0.0086 | Val R2: 0.5247 | Val Pearson: 0.7320 | Test Loss: 0.0079 | Test R2: 0.5220 | Test Pearson: 0.7382
Epoch [43/80] | Train Loss: 0.0004 | Val Loss: 0.0079 | Val R2: 0.5614 | Val Pearson: 0.7517 | Test Loss: 0.0074 | Test R2: 0.5526 | Test Pearson: 0.7463
Epoch [44/80] | Train Loss: 0.0004 | Val Loss: 0.0087 | Val R2: 0.5232 | Val Pearson: 0.7382 | Test Loss: 0.0083 | Test R2: 0.4972 | Test Pearson: 0.7265
Epoch [45/80] | Train Loss: 0.0004 | Val Loss: 0.0085 | Val R2: 0.5352 | Val Pearson: 0.7381 | Test Loss: 0.0077 | Test R2: 0.5305 | Test Pearson: 0.7378
Epoch [46/80] | Train Loss: 0.0003 | Val Loss: 0.0079 | Val R2: 0.5616 | Val Pearson: 0.7562 | Test Loss: 0.0075 | Test R2: 0.5441 | Test Pearson: 0.7442
Epoch [47/80] | Train Loss: 0.0003 | Val Loss: 0.0078 | Val R2: 0.5642 | Val Pearson: 0.7618 | Test Loss: 0.0076 | Test R2: 0.5391 | Test Pearson: 0.7454
Epoch [48/80] | Train Loss: 0.0002 | Val Loss: 0.0077 | Val R2: 0.5698 | Val Pearson: 0.7626 | Test Loss: 0.0074 | Test R2: 0.5520 | Test Pearson: 0.7505
Epoch [49/80] | Train Loss: 0.0002 | Val Loss: 0.0078 | Val R2: 0.5684 | Val Pearson: 0.7678 | Test Loss: 0.0078 | Test R2: 0.5276 | Test Pearson: 0.7438
Epoch [50/80] | Train Loss: 0.0002 | Val Loss: 0.0078 | Val R2: 0.5640 | Val Pearson: 0.7567 | Test Loss: 0.0077 | Test R2: 0.5314 | Test Pearson: 0.7354
Epoch [51/80] | Train Loss: 0.0002 | Val Loss: 0.0075 | Val R2: 0.5818 | Val Pearson: 0.7673 | Test Loss: 0.0075 | Test R2: 0.5451 | Test Pearson: 0.7401
Epoch [52/80] | Train Loss: 0.0002 | Val Loss: 0.0078 | Val R2: 0.5666 | Val Pearson: 0.7609 | Test Loss: 0.0077 | Test R2: 0.5347 | Test Pearson: 0.7381
Epoch [53/80] | Train Loss: 0.0002 | Val Loss: 0.0079 | Val R2: 0.5623 | Val Pearson: 0.7637 | Test Loss: 0.0078 | Test R2: 0.5256 | Test Pearson: 0.7406
Epoch [54/80] | Train Loss: 0.0002 | Val Loss: 0.0073 | Val R2: 0.5918 | Val Pearson: 0.7749 | Test Loss: 0.0074 | Test R2: 0.5526 | Test Pearson: 0.7459
