Epoch [1/80] | Train Loss: 0.0227 | Val Loss: 0.0224 | Val R2: -0.2396 | Val Pearson: 0.2821 | Test Loss: 0.0210 | Test R2: -0.2722 | Test Pearson: 0.2077
Epoch [2/80] | Train Loss: 0.0193 | Val Loss: 0.0169 | Val R2: 0.0560 | Val Pearson: 0.2784 | Test Loss: 0.0156 | Test R2: 0.0529 | Test Pearson: 0.2616
Epoch [3/80] | Train Loss: 0.0176 | Val Loss: 0.0184 | Val R2: -0.0164 | Val Pearson: 0.1483 | Test Loss: 0.0172 | Test R2: -0.0421 | Test Pearson: 0.0497
Epoch [4/80] | Train Loss: 0.0164 | Val Loss: 0.0172 | Val R2: 0.0451 | Val Pearson: 0.2659 | Test Loss: 0.0168 | Test R2: -0.0169 | Test Pearson: 0.1571
Epoch [5/80] | Train Loss: 0.0154 | Val Loss: 0.0257 | Val R2: -0.4328 | Val Pearson: 0.0159 | Test Loss: 0.0240 | Test R2: -0.4572 | Test Pearson: 0.0740
Epoch [6/80] | Train Loss: 0.0142 | Val Loss: 0.0189 | Val R2: -0.0522 | Val Pearson: 0.0942 | Test Loss: 0.0168 | Test R2: -0.0170 | Test Pearson: 0.1774
Epoch [7/80] | Train Loss: 0.0131 | Val Loss: 0.0191 | Val R2: -0.0585 | Val Pearson: 0.0363 | Test Loss: 0.0162 | Test R2: 0.0213 | Test Pearson: 0.2178
Epoch [8/80] | Train Loss: 0.0124 | Val Loss: 0.0175 | Val R2: 0.0253 | Val Pearson: 0.3231 | Test Loss: 0.0165 | Test R2: -0.0028 | Test Pearson: 0.3315
Epoch [9/80] | Train Loss: 0.0113 | Val Loss: 0.0196 | Val R2: -0.0867 | Val Pearson: 0.3525 | Test Loss: 0.0187 | Test R2: -0.1309 | Test Pearson: 0.3713
Epoch [10/80] | Train Loss: 0.0106 | Val Loss: 0.0190 | Val R2: -0.0568 | Val Pearson: 0.4721 | Test Loss: 0.0181 | Test R2: -0.0982 | Test Pearson: 0.4913
Epoch [11/80] | Train Loss: 0.0095 | Val Loss: 0.0300 | Val R2: -0.6482 | Val Pearson: 0.1682 | Test Loss: 0.0272 | Test R2: -0.6458 | Test Pearson: 0.2334
Epoch [12/80] | Train Loss: 0.0080 | Val Loss: 0.0152 | Val R2: 0.1612 | Val Pearson: 0.5099 | Test Loss: 0.0139 | Test R2: 0.1590 | Test Pearson: 0.4767
Epoch [13/80] | Train Loss: 0.0068 | Val Loss: 0.0121 | Val R2: 0.3225 | Val Pearson: 0.6119 | Test Loss: 0.0121 | Test R2: 0.2698 | Test Pearson: 0.5912
Epoch [14/80] | Train Loss: 0.0057 | Val Loss: 0.0179 | Val R2: 0.0113 | Val Pearson: 0.1266 | Test Loss: 0.0157 | Test R2: 0.0497 | Test Pearson: 0.2235
Epoch [15/80] | Train Loss: 0.0047 | Val Loss: 0.0108 | Val R2: 0.4093 | Val Pearson: 0.6451 | Test Loss: 0.0096 | Test R2: 0.4204 | Test Pearson: 0.6498
Epoch [16/80] | Train Loss: 0.0039 | Val Loss: 0.0291 | Val R2: -0.6255 | Val Pearson: -0.0082 | Test Loss: 0.0279 | Test R2: -0.6934 | Test Pearson: 0.0237
