Epoch [1/80] | Train Loss: 0.0219 | Val Loss: 0.0134 | Val R2: 0.1312 | Val Pearson: 0.5115 | Test Loss: 0.0218 | Test R2: -0.0120 | Test Pearson: 0.0982
Epoch [2/80] | Train Loss: 0.0176 | Val Loss: 0.0197 | Val R2: -0.2729 | Val Pearson: -0.2516 | Test Loss: 0.0218 | Test R2: -0.0091 | Test Pearson: 0.0738
Epoch [3/80] | Train Loss: 0.0158 | Val Loss: 0.0118 | Val R2: 0.2346 | Val Pearson: 0.5180 | Test Loss: 0.0218 | Test R2: -0.0109 | Test Pearson: 0.2044
Epoch [4/80] | Train Loss: 0.0138 | Val Loss: 0.0210 | Val R2: -0.3604 | Val Pearson: 0.4124 | Test Loss: 0.0220 | Test R2: -0.0180 | Test Pearson: 0.4325
Epoch [5/80] | Train Loss: 0.0127 | Val Loss: 0.0234 | Val R2: -0.5173 | Val Pearson: 0.3292 | Test Loss: 0.0225 | Test R2: -0.0425 | Test Pearson: 0.3832
Epoch [6/80] | Train Loss: 0.0115 | Val Loss: 0.0185 | Val R2: -0.1962 | Val Pearson: 0.3806 | Test Loss: 0.0171 | Test R2: 0.2064 | Test Pearson: 0.5148
Epoch [7/80] | Train Loss: 0.0102 | Val Loss: 0.0151 | Val R2: 0.0215 | Val Pearson: 0.4842 | Test Loss: 0.0178 | Test R2: 0.1746 | Test Pearson: 0.4592
Epoch [8/80] | Train Loss: 0.0092 | Val Loss: 0.0193 | Val R2: -0.2499 | Val Pearson: 0.4706 | Test Loss: 0.0221 | Test R2: -0.0226 | Test Pearson: 0.3473
Epoch [9/80] | Train Loss: 0.0078 | Val Loss: 0.0209 | Val R2: -0.3553 | Val Pearson: 0.0476 | Test Loss: 0.0198 | Test R2: 0.0822 | Test Pearson: 0.3107
Epoch [10/80] | Train Loss: 0.0063 | Val Loss: 0.0150 | Val R2: 0.0303 | Val Pearson: 0.4573 | Test Loss: 0.0178 | Test R2: 0.1762 | Test Pearson: 0.4504
Epoch [11/80] | Train Loss: 0.0056 | Val Loss: 0.0168 | Val R2: -0.0894 | Val Pearson: 0.4355 | Test Loss: 0.0199 | Test R2: 0.0780 | Test Pearson: 0.3756
Epoch [12/80] | Train Loss: 0.0047 | Val Loss: 0.0253 | Val R2: -0.6386 | Val Pearson: 0.4343 | Test Loss: 0.0270 | Test R2: -0.2527 | Test Pearson: 0.2997
Epoch [13/80] | Train Loss: 0.0038 | Val Loss: 0.0315 | Val R2: -1.0395 | Val Pearson: 0.1674 | Test Loss: 0.0287 | Test R2: -0.3306 | Test Pearson: 0.2105
Epoch [14/80] | Train Loss: 0.0035 | Val Loss: 0.0270 | Val R2: -0.7502 | Val Pearson: 0.3415 | Test Loss: 0.0268 | Test R2: -0.2402 | Test Pearson: 0.1680
Epoch [15/80] | Train Loss: 0.0027 | Val Loss: 0.0153 | Val R2: 0.0117 | Val Pearson: 0.3831 | Test Loss: 0.0166 | Test R2: 0.2285 | Test Pearson: 0.4794
Epoch [16/80] | Train Loss: 0.0024 | Val Loss: 0.0177 | Val R2: -0.1452 | Val Pearson: 0.2350 | Test Loss: 0.0193 | Test R2: 0.1051 | Test Pearson: 0.3432
Epoch [17/80] | Train Loss: 0.0021 | Val Loss: 0.0121 | Val R2: 0.2147 | Val Pearson: 0.5311 | Test Loss: 0.0164 | Test R2: 0.2416 | Test Pearson: 0.4994
Epoch [18/80] | Train Loss: 0.0020 | Val Loss: 0.0112 | Val R2: 0.2761 | Val Pearson: 0.5525 | Test Loss: 0.0150 | Test R2: 0.3046 | Test Pearson: 0.5603
Epoch [19/80] | Train Loss: 0.0018 | Val Loss: 0.0104 | Val R2: 0.3280 | Val Pearson: 0.5830 | Test Loss: 0.0162 | Test R2: 0.2487 | Test Pearson: 0.5542
Epoch [20/80] | Train Loss: 0.0019 | Val Loss: 0.0165 | Val R2: -0.0706 | Val Pearson: 0.4696 | Test Loss: 0.0188 | Test R2: 0.1276 | Test Pearson: 0.4389
Epoch [21/80] | Train Loss: 0.0017 | Val Loss: 0.0316 | Val R2: -1.0445 | Val Pearson: -0.1416 | Test Loss: 0.0269 | Test R2: -0.2477 | Test Pearson: 0.0236
Epoch [22/80] | Train Loss: 0.0015 | Val Loss: 0.0316 | Val R2: -1.0441 | Val Pearson: 0.4011 | Test Loss: 0.0312 | Test R2: -0.4463 | Test Pearson: 0.0362
Epoch [23/80] | Train Loss: 0.0013 | Val Loss: 0.0132 | Val R2: 0.1457 | Val Pearson: 0.4326 | Test Loss: 0.0195 | Test R2: 0.0970 | Test Pearson: 0.3343
Epoch [24/80] | Train Loss: 0.0011 | Val Loss: 0.0139 | Val R2: 0.0972 | Val Pearson: 0.4834 | Test Loss: 0.0161 | Test R2: 0.2533 | Test Pearson: 0.5229
Epoch [25/80] | Train Loss: 0.0011 | Val Loss: 0.0120 | Val R2: 0.2238 | Val Pearson: 0.4804 | Test Loss: 0.0166 | Test R2: 0.2305 | Test Pearson: 0.6065
Epoch [26/80] | Train Loss: 0.0012 | Val Loss: 0.0143 | Val R2: 0.0728 | Val Pearson: 0.3750 | Test Loss: 0.0180 | Test R2: 0.1644 | Test Pearson: 0.4149
Epoch [27/80] | Train Loss: 0.0012 | Val Loss: 0.0103 | Val R2: 0.3356 | Val Pearson: 0.5827 | Test Loss: 0.0170 | Test R2: 0.2122 | Test Pearson: 0.4789
Epoch [28/80] | Train Loss: 0.0011 | Val Loss: 0.0111 | Val R2: 0.2812 | Val Pearson: 0.5375 | Test Loss: 0.0148 | Test R2: 0.3157 | Test Pearson: 0.5911
Epoch [29/80] | Train Loss: 0.0009 | Val Loss: 0.0107 | Val R2: 0.3083 | Val Pearson: 0.5756 | Test Loss: 0.0141 | Test R2: 0.3457 | Test Pearson: 0.6040
Epoch [30/80] | Train Loss: 0.0007 | Val Loss: 0.0099 | Val R2: 0.3590 | Val Pearson: 0.6140 | Test Loss: 0.0141 | Test R2: 0.3448 | Test Pearson: 0.6044
Epoch [31/80] | Train Loss: 0.0007 | Val Loss: 0.0111 | Val R2: 0.2804 | Val Pearson: 0.5429 | Test Loss: 0.0141 | Test R2: 0.3461 | Test Pearson: 0.6255
Epoch [32/80] | Train Loss: 0.0007 | Val Loss: 0.0097 | Val R2: 0.3713 | Val Pearson: 0.6315 | Test Loss: 0.0140 | Test R2: 0.3513 | Test Pearson: 0.6002
Epoch [33/80] | Train Loss: 0.0007 | Val Loss: 0.0105 | Val R2: 0.3207 | Val Pearson: 0.6039 | Test Loss: 0.0134 | Test R2: 0.3783 | Test Pearson: 0.6314
Epoch [34/80] | Train Loss: 0.0006 | Val Loss: 0.0118 | Val R2: 0.2388 | Val Pearson: 0.5226 | Test Loss: 0.0124 | Test R2: 0.4268 | Test Pearson: 0.6833
Epoch [35/80] | Train Loss: 0.0006 | Val Loss: 0.0118 | Val R2: 0.2334 | Val Pearson: 0.5268 | Test Loss: 0.0147 | Test R2: 0.3176 | Test Pearson: 0.5820
Epoch [36/80] | Train Loss: 0.0006 | Val Loss: 0.0117 | Val R2: 0.2423 | Val Pearson: 0.5344 | Test Loss: 0.0144 | Test R2: 0.3317 | Test Pearson: 0.6010
Epoch [37/80] | Train Loss: 0.0005 | Val Loss: 0.0104 | Val R2: 0.3260 | Val Pearson: 0.5927 | Test Loss: 0.0131 | Test R2: 0.3927 | Test Pearson: 0.6531
Epoch [38/80] | Train Loss: 0.0004 | Val Loss: 0.0100 | Val R2: 0.3506 | Val Pearson: 0.5926 | Test Loss: 0.0149 | Test R2: 0.3096 | Test Pearson: 0.5975
Epoch [39/80] | Train Loss: 0.0004 | Val Loss: 0.0100 | Val R2: 0.3501 | Val Pearson: 0.5926 | Test Loss: 0.0146 | Test R2: 0.3227 | Test Pearson: 0.6121
Epoch [40/80] | Train Loss: 0.0003 | Val Loss: 0.0102 | Val R2: 0.3397 | Val Pearson: 0.6009 | Test Loss: 0.0134 | Test R2: 0.3797 | Test Pearson: 0.6384
Epoch [41/80] | Train Loss: 0.0004 | Val Loss: 0.0109 | Val R2: 0.2940 | Val Pearson: 0.5596 | Test Loss: 0.0141 | Test R2: 0.3466 | Test Pearson: 0.6219
Epoch [42/80] | Train Loss: 0.0004 | Val Loss: 0.0114 | Val R2: 0.2621 | Val Pearson: 0.5994 | Test Loss: 0.0140 | Test R2: 0.3533 | Test Pearson: 0.6177
Epoch [43/80] | Train Loss: 0.0004 | Val Loss: 0.0112 | Val R2: 0.2755 | Val Pearson: 0.5607 | Test Loss: 0.0133 | Test R2: 0.3853 | Test Pearson: 0.6417
Epoch [44/80] | Train Loss: 0.0003 | Val Loss: 0.0116 | Val R2: 0.2521 | Val Pearson: 0.5531 | Test Loss: 0.0138 | Test R2: 0.3583 | Test Pearson: 0.6305
Epoch [45/80] | Train Loss: 0.0003 | Val Loss: 0.0096 | Val R2: 0.3818 | Val Pearson: 0.6294 | Test Loss: 0.0133 | Test R2: 0.3836 | Test Pearson: 0.6364
Epoch [46/80] | Train Loss: 0.0003 | Val Loss: 0.0104 | Val R2: 0.3238 | Val Pearson: 0.6156 | Test Loss: 0.0128 | Test R2: 0.4051 | Test Pearson: 0.6645
Epoch [47/80] | Train Loss: 0.0002 | Val Loss: 0.0105 | Val R2: 0.3227 | Val Pearson: 0.5944 | Test Loss: 0.0137 | Test R2: 0.3628 | Test Pearson: 0.6274
Epoch [48/80] | Train Loss: 0.0002 | Val Loss: 0.0099 | Val R2: 0.3590 | Val Pearson: 0.6165 | Test Loss: 0.0134 | Test R2: 0.3803 | Test Pearson: 0.6409
Epoch [49/80] | Train Loss: 0.0002 | Val Loss: 0.0100 | Val R2: 0.3497 | Val Pearson: 0.6232 | Test Loss: 0.0137 | Test R2: 0.3673 | Test Pearson: 0.6266
Epoch [50/80] | Train Loss: 0.0002 | Val Loss: 0.0109 | Val R2: 0.2918 | Val Pearson: 0.5688 | Test Loss: 0.0133 | Test R2: 0.3834 | Test Pearson: 0.6433
Epoch [51/80] | Train Loss: 0.0002 | Val Loss: 0.0108 | Val R2: 0.2981 | Val Pearson: 0.5810 | Test Loss: 0.0133 | Test R2: 0.3813 | Test Pearson: 0.6402
Epoch [52/80] | Train Loss: 0.0002 | Val Loss: 0.0105 | Val R2: 0.3173 | Val Pearson: 0.5821 | Test Loss: 0.0132 | Test R2: 0.3894 | Test Pearson: 0.6540
Epoch [53/80] | Train Loss: 0.0002 | Val Loss: 0.0107 | Val R2: 0.3093 | Val Pearson: 0.5689 | Test Loss: 0.0132 | Test R2: 0.3879 | Test Pearson: 0.6572
Epoch [54/80] | Train Loss: 0.0001 | Val Loss: 0.0105 | Val R2: 0.3178 | Val Pearson: 0.5874 | Test Loss: 0.0134 | Test R2: 0.3800 | Test Pearson: 0.6420
Epoch [55/80] | Train Loss: 0.0001 | Val Loss: 0.0102 | Val R2: 0.3371 | Val Pearson: 0.5967 | Test Loss: 0.0134 | Test R2: 0.3776 | Test Pearson: 0.6482
Epoch [56/80] | Train Loss: 0.0001 | Val Loss: 0.0101 | Val R2: 0.3443 | Val Pearson: 0.6191 | Test Loss: 0.0131 | Test R2: 0.3916 | Test Pearson: 0.6498
Epoch [57/80] | Train Loss: 0.0001 | Val Loss: 0.0104 | Val R2: 0.3288 | Val Pearson: 0.5944 | Test Loss: 0.0132 | Test R2: 0.3873 | Test Pearson: 0.6552
